...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.248799650480872,0.2590113007332805,AK,2023-01-22,1,1,1,1,1,1,1,0,1,0,1,0
2,0.787278163136728,0.2654390605055495,AK,2023-01-23,1,0,1,1,1,1,0,0,1,0,1,1
3,2.31446262114878,0.324758489261498,AK,2023-01-24,1,0,1,0,1,0,1,1,1,0,1,0
4,1.75412031631733,0.372583513537131,AK,2023-01-25,1,1,1,1,1,0,1,0,1,0,1,0
5,3.7038092636699,0.3073792282633055,AK,2023-01-26,1,0,1,0,1,1,0,0,1,1,0,1
6,0.810717727595738,0.3163833605209015,AK,2023-01-27,0,1,1,1,1,1,0,0,1,0,1,1
7,0.429765387622075,0.361360945912705,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1
8,0.608900745237493,0.306062973704622,AK,2023-01-29,1,1,1,1,1,1,1,1,1,1,1,1
9,1.74715498563336,0.403757653973197,AK,2023-01-30,1,0,1,0,1,1,1,0,1,0,1,1
10,0.623579968734055,0.254948605823688,AK,2023-01-31,1,1,1,1,1,1,1,0,1,0,1,1
11,0.568113992758589,0.1151526507596405,AK,2023-02-01,1,1,1,1,1,1,1,0,1,0,0,1
12,0.922104638791898,0.225799185917483,AK,2023-02-02,1,1,1,1,1,1,1,0,1,0,0,0
13,0.844770444490563,0.350688356446157,AK,2023-02-03,1,1,0,1,1,1,1,1,0,0,1,1
14,1.49978433574236,0.329319735973143,AK,2023-02-04,1,0,1,1,1,1,1,0,1,0,1,1
15,0.729270538568769,0.075659009926612,AK,2023-02-05,1,1,1,1,1,1,1,0,1,0,1,1
16,2.99469729955786,0.10259941100235,AK,2023-02-06,1,0,1,0,1,1,1,0,1,0,0,1
17,0.853543834729139,0.26190755306321,AK,2023-02-07,1,1,1,1,0,1,1,0,1,1,0,1
18,0.919153170687081,0.2795155289400025,AK,2023-02-08,1,1,0,1,1,1,1,1,0,0,1,1
19,0.444650270168207,0.3328627884509095,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,1,1
20,1.47837061033192,0.0425966763270372,AK,2023-02-10,1,0,1,0,1,1,1,0,1,0,1,1
21,0.442585975844181,0.1408599189496255,AK,2023-02-11,1,1,1,1,1,1,1,0,1,0,1,1
22,0.615810532376669,0.03343446207366085,AK,2023-02-12,1,1,1,1,1,1,0,0,1,0,1,1
23,2.04588666084692,0.31732606549485,AK,2023-02-13,1,0,1,0,1,0,1,0,1,0,1,0
24,0.780584009237441,0.253892386090246,AK,2023-02-14,1,1,1,1,1,1,0,1,1,0,1,1
25,1.02020199886732,0.304155547148913,AK,2023-02-15,1,0,1,1,1,1,1,1,1,1,1,1
26,0.922705224607632,0.0202616910528571,AK,2023-02-16,1,1,1,1,1,1,1,0,1,0,1,1
27,0.373758531017666,0.123363531483734,AK,2023-02-17,1,1,1,1,1,1,1,0,1,0,1,1
28,0.429631454558046,0.20447830604309,AK,2023-02-18,1,1,1,1,1,1,1,0,1,0,1,1
29,0.749483452961298,0.3991531578081535,AK,2023-02-19,1,0,1,1,1,1,1,1,1,1,1,1
30,0.619524300452301,0.116799066197587,AK,2023-02-20,1,1,1,1,1,1,1,1,0,0,1,1
31,0.370353286364189,0.1104912618730025,AK,2023-02-21,1,1,1,1,1,1,1,0,1,0,1,1
32,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0.221036662325348,0.00812502848190365,AK,2023-02-23,1,1,1,1,1,1,1,0,1,0,1,1
34,1.112580253082,0.4512489115081865,AK,2023-02-24,1,1,1,0,0,1,1,1,1,0,0,1
35,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.0126570982227245,0.00475871752528756,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
38,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
