...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.860096201670355,0.141993154342318,AK,2022-12-11,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.957596942439737,0.249409076675162,AK,2022-12-12,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
3,1.0316203330936,0.317662889912911,AK,2022-12-13,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
4,0.974742871320071,0.3388916159780995,AK,2022-12-14,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
5,0.807027317310369,0.29646971672801,AK,2022-12-15,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
6,3.28638955380815,0.411265609479804,AK,2022-12-16,1,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0
7,0.13754474217926,0.1038092317968845,AK,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
8,1.52828389919242,0.4995192154854455,AK,2022-12-18,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
9,0.963753778144249,0.300927774143184,AK,2022-12-19,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1
10,0.39570823979861,0.2351396276912255,AK,2022-12-20,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
11,0.971253486379743,0.311176817748384,AK,2022-12-21,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
12,0.742553160751244,0.2952931732012425,AK,2022-12-22,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
13,0.121172349342868,0.0826766402476765,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1.0792870753763,0.3232256179071395,AK,2022-12-24,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
15,0.322238981794824,0.0796430454029485,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.52029021339361,0.329112301517576,AK,2022-12-26,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0
17,6.39973945703379,0.597421778916955,AK,2022-12-27,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
18,1.5218129311729,0.3814161149150655,AK,2022-12-28,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
19,0.82652792749846,0.288902778380817,AK,2022-12-29,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
20,2.74425850719587,0.542747928780375,AK,2022-12-30,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1
21,0.916605635421245,0.3545703485626485,AK,2022-12-31,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
22,0.798319515837316,0.3857689468507555,AK,2023-01-01,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
23,0.855229978202944,0.2388917403197885,AK,2023-01-02,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
24,1.29275541686282,0.236738648821479,AK,2023-01-03,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
25,1.43226884251292,0.2243425017638075,AK,2023-01-04,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
26,0.662716126023363,0.1047630032588205,AK,2023-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
