...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23F_50_CI,X24A_50_CI,X23I_50_CI,other_50_CI,X23A_95_CI,X23B_95_CI,X23F_95_CI,X24A_95_CI,X23I_95_CI,other_95_CI
1,NA,NA,AK,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2024-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2024-01-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.146956927402017,0.1229995823959285,AK,2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1
6,0.71588055671288,0.2864129591727245,AK,2024-01-05,1,1,1,1,1,0,1,1,1,0,1,0
7,NA,NA,AK,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.105108000514589,0.085851428838726,AK,2024-01-08,1,1,1,1,1,1,0,1,1,0,1,1
10,0.493565898728394,0.078003037096698,AK,2024-01-09,1,1,1,1,1,1,1,1,1,1,1,1
11,0.251659131262475,0.0707118109296825,AK,2024-01-10,1,1,1,1,1,1,1,1,0,0,1,1
12,0.0794275934341241,0.0639616888484615,AK,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1
13,NA,NA,AK,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.95051262104345,0.65405389648045,AK,2024-01-15,1,1,0,0,1,1,1,1,0,0,1,1
17,0.0502324979634479,0.0375798292472573,AK,2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
18,0.270643140498433,0.0336039415444659,AK,2024-01-17,1,1,1,1,1,1,1,1,1,1,1,1
19,0.934194931709355,0.4080685725489325,AK,2024-01-18,1,1,1,1,1,0,1,1,1,0,1,0
20,NA,NA,AK,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
