...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.781200034702323,0.3852023124866955,AK,2023-01-01,1,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1
2,0.867089145575577,0.230819646507673,AK,2023-01-02,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
3,1.27034618517954,0.243718958764747,AK,2023-01-03,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1
4,1.49506355224614,0.211739634761543,AK,2023-01-04,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
5,0.735815119931497,0.0868425429314435,AK,2023-01-05,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
6,0.833161446168319,0.291543802477672,AK,2023-01-06,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
7,0.401978993305846,0.3017323936560345,AK,2023-01-07,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
8,0.179188296981159,0.105190685127532,AK,2023-01-08,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
9,0.806469434751269,0.2982027005393645,AK,2023-01-09,1,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
10,1.1230641134825,0.1759897730562855,AK,2023-01-10,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
11,1.51413652684642,0.310709627083709,AK,2023-01-11,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0
12,1.46612136403234,0.142974032448988,AK,2023-01-12,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
13,0.731213544641518,0.2306969016323585,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
14,0.275789392904476,0.1680904623550315,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
15,0.303461917790857,0.1822230687487805,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.770796127694354,0.2275735136526045,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
17,2.66138438108467,0.270370840490886,AK,2023-01-17,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
18,2.4314812253847,0.291880162180157,AK,2023-01-18,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
19,0.427565934000602,0.2544808119015865,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
20,2.77491850058791,0.260906563839959,AK,2023-01-20,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
21,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.272308734011357,0.2548580090703465,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
23,1.12895869006146,0.3275625981477345,AK,2023-01-23,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
24,3.60470788076841,0.37159998284602,AK,2023-01-24,1,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1
25,2.72284858140005,0.4062185598297325,AK,2023-01-25,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0
26,5.32216908083829,0.3639723709853745,AK,2023-01-26,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1
27,1.02547182232501,0.324070817697533,AK,2023-01-27,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
28,0.670193035244912,0.4352968414574115,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
29,1.07355746610557,0.3401838099055005,AK,2023-01-29,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
30,2.38699631874864,0.4787302765829745,AK,2023-01-30,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
31,1.14681101697573,0.2639879616184585,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
32,0.264951358025447,0.078240084635036,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
33,1.37648964467781,0.227662715901171,AK,2023-02-02,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
34,1.13692752315786,0.370251889758237,AK,2023-02-03,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
35,2.68328623485542,0.3573094853970025,AK,2023-02-04,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
36,0.301434378252479,0.0507046278243585,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
37,1.05093222213187,0.086472589079946,AK,2023-02-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,1.03694321745181,0.2686100949448515,AK,2023-02-07,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
39,1.5732436468397,0.290989695582613,AK,2023-02-08,1,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1
