...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
1,0.00281625074673976,0.00192987755528939,AK,2023-03-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.13691829307917,0.001793559694366495,AK,2023-03-20,1,1,1,1,1,1,1,0,1,0,1,1,1,1
3,0.815194020259219,0.11721367119017401,AK,2023-03-21,0,1,1,1,1,1,1,0,1,0,1,1,1,1
4,1.18218243287842,0.2393510389932085,AK,2023-03-22,1,1,0,0,1,1,1,1,1,0,0,1,1,1
5,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1.03471004471506,0.1879578277186955,AK,2023-03-24,0,1,0,1,1,1,1,0,1,0,1,1,1,1
7,0.00179008324729093,0.00134816155199924,AK,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,3.87388866670963,0.70551445204433,AK,2023-03-26,1,1,0,1,0,1,1,1,1,0,1,0,1,1
9,1.12542036811776,0.236044462917159,AK,2023-03-27,1,1,0,1,0,1,1,1,1,0,1,0,1,1
10,0.00687318407008672,0.001221116049854045,AK,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0138651307646823,0.001196558141195325,AK,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0245840176112204,0.00117991571279055,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0141979526716564,0.001170768255725085,AK,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.0257458781590009,0.00116879579925588,AK,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0418658064314001,0.00117377303953943,AK,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.12028538408975,0.2354562765290275,AK,2023-04-03,1,1,0,1,0,1,1,1,1,0,1,0,1,1
17,0.0271436135429982,0.00120412332456575,AK,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
