...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.202755826577652,0.154525413999078,AK,2023-01-08,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
2,0.81642349931858,0.307609105305346,AK,2023-01-09,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
3,1.31575637125816,0.2074067162129445,AK,2023-01-10,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1
4,1.59239745684182,0.3364636602649615,AK,2023-01-11,1,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1
5,1.61164464359201,0.200663033597234,AK,2023-01-12,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1
6,0.822616445875878,0.2456828601740515,AK,2023-01-13,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1
7,0.309732314444903,0.2300129961947,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.33521671154055,0.246175117009486,AK,2023-01-15,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
9,0.841658036391778,0.2599455718169585,AK,2023-01-16,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1
10,2.96749955655123,0.2992026515853095,AK,2023-01-17,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1
11,2.66459865326028,0.3337029555568025,AK,2023-01-18,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
12,0.397690998981041,0.2381835122015105,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
13,3.08030216348437,0.304475389693441,AK,2023-01-20,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
14,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.267516210958856,0.2666433812624415,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
16,1.2209466160207,0.4028880871014215,AK,2023-01-23,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
17,3.84989414956381,0.424197454359007,AK,2023-01-24,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1
18,2.5596873404734,0.4360437661294875,AK,2023-01-25,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0
19,5.71139135999873,0.427815184523017,AK,2023-01-26,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
20,1.00538638592833,0.3326199730687295,AK,2023-01-27,0,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1
21,0.709867467377309,0.5120875194078,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
22,1.14537193409645,0.380710407531982,AK,2023-01-29,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
23,2.50453798634286,0.55488904712437,AK,2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
24,1.20720147630631,0.2809967019703035,AK,2023-01-31,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
25,0.238746314872281,0.0534382249301405,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,1.37332600538474,0.2371253538325505,AK,2023-02-02,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
27,1.11547287783458,0.379407275563209,AK,2023-02-03,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
28,2.86103322334859,0.3901040767783575,AK,2023-02-04,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
29,0.28837007546531,0.03325162648438365,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1.02186396673309,0.0766361647597695,AK,2023-02-06,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
31,1.02795980485612,0.273893415502433,AK,2023-02-07,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1
32,1.5976965569291,0.300441931861118,AK,2023-02-08,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,1
33,0.796139344873042,0.379803822642887,AK,2023-02-09,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
34,0.566375636467578,0.0178063507273746,AK,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,0.420422032628917,0.14116129899034,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
36,0.205679116209066,0.01376472838279065,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
37,3.7511528934151,0.3460718785932115,AK,2023-02-13,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
38,1.52269712154409,0.2762632055152125,AK,2023-02-14,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
39,1.7676790024676,0.3332893542405975,AK,2023-02-15,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
40,0.307558785591586,0.00814461800260415,AK,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,0.539385150987979,0.1262341335032775,AK,2023-02-17,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
42,0.781462277593167,0.217371870543177,AK,2023-02-18,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
43,1.45334930038362,0.67134767494835,AL,2023-01-08,0,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1
44,0.920674418942265,0.2965847247293895,AL,2023-01-09,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
45,0.870732752660087,0.236847480096983,AL,2023-01-10,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
46,0.434229486589115,0.3089280658129055,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0.936501864438952,0.428699635596036,AL,2023-01-12,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
48,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2023-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1.45646772152651,0.2477584992667515,AL,2023-01-18,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
54,0.250042956177481,0.161681656055505,AL,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
55,0.260181608768947,0.173361556757197,AL,2023-01-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
