...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
1,0.00259506774929266,0.00166699141109712,AK,2022-09-04,1,1,1,1,1,1,1,1,1,1
2,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.0209904925680886,0.00154398013146786,AK,2022-09-06,1,1,1,1,1,0,0,1,1,1
4,0.00207950205251207,0.00148780431103136,AK,2022-09-07,1,1,1,1,1,1,1,1,1,1
5,NA,NA,AK,2022-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2022-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,AK,2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.0022391384798065,0.00118913896185508,AK,2022-09-14,1,1,1,1,1,1,1,1,1,1
12,NA,NA,AK,2022-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.00664375655195365,0.00113444233789811,AK,2022-09-16,1,1,1,1,1,1,1,1,1,1
14,0.00176507995101954,0.001112612350801775,AK,2022-09-17,1,1,1,1,1,1,1,1,1,1
15,0.00751795904442962,0.00109470752046732,AK,2022-09-18,1,1,1,1,1,1,1,1,1,1
16,0.0259046195526856,0.001080978107445235,AK,2022-09-19,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2022-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.00183381073033165,0.00106737686749352,AK,2022-09-21,1,1,1,1,1,1,0,1,0,1
