...1,es_score,brier_score,location,target_date,X23F_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
73,NA,NA,AL,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA
74,1.24500501679208,0.871831258865865,AL,2024-02-07,1,0,1,0,1,0,1,0
75,0.0087933960665461,0.0076483771114732,AL,2024-02-08,1,1,1,1,1,1,1,1
76,NA,NA,AL,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2024-02-12,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2024-02-13,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2024-02-14,NA,NA,NA,NA,NA,NA,NA,NA
82,0.00403527454975185,0.00316203966273502,AL,2024-02-15,1,1,1,1,1,1,1,1
83,NA,NA,AL,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-01-08,NA,NA,NA,NA,NA,NA,NA,NA
87,NA,NA,AR,2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA
88,0.898778779731827,0.636604487611085,AR,2024-01-10,1,1,1,0,1,0,1,0
89,0.240559967608139,0.0489793976905476,AR,2024-01-11,1,1,1,1,1,1,1,1
90,0.672800111614856,0.3566050992191,AR,2024-01-12,1,1,1,0,1,0,1,0
91,NA,NA,AR,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-01-15,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-01-16,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,AR,2024-01-17,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-01-18,NA,NA,NA,NA,NA,NA,NA,NA
97,0.0303125787117612,0.0197737176008163,AR,2024-01-19,1,1,1,1,1,1,1,1
98,NA,NA,AR,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA
100,0.0224744414734728,0.01371402642572585,AR,2024-01-22,1,1,1,1,1,1,1,1
101,NA,NA,AR,2024-01-23,NA,NA,NA,NA,NA,NA,NA,NA
102,0.0520638313114902,0.0106755358738656,AR,2024-01-24,1,1,1,1,1,1,1,1
103,NA,NA,AR,2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2024-01-26,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-01-29,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2024-01-30,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA
110,0.00529830867664439,0.003757977860078875,AR,2024-02-01,1,1,1,1,0,0,1,1
111,NA,NA,AR,2024-02-02,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA
115,0.0028279604354803,0.00190646074916994,AR,2024-02-06,1,1,1,1,1,1,1,1
116,0.00260404800316162,0.001661512641204875,AR,2024-02-07,1,1,1,1,1,1,1,1
117,0.00788311595542429,0.00144729673098248,AR,2024-02-08,1,1,1,1,1,1,1,1
118,0.00776702936314168,0.00126009810476563,AR,2024-02-09,1,1,1,1,1,1,1,1
119,NA,NA,AR,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
121,0.00126550900945439,8.2954114591126e-4,AR,2024-02-12,1,1,1,1,1,1,1,1
122,1.2893255467032,0.4777399139524245,AR,2024-02-13,1,0,1,0,1,0,1,0
123,0.0040042531701467,6.26607329381755e-4,AR,2024-02-14,1,1,1,1,1,1,1,1
124,NA,NA,AR,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
127,1.40241791527448,0.069268089282687,AZ,2024-01-07,1,0,1,1,0,0,1,1
128,1.15403744767887,0.167419940230968,AZ,2024-01-08,1,1,1,1,1,0,1,0
129,1.10421904819744,0.183691096874683,AZ,2024-01-09,1,1,1,1,0,0,1,0
130,0.234309443670166,0.0500483280262975,AZ,2024-01-10,1,1,1,1,0,0,1,1
131,1.67691073653703,0.3215635984277805,AZ,2024-01-11,0,0,1,1,0,1,1,0
132,0.853626314423978,0.219928905660483,AZ,2024-01-12,1,1,1,1,1,1,1,1
133,0.649730481916597,0.1526465765912225,AZ,2024-01-13,1,1,1,1,1,1,1,1
134,1.76991329547177,0.2442074905806205,AZ,2024-01-14,0,0,1,1,1,0,1,0
135,2.55405606150754,0.1711556789159755,AZ,2024-01-15,0,1,0,0,0,0,0,0
136,0.116077264705276,0.0247267478956688,AZ,2024-01-16,1,1,1,1,1,1,1,1
137,1.19353059061279,0.1790086848896405,AZ,2024-01-17,1,1,0,1,1,0,0,1
138,0.707423080552306,0.215044265514749,AZ,2024-01-18,1,1,1,0,1,0,1,0
139,0.269731321892828,0.0169852094385523,AZ,2024-01-19,1,1,1,1,1,0,1,0
140,0.574953979532227,0.2079290218603485,AZ,2024-01-20,1,1,1,1,0,0,1,1
141,3.64300231205381,0.201430142109667,AZ,2024-01-21,1,0,1,0,1,0,1,0
142,1.07047672930276,0.0578298246441885,AZ,2024-01-22,0,1,1,1,0,0,1,0
143,0.87711904676147,0.075062104129044,AZ,2024-01-23,1,1,1,1,0,1,1,0
144,2.76813179035596,0.348192935482945,AZ,2024-01-24,0,0,0,1,0,0,0,1
145,0.0794897297978999,0.00773759998148615,AZ,2024-01-25,1,1,1,1,0,0,1,1
146,1.10694531411856,0.4434663850600455,AZ,2024-01-26,1,0,1,0,1,0,1,0
147,1.21032439166415,0.132032428803451,AZ,2024-01-27,1,1,0,1,0,0,1,0
148,0.00672179947647393,0.00515092364336205,AZ,2024-01-28,1,1,1,1,1,1,1,1
149,1.57549450006686,0.11374454868658,AZ,2024-01-29,0,1,1,1,0,0,1,0
150,0.987537380680881,0.096789178707778,AZ,2024-01-30,0,1,1,1,0,0,1,1
151,0.927143292331156,0.070009897855265,AZ,2024-01-31,1,1,0,1,1,1,0,0
152,0.0325345929855765,0.00296216674906491,AZ,2024-02-01,1,1,1,1,0,0,1,1
153,0.0298581283957364,0.002575458493224055,AZ,2024-02-02,1,1,1,1,1,1,1,1
154,NA,NA,AZ,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
155,0.0397251782735217,0.001943805041003275,AZ,2024-02-04,1,1,1,1,1,1,1,1
156,2.73795563964256,0.1644562993535785,AZ,2024-02-05,0,0,1,1,0,0,1,1
157,0.690310804576498,0.04072661335645185,AZ,2024-02-06,1,1,1,1,1,0,1,0
158,0.335217284430395,0.00127017218690459,AZ,2024-02-07,1,1,1,1,0,0,1,1
159,0.00154143621786975,0.00110135504807154,AZ,2024-02-08,1,1,1,1,1,1,1,1
160,1.24563419022723,0.3188448499459045,AZ,2024-02-09,1,0,1,0,1,0,1,0
161,0.00415688242121513,8.2722891134779e-4,AZ,2024-02-10,1,1,1,1,1,1,1,1
162,1.05634485738463,0.120718069462301,AZ,2024-02-11,1,0,1,0,1,0,1,0
163,0.0543502027344962,6.20617421707395e-4,AZ,2024-02-12,1,1,1,1,1,1,1,1
164,1.05391687123473,0.0654229846865575,AZ,2024-02-13,1,1,0,1,1,0,0,1
165,0.126165015758962,4.6515959137395e-4,AZ,2024-02-14,1,1,1,1,1,1,1,1
166,5.4612685271298e-4,4.0258310796416e-4,AZ,2024-02-15,1,1,1,1,1,0,1,0
167,0.00423834150478945,3.48360952553825e-4,AZ,2024-02-16,1,1,1,1,1,1,1,1
168,0.0243123909997245,3.01391541798245e-4,AZ,2024-02-17,1,1,1,1,1,1,1,1
169,2.13816563416573,0.542417573601035,CA,2024-01-07,1,0,1,0,0,0,1,0
170,2.62623603530053,0.2095818884252585,CA,2024-01-08,1,1,1,0,0,0,1,0
171,3.93228991915444,0.1262227635683435,CA,2024-01-09,0,0,1,1,0,0,1,0
172,2.90838371971202,0.1336543967698605,CA,2024-01-10,0,0,1,1,0,0,0,0
173,2.15050397581205,0.1298706620421385,CA,2024-01-11,0,1,1,1,0,0,0,1
174,1.1739152037092,0.157796103277717,CA,2024-01-12,1,1,1,1,0,0,0,0
175,1.36878763683818,0.114361853830873,CA,2024-01-13,1,1,1,0,0,0,0,0
176,1.93433592373684,0.1930062870853825,CA,2024-01-14,1,1,1,0,1,0,1,0
177,2.6662611081491,0.236167779261542,CA,2024-01-15,1,0,0,0,1,0,0,0
178,1.77218191789818,0.1722877408706575,CA,2024-01-16,1,0,1,1,0,0,0,0
179,1.55058494770642,0.01238313689754455,CA,2024-01-17,0,0,1,1,0,0,1,1
180,1.28530104865831,0.152164556477605,CA,2024-01-18,0,1,1,1,0,0,1,0
