...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_95_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
1,1.12613413569946,0.240404826622868,AK,2022-07-17,1,1,0,1,1,1,0,1,0,1
2,1.86228676941946,0.0566353662595585,AK,2022-07-18,1,1,0,1,1,1,0,0,0,1
3,2.54408772481575,0.0228961850280456,AK,2022-07-19,1,0,0,1,1,1,0,0,0,1
4,0.653252033724731,0.145079169219429,AK,2022-07-20,1,1,1,1,1,1,0,0,1,1
5,0.756209013143933,0.141650117588301,AK,2022-07-21,1,1,1,1,1,1,0,0,0,1
6,0.706805201252959,0.1006310005023725,AK,2022-07-22,1,1,1,1,1,0,0,0,0,1
7,0.513208871223781,0.0173231573318532,AK,2022-07-23,1,1,1,1,1,1,0,0,0,1
8,0.392010155291724,0.0916118101426725,AK,2022-07-24,1,1,1,1,1,1,0,1,0,1
9,1.3804316139894,0.2036408313332755,AK,2022-07-25,0,1,0,1,1,0,0,0,0,1
10,1.70046445462716,0.058764328638825,AK,2022-07-26,1,0,0,1,1,1,0,0,0,1
11,1.02666849379215,0.04703065138221015,AK,2022-07-27,1,1,1,1,1,1,0,0,0,1
12,1.35238048498907,0.103287664265906,AK,2022-07-28,0,0,1,1,1,0,0,1,1,1
13,0.952946292051342,0.1160377434949775,AK,2022-07-29,1,1,1,1,0,1,1,0,1,0
14,0.682493272292071,0.103013845308528,AK,2022-07-30,1,1,1,1,1,1,0,0,1,1
15,1.23056041065509,0.0104293249501485,AK,2022-07-31,1,1,0,1,1,1,0,0,0,1
16,1.37546516380742,0.100873857290545,AK,2022-08-01,1,1,1,0,1,1,0,0,0,1
17,0.349150570385283,0.0715888657693545,AK,2022-08-02,1,1,1,1,1,1,0,0,0,1
18,0.338400822581057,0.0087499091738939,AK,2022-08-03,1,1,1,1,1,1,1,1,1,1
19,1.18626117229692,0.1574015955605835,AK,2022-08-04,1,0,0,1,1,1,0,1,0,1
20,2.02276049771633,0.17282044465368,AK,2022-08-05,1,0,0,1,1,1,0,0,0,1
21,0.217055091432532,0.0073895460400048,AK,2022-08-06,1,1,1,1,1,1,0,0,1,1
22,0.218920456249638,0.0069940518985754,AK,2022-08-07,1,1,1,1,1,1,0,0,1,1
23,0.791895850781916,0.0948806087566865,AK,2022-08-08,1,1,1,1,1,1,0,0,1,1
24,1.06993886357711,0.087819432488872,AK,2022-08-09,1,1,1,1,1,1,0,1,0,1
25,0.827836089173617,0.0059512023594686,AK,2022-08-10,1,1,1,1,1,1,0,0,1,1
26,0.708415157449447,0.1474011987307425,AK,2022-08-11,1,1,1,1,1,1,1,1,1,1
27,0.165278064380817,0.00535828434685925,AK,2022-08-12,1,1,1,1,1,1,0,0,1,1
28,1.514520472083,0.16107952929633,AK,2022-08-13,1,0,0,1,1,1,0,1,0,1
29,0.827933795234626,0.1771308709723405,AK,2022-08-14,1,0,1,1,1,1,1,1,1,1
30,0.204343508655285,0.004594148331027695,AK,2022-08-15,1,1,1,1,1,1,1,1,1,1
31,0.578373475199634,0.1008373481143945,AK,2022-08-16,1,1,1,1,1,1,0,1,0,1
32,0.957690599254568,0.0884677391155115,AK,2022-08-17,1,1,1,0,1,1,0,1,0,1
33,0.0251081549191891,0.00395387391037021,AK,2022-08-18,1,1,1,1,1,1,1,1,1,1
34,0.574529685455891,0.0915207949895295,AK,2022-08-19,1,1,1,1,1,1,0,0,1,1
35,1.17088427467729,0.4438345482581885,AK,2022-08-20,1,0,0,1,1,1,1,1,1,1
36,0.0772136607238371,0.003414010597841965,AK,2022-08-21,1,1,1,1,1,1,1,1,1,1
37,2.18965148168101,0.298621754136275,AK,2022-08-22,1,0,0,1,1,1,0,0,0,1
38,0.00321206084076336,0.00310069487998426,AK,2022-08-23,1,1,1,1,1,1,1,1,1,1
39,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.00814968929075874,0.002819398164149415,AK,2022-08-25,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.007870517267347,0.00256633924273815,AK,2022-08-27,1,1,1,1,1,1,1,1,1,1
43,0.792025814073596,0.2332159369618725,AL,2022-07-17,1,1,1,1,1,1,0,1,0,1
44,0.587687560072349,0.1886619992311265,AL,2022-07-18,1,1,1,1,1,1,0,0,1,1
45,3.8140141647699,0.1488120779530075,AL,2022-07-19,1,0,0,1,0,1,0,0,0,0
46,1.15284073502699,0.22578945119521,AL,2022-07-20,1,1,1,1,1,1,0,0,0,1
47,2.70382866678237,0.123017993608505,AL,2022-07-21,1,0,0,0,0,1,0,0,0,0
48,1.56618390882265,0.215752919042475,AL,2022-07-22,0,1,1,1,1,0,0,0,1,1
49,1.48588951833603,0.1597123228144145,AL,2022-07-23,1,1,1,0,0,1,0,0,0,0
50,0.807670925024379,0.152083157029737,AL,2022-07-24,1,1,1,1,1,0,0,0,0,1
51,0.554153950208388,0.150554704119697,AL,2022-07-25,1,1,1,1,1,1,0,1,0,1
52,0.718567896106822,0.1619574619325385,AL,2022-07-26,1,1,1,1,1,1,0,1,0,1
53,0.445338384574056,0.2438422094349555,AL,2022-07-27,1,1,1,1,1,1,0,0,1,1
54,2.34277902124992,0.0987825334582025,AL,2022-07-28,1,1,0,1,1,1,0,0,0,1
55,2.14727878409163,0.1139444026315635,AL,2022-07-29,1,1,0,1,1,1,0,0,0,1
56,3.12380638985283,0.235969696497351,AL,2022-07-30,1,0,0,1,1,1,0,0,0,1
57,1.03868628492977,0.207478961269004,AL,2022-07-31,1,1,1,1,1,1,0,0,1,1
58,1.06243827456558,0.12728715515058,AL,2022-08-01,1,1,1,1,1,1,0,0,0,1
59,1.12439576305205,0.186264389817752,AL,2022-08-02,1,1,1,1,1,1,1,1,1,1
60,0.683779595321029,0.112238518709918,AL,2022-08-03,1,1,1,1,1,1,0,0,1,1
61,2.32980994627591,0.2349432840842235,AL,2022-08-04,1,0,0,1,1,1,0,0,1,1
62,3.68833262805425,0.249220923719714,AL,2022-08-05,1,0,0,1,1,1,0,1,0,1
63,1.21372336355358,0.19320520005644,AL,2022-08-06,1,1,1,1,1,1,0,0,0,1
64,0.29122706256552,0.1391384640189925,AL,2022-08-07,1,1,1,1,1,1,0,0,1,1
65,1.1785027641569,0.16709873569225,AL,2022-08-08,1,1,1,1,1,1,0,0,0,1
66,1.4835706700978,0.0265166304569081,AL,2022-08-09,1,0,0,1,1,1,1,1,1,1
67,1.36647728659838,0.1735390277302015,AL,2022-08-10,1,0,1,1,1,1,0,0,1,1
68,0.33065943358368,0.16185200208527,AL,2022-08-11,1,1,1,1,1,1,1,1,1,1
69,5.11791214426619,0.3073172515856675,AL,2022-08-12,1,0,0,1,1,1,0,0,0,1
70,0.408940779652473,0.0931418648738285,AL,2022-08-13,1,1,1,1,1,1,1,1,1,1
71,0.668254869982692,0.076946418642529,AL,2022-08-14,1,1,1,1,1,1,0,0,1,1
72,3.78530718099397,0.2350881365845295,AL,2022-08-15,1,0,0,1,1,1,0,0,1,1
73,0.66823635663518,0.146091850838553,AL,2022-08-16,1,1,1,1,1,1,1,1,1,1
74,1.06971745902936,0.1723060001393575,AL,2022-08-17,0,1,1,1,1,0,0,1,1,1
75,5.3468887850911,0.267266581863164,AL,2022-08-18,1,0,0,1,1,1,0,0,1,1
76,3.05081968717238,0.257608763004479,AL,2022-08-19,1,0,0,1,1,1,0,0,1,1
77,1.22909125411812,0.0207167458598694,AL,2022-08-20,1,0,0,1,1,1,0,0,1,1
78,1.0806150987593,0.02027983756134795,AL,2022-08-21,1,0,0,1,1,1,1,0,0,1
79,0.703943435142163,0.1224813248350915,AL,2022-08-22,1,1,1,1,1,1,0,0,1,1
80,4.65132585929439,0.2598780775186815,AL,2022-08-23,1,0,0,1,1,1,0,0,1,1
81,0.695386010034534,0.067318066242734,AL,2022-08-24,1,1,1,1,1,1,0,0,1,1
82,0.574628829878266,0.0705771009113555,AL,2022-08-25,1,1,1,1,1,1,0,0,1,1
83,1.11574892393097,0.16340279420412,AL,2022-08-26,0,1,1,1,1,0,1,0,1,1
84,0.59214946333161,0.1177892093105505,AL,2022-08-27,1,1,1,1,1,1,0,0,1,1
85,0.153642033848259,0.0136416855244661,AR,2022-07-17,1,1,1,1,1,1,1,1,1,1
86,4.34303726214734,0.155358199051075,AR,2022-07-18,1,0,1,0,1,1,0,0,0,1
87,0.679585388838907,0.1016940676840645,AR,2022-07-19,1,1,1,1,1,1,1,0,0,1
88,1.39504412634067,0.150600721767263,AR,2022-07-20,1,0,1,1,1,1,1,1,1,1
89,1.25699113820131,0.081875596676507,AR,2022-07-21,1,1,1,0,1,1,0,0,0,1
90,1.08812306166233,0.1190753667998295,AR,2022-07-22,1,1,1,1,0,1,0,0,1,0
91,0.264875716954756,0.0098264120747067,AR,2022-07-23,1,1,1,1,1,1,1,1,1,1
92,1.53398531400498,0.203282814074667,AR,2022-07-24,0,1,0,1,1,0,0,0,0,1
93,1.59110956632575,0.1309697071478655,AR,2022-07-25,0,1,1,1,1,0,0,0,0,1
94,2.50949936151088,0.139726615954557,AR,2022-07-26,0,1,0,1,1,0,0,0,0,1
95,1.32929170755422,0.1015301483246865,AR,2022-07-27,0,1,1,1,1,0,1,1,0,1
96,0.846741041157591,0.090720106068775,AR,2022-07-28,1,1,1,1,1,1,0,0,1,1
97,1.87630305430437,0.1574987136623745,AR,2022-07-29,0,1,0,1,0,0,1,0,0,0
98,2.92539669295126,0.2456988350291075,AR,2022-07-30,0,0,0,1,1,0,0,0,1,1
99,0.575316075914708,0.086699825640168,AR,2022-07-31,1,1,1,1,1,1,1,0,0,1
100,1.05605357091478,0.075481296693715,AR,2022-08-01,1,1,1,1,1,1,1,1,1,1
101,1.29842936667684,0.0550601249606615,AR,2022-08-02,1,1,1,1,1,1,1,0,0,1
102,1.71162354779335,0.054512685001703,AR,2022-08-03,1,1,1,1,1,1,0,0,0,1
103,4.47250680587095,0.170790981516135,AR,2022-08-04,1,0,0,1,1,1,0,0,0,1
104,0.975576038821699,0.1077346069985315,AR,2022-08-05,1,1,1,1,0,1,1,0,1,0
105,2.93425450526177,0.3707407661909005,AR,2022-08-06,1,0,0,1,1,1,0,0,1,1
106,0.529812525897841,0.068715410848552,AR,2022-08-07,1,1,1,1,1,1,0,0,1,1
107,3.85071043889966,0.1921347773385185,AR,2022-08-08,0,0,0,0,1,0,1,0,0,1
108,1.39167189401225,0.106085676494161,AR,2022-08-09,1,0,1,1,1,1,0,0,1,1
109,3.68587455985035,0.1550553988994105,AR,2022-08-10,1,0,0,0,0,1,0,0,0,0
110,2.00034927839046,0.140524080185491,AR,2022-08-11,0,1,0,1,1,0,0,1,1,1
111,0.613606283176046,0.091082231719927,AR,2022-08-12,1,1,1,1,1,1,1,1,1,1
112,3.26403737902148,0.220977758794627,AR,2022-08-13,1,0,0,1,1,1,0,0,1,1
113,0.0939603670159608,0.004444579817904545,AR,2022-08-14,1,1,1,1,1,1,1,1,1,1
114,4.14883536651246,0.141717545565251,AR,2022-08-15,1,0,0,1,1,1,0,0,0,1
