...1,es_score,brier_score,location,target_date,X22B_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22B_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI
194,13.0940584497966,0.143370156444407,CA,2023-03-02,1,0,1,0,1,0,0,1,0,0,0,0,0,0
195,19.3106993246943,0.160446904483916,CA,2023-03-03,0,0,0,0,1,1,0,0,0,0,0,1,0,0
196,8.69881469964479,0.1346040386060365,CA,2023-03-04,0,1,0,0,1,0,0,0,0,0,0,0,0,0
197,0.930500887680024,0.0553580214921675,CA,2023-03-05,1,1,1,1,1,1,1,1,0,1,0,0,1,1
198,6.83886895280123,0.1771335636174285,CA,2023-03-06,1,0,1,0,1,1,1,1,0,1,0,1,1,1
199,13.0658869268631,0.1877645554825115,CA,2023-03-07,1,0,0,0,1,0,0,1,0,0,0,0,0,0
200,26.4140101945125,0.189818944383308,CA,2023-03-08,1,0,0,0,0,0,0,1,0,0,0,0,0,0
201,5.82344984765134,0.0920519468983955,CA,2023-03-09,0,1,1,0,1,0,0,0,0,1,0,0,0,0
202,12.7764051822179,0.1332092992417535,CA,2023-03-10,0,0,1,0,1,0,0,0,0,1,0,1,0,0
203,4.32749109676382,0.0890790186378195,CA,2023-03-11,1,0,1,0,1,0,1,1,0,1,0,0,0,1
204,11.7693122691869,0.155598580844582,CA,2023-03-12,1,0,1,0,1,0,0,1,0,0,0,1,0,0
205,14.6493048604184,0.1774530627267825,CA,2023-03-13,1,0,0,0,1,0,0,1,0,0,0,0,0,0
206,12.3784561894496,0.139184878047933,CA,2023-03-14,0,0,0,0,1,0,0,0,0,0,0,1,0,0
207,13.0366375740625,0.1393733376301555,CA,2023-03-15,0,0,0,0,1,1,1,0,0,0,0,0,0,1
208,7.80204219911187,0.101021426172173,CA,2023-03-16,0,0,0,0,1,0,0,0,0,0,0,0,0,0
209,13.0813865863269,0.1614029010999265,CA,2023-03-17,1,0,0,0,1,0,0,1,0,0,0,1,0,0
210,6.55382669208664,0.13882765002007,CA,2023-03-18,1,1,0,0,1,0,0,1,1,0,0,1,0,0
