...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,1.59831080754139,0.544672374453445,AK,2022-12-18,0,1,0,1,1,1,1,0,1,0,1,1,1,1
2,0.999484783186745,0.306688591268934,AK,2022-12-19,1,1,1,0,1,1,1,0,1,1,0,1,1,1
3,0.398754455200323,0.2406729473614335,AK,2022-12-20,1,1,1,1,1,1,1,0,1,0,1,1,1,1
4,1.00188241402024,0.3254047779764995,AK,2022-12-21,0,1,1,1,1,1,1,0,0,0,1,1,1,1
5,0.758878488839422,0.298960861026239,AK,2022-12-22,1,0,1,1,1,1,1,1,0,0,1,1,1,1
6,0.0989363159594865,0.074082544516002,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1.12068960678206,0.336280313436931,AK,2022-12-24,0,1,1,1,1,1,1,0,1,1,0,0,1,1
8,0.265950692282986,0.0729537213174345,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1.57900337439586,0.327176395007591,AK,2022-12-26,1,0,1,1,1,1,1,0,0,0,1,0,1,1
10,6.70481764653842,0.606937398007305,AK,2022-12-27,1,0,0,1,1,1,1,0,0,0,1,0,1,1
11,1.58371119729608,0.382807411473445,AK,2022-12-28,1,0,1,1,1,1,1,1,0,0,1,1,1,1
12,0.821775892317911,0.2864289234941045,AK,2022-12-29,1,1,1,1,1,0,1,1,1,0,1,1,0,1
13,2.94276387214361,0.55265004092721,AK,2022-12-30,0,0,0,1,1,1,1,0,0,0,1,1,1,1
14,1.00812553822899,0.3550709593105725,AK,2022-12-31,1,0,1,1,1,1,1,1,0,0,1,0,1,1
15,0.8224988673872,0.386214611268823,AK,2023-01-01,1,0,1,1,1,1,1,1,0,0,1,1,1,1
16,0.792088712317656,0.2351764932165015,AK,2023-01-02,1,0,1,1,1,1,1,1,0,1,1,0,1,1
17,1.46376724794259,0.237045350336139,AK,2023-01-03,1,1,1,1,0,1,1,0,1,0,1,0,1,1
18,1.15299090401297,0.2190632782854035,AK,2023-01-04,1,0,1,1,1,1,1,0,0,0,1,1,1,1
19,0.514170424175489,0.0927085252981965,AK,2023-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0.799659879985976,0.294428305330966,AK,2023-01-06,1,0,1,1,1,1,1,1,0,0,0,0,1,1
21,0.53792389503286,0.296598498435295,AK,2023-01-07,1,1,1,1,1,1,1,1,1,0,1,0,1,1
22,0.120953994775623,0.1058093215815075,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0.862705263780598,0.297577951398231,AK,2023-01-09,1,0,1,1,1,1,1,1,0,0,1,1,1,1
24,0.789893068854526,0.172774357136368,AK,2023-01-10,1,1,1,1,1,1,1,1,1,0,1,0,1,1
25,1.22528934395314,0.308269659775789,AK,2023-01-11,1,0,1,1,1,1,1,0,0,1,1,0,1,1
26,0.917195655339612,0.128894792624598,AK,2023-01-12,1,1,0,1,1,1,1,1,1,0,1,0,1,1
27,0.805709966137586,0.228563809628604,AK,2023-01-13,1,1,1,1,1,1,1,1,1,0,1,0,1,1
28,0.163709545706169,0.1429758934817085,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.177794561243542,0.150670236881504,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,0.562951181754701,0.2124885512582025,AK,2023-01-16,1,1,1,1,1,1,1,1,1,0,1,0,1,1
31,1.64914848656883,0.251715508968982,AK,2023-01-17,1,1,1,0,1,1,1,1,1,1,0,1,0,1
32,1.41989658290948,0.260912152927244,AK,2023-01-18,0,1,1,1,1,1,1,0,1,0,1,1,1,1
33,0.765237274689999,0.2837541387806415,AK,2023-01-19,1,1,1,1,1,1,1,1,1,0,1,0,1,1
34,1.48788020662794,0.223188142023379,AK,2023-01-20,1,1,1,1,1,1,1,1,1,0,1,0,0,1
