...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.237252935995609,0.2007780038645315,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
2,0.614182436633922,0.238053656216837,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
3,1.96433929375592,0.276743401411071,AK,2023-01-17,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1
4,1.8683060588522,0.301189440799477,AK,2023-01-18,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1
5,0.586959747736583,0.2515978237101095,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
6,2.14208181077109,0.2745099105708165,AK,2023-01-20,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
7,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.237950051177661,0.259378349802302,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.942040193672298,0.3534131591463905,AK,2023-01-23,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
10,2.88481700201456,0.3897485998185055,AK,2023-01-24,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,1
11,2.17046896985586,0.4155471847592215,AK,2023-01-25,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
12,4.53248525566399,0.390275378812137,AK,2023-01-26,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1
13,0.813555807967604,0.3256476513147015,AK,2023-01-27,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
14,0.525021170476213,0.471378149792132,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
15,0.784187628911708,0.3604318296478675,AK,2023-01-29,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
16,2.0826637744846,0.51953747029746,AK,2023-01-30,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
17,0.760072254030875,0.27346277740353,AK,2023-01-31,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
18,0.418660914796382,0.062731526520155,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
19,0.887327877514398,0.233464477022355,AK,2023-02-02,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1
20,0.926847014469221,0.3744444382411625,AK,2023-02-03,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
21,2.03824716776006,0.3807754249028425,AK,2023-02-04,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1
22,0.512407120331365,0.0370697219658144,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
23,2.00591746175514,0.0783078348909525,AK,2023-02-06,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
24,0.838988234877999,0.2731708169724875,AK,2023-02-07,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1
25,1.10978047251461,0.2990438511601775,AK,2023-02-08,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1
