...1,es_score,brier_score,location,target_date,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
1,NA,NA,AK,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2023-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2023-08-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2023-08-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2023-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,AK,2023-08-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,AK,2023-08-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,AK,2023-08-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,AK,2023-08-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,AK,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-08-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2023-08-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.761406218095224,0.53364925574075,AK,2023-08-18,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
21,NA,NA,AK,2023-08-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-08-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.459389032435606,0.325275736262301,AK,2023-08-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,NA,NA,AK,2023-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.391059875777912,0.285213678171178,AK,2023-08-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,NA,NA,AK,2023-08-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.724803655689789,0.50474550655233,AK,2023-09-06,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
40,NA,NA,AK,2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.86959346945304306,0.4516507470749445,AL,2023-07-31,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
45,1.13157925513503,0.4759590617323055,AL,2023-08-01,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
46,0.727103531404615,0.389573011201899,AL,2023-08-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
47,0.634596530567266,0.45269823942435,AL,2023-08-03,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
48,0.737760765359348,0.52171228812373,AL,2023-08-04,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
49,NA,NA,AL,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,NA,NA,AL,2023-08-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0.745263521854603,0.52402469181814,AL,2023-08-08,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
53,0.68552762180623,0.4779521022931325,AL,2023-08-09,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
54,0.686223429024095,0.481981233837275,AL,2023-08-10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
55,NA,NA,AL,2023-08-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.437402395643989,0.3093570185847515,AL,2023-08-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,NA,NA,AL,2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0.725980934931691,0.3994842453149075,AL,2023-08-16,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
61,0.777496212892137,0.411241212473218,AL,2023-08-17,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
62,0.873111428456309,0.3256220307077355,AL,2023-08-18,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
63,1.04332863639927,0.3169593874249595,AL,2023-08-19,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
64,1.0503698556095,0.3630073411652515,AL,2023-08-20,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
65,NA,NA,AL,2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.462467478387168,0.323009792515279,AL,2023-08-22,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
67,0.710770822127579,0.3890950195018345,AL,2023-08-23,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
68,1.68722690124315,0.4809786962695265,AL,2023-08-24,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,0
69,0.698621595418689,0.3863353800798235,AL,2023-08-25,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
70,0.663754927142019,0.467904881561916,AL,2023-08-26,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1
71,NA,NA,AL,2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.848174990664443,0.3604435461121695,AL,2023-08-28,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
73,0.683503811410408,0.4811330320309765,AL,2023-08-29,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1
74,1.08351624190898,0.462593435091463,AL,2023-08-30,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0
75,NA,NA,AL,2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0.455517623468519,0.309799575562328,AL,2023-09-01,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
77,0.506358077057843,0.354740404634582,AL,2023-09-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,NA,NA,AL,2023-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.508982107883637,0.3620894369422085,AL,2023-09-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0.529324961853626,0.365939942178268,AL,2023-09-05,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
81,1.27068818085617,0.4128224159867065,AL,2023-09-06,1,0,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1
82,NA,NA,AL,2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.436118318036677,0.3041995495076305,AR,2023-07-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,1.52476752020006,0.426001508651111,AR,2023-08-01,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
88,1.28817769423526,0.3551492474481845,AR,2023-08-02,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
89,NA,NA,AR,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0.590828685557831,0.419558828118477,AR,2023-08-04,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
91,NA,NA,AR,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.568397419980754,0.4038265471636205,AR,2023-08-07,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1
94,1.61956119278167,0.352872379734586,AR,2023-08-08,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,0
95,1.30722545673287,0.431823771083641,AR,2023-08-09,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1
96,0.689656955704636,0.481981233837275,AR,2023-08-10,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
97,0.741105969639725,0.396116651498467,AR,2023-08-11,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
98,NA,NA,AR,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.760810513117875,0.4034953842614205,AR,2023-08-14,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
101,0.540217154570944,0.336644415329901,AR,2023-08-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
102,1.53085398440523,0.458197509593116,AR,2023-08-16,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0
103,1.62375956281702,0.362394318253291,AR,2023-08-17,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
104,1.51345029464993,0.451761081660292,AR,2023-08-18,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0
105,0.665005671794316,0.4674800212714645,AR,2023-08-19,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
106,NA,NA,AR,2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1.87440085903544,0.3874752014218595,AR,2023-08-21,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0
