...1,es_score,brier_score,location,target_date,X21L_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22B_95_CI
1,0.255986689452119,0.0587032456137965,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1.5158162606791,0.3304876680229665,AK,2022-12-26,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,1
3,7.01520365965143,0.6303049889532,AK,2022-12-27,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1
4,1.59635801289016,0.388220916341255,AK,2022-12-28,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0
5,0.81875064631248,0.287226433220146,AK,2022-12-29,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
6,3.01860702042292,0.572408692429885,AK,2022-12-30,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1
7,0.904271202110855,0.360438159262884,AK,2022-12-31,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0
8,0.820259130430674,0.391098470555909,AK,2023-01-01,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0
9,0.845980243122025,0.2328596625261725,AK,2023-01-02,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,1.04557636873835,0.2362749184468385,AK,2023-01-03,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0
11,1.495992277214,0.2177531084244355,AK,2023-01-04,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0
12,0.653497919948619,0.0871330181523395,AK,2023-01-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
13,0.847223101322839,0.296593225229483,AK,2023-01-06,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
14,0.395762711517183,0.2947880990432495,AK,2023-01-07,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
15,0.153665150445868,0.106313811732741,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.763659659805981,0.299271365026249,AK,2023-01-09,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0
17,0.92816039726775,0.175066872075378,AK,2023-01-10,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
18,1.53220280093271,0.317659342058846,AK,2023-01-11,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0
19,1.34241805824189,0.1421311024508975,AK,2023-01-12,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
20,0.522553597703127,0.2290472423562995,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
21,0.227781933640607,0.1648913921390605,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.25207332845714,0.1775374631824075,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0.593929266985773,0.224304451003452,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
