...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,other_95_CI
1,0.364435717008379,0.01202197321135255,AK,2022-08-21,1,1,1,0,0,1
2,1.45096566982155,0.273073581157549,AK,2022-08-22,0,0,1,0,0,1
3,0.0149348305867829,0.0112880678750395,AK,2022-08-23,1,1,1,1,1,1
4,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA
5,0.0592344270451892,0.01060357480576685,AK,2022-08-25,1,1,1,1,1,1
6,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA
7,0.0533942161754561,0.00996410787515395,AK,2022-08-27,1,1,1,1,1,1
8,0.0474374015069542,0.0096600510250826,AK,2022-08-28,1,1,1,1,1,1
9,0.0994502250037314,0.0093658641766063,AK,2022-08-29,1,1,1,0,0,1
10,0.0479632641830763,0.00908114604107875,AK,2022-08-30,1,1,1,0,0,1
11,0.538332052884786,0.171276698542712,AK,2022-08-31,1,1,1,1,1,1
12,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA
13,0.0132283980792536,0.0082801480265566,AK,2022-09-02,1,1,1,1,1,1
14,NA,NA,AK,2022-09-03,NA,NA,NA,NA,NA,NA
15,0.0109288726888045,0.0077871514453079,AK,2022-09-04,1,1,1,1,1,1
16,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA
17,0.0826967653443426,0.00732421069617885,AK,2022-09-06,1,1,1,0,0,1
18,0.0106675684496074,0.0071033515200691,AK,2022-09-07,1,1,1,1,1,1
19,NA,NA,AK,2022-09-08,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-09-09,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-09-10,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-09-11,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2022-09-12,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2022-09-13,NA,NA,NA,NA,NA,NA
25,0.00767141560245223,0.00573413631726205,AK,2022-09-14,1,1,1,1,1,1
26,NA,NA,AK,2022-09-15,NA,NA,NA,NA,NA,NA
27,0.0266325619681851,0.0053937983379427,AK,2022-09-16,1,1,1,1,1,1
28,0.00753651377106965,0.0052312250731356,AK,2022-09-17,1,1,1,1,1,1
29,0.0259181125721995,0.0050735057940023,AK,2022-09-18,1,1,1,1,1,1
30,0.0868233972887281,0.00492049054991295,AK,2022-09-19,1,1,1,1,1,1
31,NA,NA,AK,2022-09-20,NA,NA,NA,NA,NA,NA
32,0.00663588600818543,0.00462799974101666,AK,2022-09-21,1,1,1,1,1,1
33,NA,NA,AK,2022-09-22,NA,NA,NA,NA,NA,NA
34,0.00685105860106984,0.0043526584726291,AK,2022-09-23,1,1,1,1,1,1
35,NA,NA,AK,2022-09-24,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-09-25,NA,NA,NA,NA,NA,NA
37,0.114097979735438,0.00396959197877746,AK,2022-09-26,1,1,1,1,1,1
38,NA,NA,AK,2022-09-27,NA,NA,NA,NA,NA,NA
39,0.0060580807744854,0.00373281406512001,AK,2022-09-28,1,1,1,1,1,1
40,NA,NA,AK,2022-09-29,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-09-30,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-10-01,NA,NA,NA,NA,NA,NA
43,0.789142271344074,0.01202197321135255,AL,2022-08-21,1,1,1,0,0,1
44,0.917418150606997,0.123687845478048,AL,2022-08-22,1,1,1,0,0,1
45,5.61152260399549,0.2738287020058835,AL,2022-08-23,0,0,1,0,0,1
46,0.437607155583313,0.063667113465351,AL,2022-08-24,1,1,1,0,0,1
47,0.379159954472969,0.0673274681404975,AL,2022-08-25,1,1,1,1,0,0
48,1.28582248204023,0.1658193874375195,AL,2022-08-26,1,0,0,0,0,0
49,0.774186791552808,0.119112113457045,AL,2022-08-27,1,1,1,1,1,1
50,0.623630647969808,0.1244428458574695,AL,2022-08-28,1,1,1,0,0,1
51,1.38431997737452,0.050724243692486,AL,2022-08-29,1,1,1,0,0,0
52,1.8749499112217,0.175572143844704,AL,2022-08-30,1,0,0,0,1,0
53,2.84933074540798,0.2254337580634275,AL,2022-08-31,0,0,1,0,0,1
54,0.297163027027644,0.0712476533248735,AL,2022-09-01,1,1,1,1,1,1
55,0.274773606984098,0.082646704376977,AL,2022-09-02,1,1,1,1,1,1
56,2.0063304339862,0.213230153280723,AL,2022-09-03,0,0,1,1,1,1
57,0.603187328743953,0.0077871514453079,AL,2022-09-04,1,1,1,1,0,0
58,NA,NA,AL,2022-09-05,NA,NA,NA,NA,NA,NA
59,1.1420677454264,0.1730939646100445,AL,2022-09-06,0,0,1,0,0,1
60,0.303483575694411,0.090248094622543,AL,2022-09-07,1,1,1,0,0,1
61,2.81546753016407,0.2031258953962675,AL,2022-09-08,0,0,1,0,0,1
62,0.50957394868425,0.146102430071724,AL,2022-09-09,1,1,1,1,1,1
63,1.01272134368021,0.4259828433688865,AL,2022-09-10,0,0,1,0,0,1
64,0.634031479808211,0.174574639756804,AL,2022-09-11,1,1,1,0,0,1
65,1.36729474937118,0.193618687267734,AL,2022-09-12,0,0,1,0,0,1
66,0.310854046732693,0.0828414869342915,AL,2022-09-13,1,1,1,1,1,1
67,1.49205577053319,0.2178729226329945,AL,2022-09-14,0,0,1,0,0,1
68,0.254073882512817,0.00556138140509025,AL,2022-09-15,1,1,1,0,0,1
69,0.768508936835933,0.218673155463881,AL,2022-09-16,1,1,1,0,0,1
70,0.758868625455828,0.2190681304667265,AL,2022-09-17,1,1,1,0,0,1
71,0.00712922026604682,0.0050735057940023,AL,2022-09-18,1,1,1,1,1,1
72,0.905320231239856,0.2914901771096885,AL,2022-09-19,0,0,1,0,0,1
73,0.0881830498863505,0.00477203492619388,AL,2022-09-20,1,1,1,1,1,1
74,0.549516603648357,0.128048322923001,AL,2022-09-21,1,1,1,0,0,1
75,0.705378762920207,0.177690669364048,AL,2022-09-22,1,1,1,0,0,1
76,2.99124589743798,0.3298719384317775,AL,2022-09-23,0,0,1,0,0,1
77,0.0439969179095282,0.004221097789035405,AL,2022-09-24,1,1,1,0,0,1
78,0.83316027331611,0.2221035587910785,AL,2022-09-25,0,0,1,0,0,1
79,0.826987922714148,0.222467362204337,AL,2022-09-26,0,0,1,1,1,1
80,0.969555736679415,0.295820438348963,AL,2022-09-27,0,0,1,0,0,1
81,0.104394346343796,0.00373281406512001,AL,2022-09-28,1,1,1,0,0,1
82,0.960161241447576,0.2968439403373275,AL,2022-09-29,0,0,1,0,0,1
83,0.0202207407469065,0.003509903707901715,AL,2022-09-30,1,1,1,1,1,1
84,2.11248514077363,0.3567325819824675,AL,2022-10-01,0,0,1,0,0,1
85,1.34229154434506,0.186667053040668,AR,2022-08-21,1,0,0,0,0,0
86,3.18243348766725,0.186375196264896,AR,2022-08-22,0,0,0,0,0,0
87,2.85154969353796,0.0434359006257551,AR,2022-08-23,0,0,1,0,0,1
88,1.80438348729366,0.1098127147195055,AR,2022-08-24,1,1,0,0,0,0
89,1.21398172088105,0.1236196307226145,AR,2022-08-25,1,1,0,0,0,0
90,0.634546843489948,0.0693380370978175,AR,2022-08-26,1,1,1,0,0,1
91,0.952380118604291,0.0447649212490903,AR,2022-08-27,1,1,1,0,0,1
92,2.90815279285255,0.2392256406898565,AR,2022-08-28,0,0,1,0,0,1
93,1.35625396469581,0.1100436479095675,AR,2022-08-29,1,1,0,0,0,0
94,1.10626896207037,0.087180517070657,AR,2022-08-30,1,1,0,0,1,0
95,2.18332571234986,0.1321186298569435,AR,2022-08-31,1,0,0,0,0,0
96,3.87155773594715,0.1503155499754685,AR,2022-09-01,0,0,1,0,0,1
97,1.80455086311075,0.2201624735235625,AR,2022-09-02,1,0,0,0,0,0
98,0.43281358645897,0.0080297537394678,AR,2022-09-03,1,1,1,1,1,1
99,0.870422486741689,0.1450416238197395,AR,2022-09-04,1,1,1,0,0,1
100,1.07816815557049,0.141198114874403,AR,2022-09-05,1,1,0,1,0,0
101,3.47019869810465,0.11953346318046,AR,2022-09-06,0,0,0,0,0,0
102,6.55849691588456,0.1896499802987665,AR,2022-09-07,0,0,0,0,0,0
103,4.77382266156636,0.224455966555055,AR,2022-09-08,0,0,1,0,0,1
104,2.62533505234299,0.182792109392034,AR,2022-09-09,0,0,1,0,0,1
105,0.799749442739983,0.1263382097214655,AR,2022-09-10,1,1,1,0,0,1
106,0.292002542177177,0.0623816495585275,AR,2022-09-11,1,1,1,1,1,1
107,4.38197969299069,0.161542411338422,AR,2022-09-12,0,0,1,0,0,1
108,1.02339355947891,0.104155912872877,AR,2022-09-13,1,1,0,0,0,0
109,1.46308179866729,0.04588244106869395,AR,2022-09-14,0,1,0,0,0,0
110,1.65039907048673,0.147370293689007,AR,2022-09-15,0,0,1,0,0,1
111,1.4490706599704,0.1369971569058875,AR,2022-09-16,1,0,0,0,0,0
112,1.1801121992515,0.314234147901955,AR,2022-09-17,1,0,0,0,1,0
113,1.4239135465887,0.1956389818866855,AR,2022-09-18,0,0,1,0,0,1
114,2.02030836237734,0.1181831286371455,AR,2022-09-19,1,0,0,1,0,0
115,0.503136885835019,0.079714767325184,AR,2022-09-20,1,1,1,0,0,1
116,2.18814887539776,0.120463241419359,AR,2022-09-21,1,0,0,0,0,0
117,0.289539433728093,0.0622223902991065,AR,2022-09-22,1,1,1,0,0,1
118,0.837557410423025,0.221365511778728,AR,2022-09-23,0,0,1,0,0,1
119,0.0065489543007473,0.004221097789035405,AR,2022-09-24,1,1,1,1,1,1
120,0.0204873775871899,0.00409344788750654,AR,2022-09-25,1,1,1,1,1,1
121,1.10772270094509,0.0590693132685255,AR,2022-09-26,1,1,0,1,0,0
122,0.317449495993897,0.0664146359586555,AR,2022-09-27,1,1,1,1,1,1
123,0.783967433136752,0.096133532552982,AR,2022-09-28,1,1,1,0,0,1
124,0.556372168796186,0.00361967705342645,AR,2022-09-29,1,1,1,1,1,1
125,1.86002461004736,0.255370294955346,AR,2022-09-30,0,0,1,0,0,1
126,0.0188511433211697,0.0034033948696405,AR,2022-10-01,1,1,1,1,1,1
127,3.96602405871802,0.1934321714727605,AZ,2022-08-21,0,0,0,0,0,0
128,1.60470656071633,0.11699893194016,AZ,2022-08-22,1,1,1,0,0,1
129,1.63368506126114,0.0527418522114885,AZ,2022-08-23,0,0,1,0,0,1
130,3.36500761841873,0.169121472397815,AZ,2022-08-24,0,0,1,0,0,0
131,0.280569694961422,0.0827976208681515,AZ,2022-08-25,1,1,1,0,0,1
132,1.04588427187521,0.1162771417565115,AZ,2022-08-26,1,1,0,0,0,0
133,0.521413666400338,0.073997604483197,AZ,2022-08-27,1,1,1,0,0,1
134,0.617758906943732,0.086181914246674,AZ,2022-08-28,1,1,1,0,0,1
135,0.843463172197198,0.080526605402458,AZ,2022-08-29,1,1,1,0,0,1
136,1.26125759760397,0.1155872918957035,AZ,2022-08-30,1,1,1,0,0,1
137,2.11362504455349,0.04225762986368685,AZ,2022-08-31,0,1,0,0,1,0
138,1.42524788592106,0.1374055258033355,AZ,2022-09-01,1,0,0,1,0,0
139,1.08275769871388,0.083260834379141,AZ,2022-09-02,1,1,0,0,1,0
140,0.968948710292208,0.0080297537394678,AZ,2022-09-03,1,1,1,0,0,1
141,0.300309871896612,0.066610496748636,AZ,2022-09-04,1,1,1,0,0,1
142,1.69111200866312,0.128009927691059,AZ,2022-09-05,1,0,0,0,0,0
143,2.88545547999,0.1585223605289115,AZ,2022-09-06,1,0,0,0,0,0
144,0.419825461996035,0.053294875465888,AZ,2022-09-07,1,1,1,0,0,1
145,2.14326695133583,0.2153906863125705,AZ,2022-09-08,0,0,1,0,0,1
146,4.10194032312548,0.2390496176831755,AZ,2022-09-09,0,0,1,1,1,1
147,1.44598466832593,0.1507181082610245,AZ,2022-09-10,1,0,0,0,1,0
148,0.307102018158769,0.0588756186148315,AZ,2022-09-11,1,1,1,0,0,1
149,2.09414749356341,0.104533515684619,AZ,2022-09-12,1,0,0,0,0,0
150,1.03999385329993,0.1099349529397335,AZ,2022-09-13,1,1,0,1,0,0
151,3.0362417758618,0.205394170496775,AZ,2022-09-14,0,0,1,0,0,1
152,0.834617747642934,0.119008511232224,AZ,2022-09-15,1,1,1,0,0,1
153,0.649649463130592,0.0053937983379427,AZ,2022-09-16,1,1,1,1,1,1
154,1.11214115998859,0.1240549844105235,AZ,2022-09-17,1,1,0,1,0,0
155,1.0327268112122,0.089452002756642,AZ,2022-09-18,1,1,0,1,0,0
156,3.35908842747965,0.1305763997909515,AZ,2022-09-19,1,0,0,0,0,0
157,1.09367071812921,0.066799396450497,AZ,2022-09-20,1,1,0,1,0,0
158,3.57688542027385,0.204049501233561,AZ,2022-09-21,0,0,0,0,0,0
159,1.27477399596276,0.106972965652122,AZ,2022-09-22,1,1,0,0,1,0
160,1.08920766869498,0.0043526584726291,AZ,2022-09-23,0,0,1,0,0,1
161,0.158558801101965,0.004221097789035405,AZ,2022-09-24,1,1,1,0,0,1
162,0.741005905645076,0.0958871787942735,AZ,2022-09-25,1,1,1,0,0,1
163,2.00001136257868,0.0828356229710255,AZ,2022-09-26,1,1,0,0,0,0
164,3.05160971563949,0.106320474675299,AZ,2022-09-27,1,0,0,0,1,0
165,1.4796197630269,0.115993875342296,AZ,2022-09-28,1,0,0,0,1,0
166,2.31198211611802,0.156891065867721,AZ,2022-09-29,1,0,0,1,0,0
167,0.358789836706981,0.003509903707901715,AZ,2022-09-30,1,1,1,1,1,1
168,0.309896920758267,0.0664978925683595,AZ,2022-10-01,1,1,1,1,1,1
169,8.42055521091822,0.0974888391995505,CA,2022-08-21,0,1,0,0,0,0
170,32.396733630346,0.0665390090025165,CA,2022-08-22,0,0,0,0,0,0
171,9.23808767735374,0.079125577595832,CA,2022-08-23,0,0,0,0,0,0
172,18.9910758577671,0.065929090175271,CA,2022-08-24,0,0,0,0,0,0
173,12.8612399294174,0.04165911417338475,CA,2022-08-25,0,0,1,0,0,1
174,7.13696073717673,0.0756706827638445,CA,2022-08-26,0,0,0,0,0,0
175,4.38533203767462,0.106948859462364,CA,2022-08-27,1,0,0,0,0,0
176,12.4486041029214,0.07000593380011,CA,2022-08-28,0,0,0,0,0,0
177,22.3339566372507,0.0630792440640495,CA,2022-08-29,0,0,0,0,0,0
178,6.84869512998723,0.078706839128115,CA,2022-08-30,0,1,0,0,0,0
179,4.40225522642329,0.095659003449778,CA,2022-08-31,1,1,0,0,0,0
180,4.06127136835887,0.062586186269417,CA,2022-09-01,0,0,1,0,0,0
181,2.8822601608932,0.0858822958223535,CA,2022-09-02,1,1,0,0,0,0
182,2.42013162689551,0.066395799948663,CA,2022-09-03,0,1,0,0,0,0
183,2.14535893384495,0.0843261217651515,CA,2022-09-04,1,1,0,0,0,0
184,0.633691358409564,0.074997683071199,CA,2022-09-05,1,1,1,0,0,1
185,11.3923393753442,0.0708214412360125,CA,2022-09-06,0,0,0,0,0,0
186,5.32478324858495,0.10341015037086,CA,2022-09-07,1,0,0,0,0,0
187,2.88461384869549,0.101304989676017,CA,2022-09-08,0,0,1,0,0,1
188,4.83605481637326,0.083763949120791,CA,2022-09-09,0,1,0,0,0,0
189,5.36439414387965,0.0755303439213665,CA,2022-09-10,0,1,0,0,1,0
190,7.26455850947517,0.104908365880032,CA,2022-09-11,0,0,0,0,0,0
191,13.808603736934,0.078024576668387,CA,2022-09-12,0,1,0,0,0,0
192,8.03723482076275,0.0915353908001745,CA,2022-09-13,1,0,0,0,0,0
193,3.88282826035864,0.0896648055357665,CA,2022-09-14,1,0,0,0,0,0
194,4.17695818599295,0.092846224733015,CA,2022-09-15,1,0,0,0,0,0
195,6.89895042994361,0.0813034534288565,CA,2022-09-16,0,1,0,0,0,0
196,9.78689085886842,0.108272157084072,CA,2022-09-17,0,0,0,0,0,0
197,13.5403335811178,0.09391282865452,CA,2022-09-18,0,0,0,0,0,0
198,11.2143588543002,0.087139501488568,CA,2022-09-19,1,0,0,0,0,0
199,1.39351549265746,0.0701749434792655,CA,2022-09-20,1,1,0,0,0,0
200,8.93726040694896,0.116020538231103,CA,2022-09-21,0,0,0,0,0,0
201,3.89686117939438,0.077764378667812,CA,2022-09-22,0,1,0,0,0,0
202,4.84055966781274,0.0707860075201585,CA,2022-09-23,0,1,0,0,0,0
203,16.3250221946194,0.121983340895025,CA,2022-09-24,1,0,0,0,0,0
204,10.1957971115402,0.1183416485696345,CA,2022-09-25,0,0,0,0,0,0
205,19.4303914958428,0.0924757657182265,CA,2022-09-26,0,0,0,0,0,0
206,16.4844878480425,0.131480442869598,CA,2022-09-27,1,0,0,0,0,0
207,4.25269241398793,0.0965480033408375,CA,2022-09-28,1,0,0,0,0,0
208,15.4746258996744,0.1262455476015155,CA,2022-09-29,1,0,0,0,0,0
209,16.6283743917858,0.156929732889827,CA,2022-09-30,0,0,0,0,0,0
210,16.8587674824416,0.124244488847435,CA,2022-10-01,1,0,0,0,0,0
211,0.425627367423242,0.094218306296381,CO,2022-08-21,1,1,1,0,0,1
212,5.17651561275092,0.2503409692063205,CO,2022-08-22,0,0,1,0,0,1
213,0.279456723068506,0.0112880678750395,CO,2022-08-23,1,1,1,1,1,1
214,0.959197518005942,0.01093993399911915,CO,2022-08-24,1,1,1,1,1,1
215,0.635057837531284,0.132778114295956,CO,2022-08-25,1,1,1,0,0,1
216,0.453819503500653,0.1040789629863325,CO,2022-08-26,1,1,1,0,0,1
