...1,es_score,brier_score,location,target_date,X21L_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI,X22B_95_CI
1,0.531108984768673,0.068606046140137,AK,2022-12-11,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0
2,0.691280613937699,0.231713775041315,AK,2022-12-12,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
3,1.30724160186665,0.3295829308591335,AK,2022-12-13,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
4,1.38527516794231,0.4240296768924725,AK,2022-12-14,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0
5,0.744870380663736,0.2784097421095075,AK,2022-12-15,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
6,4.40774429412357,0.4989607933520875,AK,2022-12-16,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0
7,0.0756529442962251,0.0532708694571955,AK,2022-12-17,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
8,1.83129179113608,0.64334139823293,AK,2022-12-18,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
9,1.28321519313089,0.3196041693793875,AK,2022-12-19,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0
10,0.538140896431527,0.252779320644664,AK,2022-12-20,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
11,1.33407254340795,0.3573149518542855,AK,2022-12-21,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
12,0.920706118828474,0.310854904423101,AK,2022-12-22,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
13,0.0688213169863809,0.04949797683277585,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,1.40971984245467,0.3658801596067325,AK,2022-12-24,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
15,0.224871957644442,0.050952755818121,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
16,1.57549486773444,0.3324043964019385,AK,2022-12-26,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0
17,7.276311370705,0.64876683527236,AK,2022-12-27,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
18,1.67037292392191,0.39530349201804,AK,2022-12-28,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0
19,0.839328261967399,0.2894456138369325,AK,2022-12-29,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
20,3.22497684980391,0.587010994002335,AK,2022-12-30,1,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
