...1,es_score,brier_score,location,target_date,X21K_50_CI,X21L_50_CI,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,other_50_CI,X23A_50_CI,X21K_95_CI,X21L_95_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,other_95_CI,X23A_95_CI
1,0.179334736457019,0.0072959648854658,AK,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.756329426764809,0.2167978158243275,AK,2023-04-03,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
3,0.136561435757126,0.0082305488968865,AK,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
4,0.366836702436323,0.0087716740198824,AK,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.0448907250634197,0.00936716971451275,AK,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.603493270988049,0.1728666881137785,AK,2023-04-07,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
7,0.0540254583890177,0.0107390398485235,AK,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.0163587597830407,0.0115253451071675,AK,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1.1574101843596,0.806988594631845,AK,2023-04-10,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1
10,0.217353698550425,0.01332692232133715,AK,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
11,0.0192282415225752,0.014354951749443,AK,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.23467952563752,0.0154771890775712,AK,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0236984008815458,0.01670136538718275,AK,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.0238920350020868,0.0180357982048077,AK,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0278950371956961,0.0194894148548534,AK,2023-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.01606473192037,0.4258603385068325,AK,2023-04-17,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
17,0.10382154012105,0.022793081981942052,AK,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,NA,NA,AK,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.0350763288043038,0.02669670428530765,AK,2023-04-20,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
20,NA,NA,AK,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2023-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.0105262177937765,0.00773984162967325,AL,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,NA,NA,AL,2023-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0.0123019750500504,0.0087716740198824,AL,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,2.07905314123522,0.891389321565175,AL,2023-04-06,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0,0
48,NA,NA,AL,2023-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.0500925512802153,0.0107390398485235,AL,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,NA,NA,AL,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1.10364510559276,0.443786752850877,AL,2023-04-10,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
52,1.22674767524683,0.86831321583675,AL,2023-04-11,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
53,0.0178986262179529,0.014354951749443,AL,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,NA,NA,AL,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.0230770237270929,0.01670136538718275,AL,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,0.0238737492206633,0.0180357982048077,AL,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,NA,NA,AL,2023-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0311931104985983,0.02107177362857595,AL,2023-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0.032288814880901,0.022793081981942052,AL,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
60,0.0347384873268068,0.02466421087723935,AL,2023-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,NA,NA,AL,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,NA,NA,AL,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0.0639071087163978,0.04655135610407115,AL,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
69,NA,NA,AL,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.63653758137188,0.3465602487206075,AL,2023-05-03,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
75,NA,NA,AL,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.037129851139443,0.0072959648854658,AR,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0.0105377860610508,0.00773984162967325,AR,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0.425202292615197,0.0082305488968865,AR,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
88,0.216758510430565,0.0087716740198824,AR,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
89,0.0136973371431031,0.00936716971451275,AR,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,1.12772417447266,0.448882222733352,AR,2023-04-07,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0
91,NA,NA,AR,2023-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,0.0587557216000152,0.0115253451071675,AR,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,0.117943053879341,0.01238593131230775,AR,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
94,0.0186736435334973,0.01332692232133715,AR,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,0.069099222379816,0.014354951749443,AR,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,NA,NA,AR,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,0.852695661646179,0.392867062660137,AR,2023-04-16,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
100,0.0974139881374618,0.02107177362857595,AR,2023-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,NA,NA,AR,2023-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,0.0377067801697932,0.02890278277044645,AR,2023-04-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,0.279050756541524,0.03129533999246435,AR,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
106,0.0451763026456471,0.0338879308848166,AR,2023-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,0.0480017457774121,0.03669475020995295,AR,2023-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,NA,NA,AR,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,0.461254860832744,0.058899090729925,AR,2023-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
114,NA,NA,AR,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1.06973628319219,0.75576172212996,AR,2023-05-02,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
116,0.10665359452031,0.0741903788776005,AR,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
117,NA,NA,AR,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.712808678014285,0.51265478863155,AR,2023-05-08,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
122,0.44866786117368,0.115350586453642,AR,2023-05-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,1.8249529942154,0.51368973306312,AR,2023-05-10,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
124,NA,NA,AR,2023-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.594582202431223,0.1474662911996915,AZ,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
128,0.96356705465456,0.0534616654806295,AZ,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
129,1.63783939313464,0.171211827954567,AZ,2023-04-04,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0
130,1.15557757908517,0.0842501323669225,AZ,2023-04-05,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
131,0.154621765315748,0.00936716971451275,AZ,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,0.396418495305111,0.01002137539496255,AZ,2023-04-07,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
133,0.43951965936684,0.091538100597683,AZ,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
134,1.04022706171172,0.137348014358334,AZ,2023-04-09,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0
135,1.04138620832026,0.135883798599336,AZ,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
136,2.06483399146093,0.210535584305704,AZ,2023-04-11,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0
137,0.0694146990592425,0.014354951749443,AZ,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
138,0.442806389792254,0.0154771890775712,AZ,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
139,0.975548775276981,0.2966632081446365,AZ,2023-04-14,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
140,0.638135071264949,0.0180357982048077,AZ,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
141,1.19555136694337,0.249070829825716,AZ,2023-04-16,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
142,1.56244691364177,0.109494772747452,AZ,2023-04-17,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0
143,0.730547905421835,0.1701240621627185,AZ,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0
144,3.29587736843718,0.057124725874169,AZ,2023-04-19,1,1,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0
145,2.32826220313158,0.23353951763877,AZ,2023-04-20,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0
146,1.06681594636901,0.746469679102465,AZ,2023-04-21,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
147,0.280281356763565,0.03129533999246435,AZ,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
148,3.00125385048672,0.087005560416,AZ,2023-04-23,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0
149,3.45249933060985,0.0655588864101495,AZ,2023-04-24,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0
150,2.52793598895135,0.140380547104948,AZ,2023-04-25,1,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0
151,4.33002169561479,0.110492719784483,AZ,2023-04-26,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0
152,1.74904757645077,0.0947866603486245,AZ,2023-04-27,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0
153,1.54681479743863,0.0503684322370965,AZ,2023-04-28,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
154,0.907630456682459,0.054478717195352,AZ,2023-04-29,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
