"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23B_50_CI","X23D_50_CI","X23E_50_CI","X23H_50_CI","X23I_50_CI","X24A_50_CI","other_50_CI","X23F_50_CI","X22F_95_CI","X23A_95_CI","X23B_95_CI","X23D_95_CI","X23E_95_CI","X23H_95_CI","X23I_95_CI","X24A_95_CI","other_95_CI","X23F_95_CI"
"47",NA,NA,"AL",2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,"AL",2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,"AL",2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",NA,NA,"AL",2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",0.253503381261627,0.36196555072346,"AL",2023-11-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"52",NA,NA,"AL",2023-11-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",NA,NA,"AL",2023-11-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",NA,NA,"AL",2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0.294708133894916,0.419299096483698,"AL",2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"56",NA,NA,"AL",2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",0.787530362807538,1.10466349729485,"AL",2023-12-03,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"58",NA,NA,"AL",2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",NA,NA,"AL",2023-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,"AL",2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",0.814984731087132,1.14747338741701,"AL",2023-12-07,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"62",NA,NA,"AL",2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",NA,NA,"AL",2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",NA,NA,"AL",2023-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",0.476829156298197,0.692052388016706,"AL",2023-12-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"66",NA,NA,"AL",2023-12-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",NA,NA,"AL",2023-12-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",NA,NA,"AL",2023-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1.15791946703032,1.10806364062067,"AL",2023-12-15,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0
"70",NA,NA,"AL",2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",NA,NA,"AL",2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",0.984238969875071,1.40942963095222,"AL",2023-12-18,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
"73",NA,NA,"AL",2023-12-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",NA,NA,"AL",2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,"AL",2023-12-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",NA,NA,"AL",2023-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,"AL",2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",NA,NA,"AL",2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",NA,NA,"AL",2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",NA,NA,"AL",2023-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",0.98978676003657,1.40696667631577,"AL",2023-12-28,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0
"83",NA,NA,"AL",2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",0.217888972378716,0.311624818646313,"AR",2023-11-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"87",0.77418000123878,0.798090923282452,"AR",2023-11-21,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1
"88",NA,NA,"AR",2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",NA,NA,"AR",2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",NA,NA,"AR",2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",NA,NA,"AR",2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",0.744857444384638,1.06613277712681,"AR",2023-11-27,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
"94",1.02127228383684,0.889247562386692,"AR",2023-11-28,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,0
"95",1.56382462303738,1.07653909681834,"AR",2023-11-29,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
"96",NA,NA,"AR",2023-11-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",0.530043495428829,0.754974136217586,"AR",2023-12-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"98",NA,NA,"AR",2023-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2023-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",NA,NA,"AR",2023-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",0.353875760475972,0.504774840597148,"AR",2023-12-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"102",NA,NA,"AR",2023-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",1.6398900797037,1.1465394981906,"AR",2023-12-07,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"104",NA,NA,"AR",2023-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"AR",2023-12-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",0.455927348544935,0.656056955198503,"AR",2023-12-10,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"107",NA,NA,"AR",2023-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",0.770559033042692,0.788881510659508,"AR",2023-12-12,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"109",0.861379336328901,1.22475557436727,"AR",2023-12-13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"110",2.31974842574717,0.806133498177113,"AR",2023-12-14,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
"111",0.204377406274207,0.280783841218297,"AR",2023-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"112",NA,NA,"AR",2023-12-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2.57005206446972,1.29743747964273,"AR",2023-12-18,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0
"115",1.86199637802513,1.14714992816389,"AR",2023-12-19,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,1
"116",NA,NA,"AR",2023-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2.81519930213608,1.19966599266875,"AR",2023-12-21,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
"118",1.65303802215184,1.16010442421428,"AR",2023-12-22,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
"119",NA,NA,"AR",2023-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",NA,NA,"AR",2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",NA,NA,"AR",2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",0.898640143539377,0.811935694681048,"AR",2023-12-27,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"124",2.66035873433819,1.06988525420319,"AR",2023-12-28,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
"125",NA,NA,"AR",2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",NA,NA,"AR",2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2.8038272098945,0.804079134725863,"AZ",2023-11-19,1,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,0
"128",3.31824067588955,0.599100543401292,"AZ",2023-11-20,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0
"129",2.79637162612829,0.775443447631229,"AZ",2023-11-21,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1
"130",1.94667559080896,0.806911898328481,"AZ",2023-11-22,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1
"131",0.829417533501425,0.817619253903406,"AZ",2023-11-23,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0
"132",2.51413546248077,0.693530013912072,"AZ",2023-11-24,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0
"133",1.76922238226112,0.76174210683655,"AZ",2023-11-25,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
"134",3.15398411466781,0.889888350521567,"AZ",2023-11-26,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
"135",2.8681955302102,0.6704155339198,"AZ",2023-11-27,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"136",3.87727672790581,0.704454738483795,"AZ",2023-11-28,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"137",3.86633826093021,0.714467257350396,"AZ",2023-11-29,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0
"138",0.982208491754745,0.752028721189672,"AZ",2023-11-30,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1
"139",1.3555281994684,0.720705948404941,"AZ",2023-12-01,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
"140",1.12782668509194,0.625154243614721,"AZ",2023-12-02,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0
"141",4.00554477070067,0.699848405847051,"AZ",2023-12-03,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0
"142",2.69148958394192,0.739989501350662,"AZ",2023-12-04,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0
"143",6.87565587522505,0.669243022472998,"AZ",2023-12-05,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"144",4.91352060093814,0.861426292742578,"AZ",2023-12-06,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0
"145",2.60006309386213,0.671875748070793,"AZ",2023-12-07,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0
"146",1.1678899120747,0.780101923039132,"AZ",2023-12-08,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0
"147",1.61096952055304,0.621883080147379,"AZ",2023-12-09,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
"148",1.33158559075425,1.04475415718206,"AZ",2023-12-10,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0
"149",3.44039663298407,0.897126287987813,"AZ",2023-12-11,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0
"150",5.74060380983154,1.1227664707116,"AZ",2023-12-12,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0
"151",6.20432896790494,1.0276873731173,"AZ",2023-12-13,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0
"152",3.59497774757609,1.03178865756022,"AZ",2023-12-14,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0
"153",2.08018823970535,0.915187902098333,"AZ",2023-12-15,0,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0
"154",1.74193833236796,0.768030446987326,"AZ",2023-12-16,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1
"155",3.6718725826667,0.760841613706538,"AZ",2023-12-17,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0
"156",13.5304389333741,0.97272635265256,"AZ",2023-12-18,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"157",2.69688706435685,0.718914823390918,"AZ",2023-12-19,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,0,0
"158",1.58559030092047,0.740333753095388,"AZ",2023-12-20,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,0
"159",4.31663686752177,1.04413048419173,"AZ",2023-12-21,1,1,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0
"160",1.84556584544608,0.914829299128436,"AZ",2023-12-22,1,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0
"161",2.63940569460662,1.04319137260879,"AZ",2023-12-23,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0
"162",2.74393700519353,0.691689588553492,"AZ",2023-12-24,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0
"163",1.62613584933101,0.65094768840399,"AZ",2023-12-25,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"164",3.95098010871238,0.621856223169972,"AZ",2023-12-26,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
"165",3.09819993211569,0.690821646590666,"AZ",2023-12-27,1,0,1,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0
"166",2.37416791301793,0.761393083944322,"AZ",2023-12-28,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0
"167",1.27112410805644,0.800632671500328,"AZ",2023-12-29,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,0
"168",0.116668600398649,0.0441618176828861,"AZ",2023-12-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
"169",0.625547026077952,0.702650903356345,"CA",2023-11-19,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
"170",2.76591132799271,0.59850100871508,"CA",2023-11-20,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0
"171",1.85605516619259,0.695253156035458,"CA",2023-11-21,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0
"172",2.29741406225446,0.629462910219828,"CA",2023-11-22,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0
"173",0.962716756877466,0.865567173530872,"CA",2023-11-23,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1
"174",1.63093478571549,0.695384396168909,"CA",2023-11-24,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0
"175",2.0937658885994,0.648115603590047,"CA",2023-11-25,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,0
"176",1.36654952128531,0.540200646379333,"CA",2023-11-26,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0
"177",2.15978995952281,0.742559085080898,"CA",2023-11-27,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0
"178",3.45536917231973,0.715615895746037,"CA",2023-11-28,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
"179",4.43609074349361,0.679238975918478,"CA",2023-11-29,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"180",4.01647209445516,0.608288629177001,"CA",2023-11-30,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0
