...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
58,NA,NA,AL,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0.0041337745229809,0.003083440475482245,AL,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
60,0.0155049827815597,0.002783380713820485,AL,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
61,1.18370424473804,0.314619220530537,AL,2023-03-09,0,0,1,1,1,1,0,0,1,1,1,1
62,NA,NA,AL,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,NA,NA,AL,2023-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0.00220813891792468,0.001557933320592765,AL,2023-03-14,1,1,1,1,1,1,1,1,1,1,1,1
67,0.00730693011455058,0.00142435561801771,AL,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
68,0.00157720167929191,0.001305407180154135,AL,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
69,0.00169823007610635,0.00119949474533046,AL,2023-03-17,1,1,1,1,1,1,1,1,1,1,1,1
70,NA,NA,AL,2023-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1.31673298511297,0.482083787784042,AL,2023-03-20,1,0,1,1,0,1,1,0,1,1,0,1
73,NA,NA,AL,2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.00102161373810794,8.209394491617e-4,AL,2023-03-22,1,1,1,1,1,1,1,1,1,1,1,1
75,NA,NA,AL,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0.00106937173019108,7.2164341477396e-4,AL,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
77,1.33642895373942,0.484727966354417,AL,2023-03-25,1,0,1,1,0,1,1,0,1,1,0,1
78,NA,NA,AL,2023-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.00383892391027381,6.1074230520522e-4,AL,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
80,NA,NA,AL,2023-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2023-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.0874515056733126,0.0172840725651493,AR,2023-02-19,1,1,1,1,1,1,1,0,0,1,1,1
86,2.18013089502152,0.409234097633458,AR,2023-02-20,1,0,1,1,0,0,1,0,1,1,0,0
87,3.92595753447975,0.300804686426742,AR,2023-02-21,1,0,0,1,1,0,1,0,0,1,1,0
88,4.12641892012135,0.4113682745581745,AR,2023-02-22,1,0,1,1,0,0,1,0,1,1,0,0
89,1.16410957950368,0.2091939182760885,AR,2023-02-23,1,0,1,1,1,0,1,0,1,1,1,0
90,1.24831258092484,0.210838811184022,AR,2023-02-24,1,0,1,1,1,0,1,0,1,1,1,0
91,NA,NA,AR,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,0.826654526461381,0.2827012794130285,AR,2023-02-26,1,1,1,1,1,0,1,1,1,1,1,1
93,8.47333649898711,0.431256280408986,AR,2023-02-27,1,0,1,1,0,0,1,0,1,1,0,0
94,2.29897519311057,0.4587003390454745,AR,2023-02-28,1,0,1,1,0,1,1,0,1,1,0,1
95,0.155882314078891,0.00582198680274835,AR,2023-03-01,1,1,1,1,1,1,1,1,1,1,1,1
96,0.0283386660505393,0.0052268143772295,AR,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
97,0.00673796393738825,0.004695310638177415,AR,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
98,NA,NA,AR,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.210121332403467,0.00342006134855437,AR,2023-03-06,1,1,1,1,1,1,1,0,1,1,1,0
101,0.086351521019752,0.003083440475482245,AR,2023-03-07,1,1,1,1,1,1,1,0,1,0,1,1
102,1.08874274511571,0.190090547170865,AR,2023-03-08,1,1,1,1,0,1,1,0,1,1,0,1
103,0.0283098354999673,0.00251597089529707,AR,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
104,0.0260512539317336,0.00227770245288356,AR,2023-03-10,1,1,1,1,1,1,1,1,1,1,1,1
105,1.33145589188316,0.937458057972405,AR,2023-03-11,1,0,1,0,1,1,1,1,1,0,1,0
106,NA,NA,AR,2023-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.0024500401465989,0.001707928268235815,AR,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
108,1.16840461183491,0.2386820794638765,AR,2023-03-14,1,0,0,1,1,1,1,1,1,1,1,1
109,0.00797403802840656,0.00142435561801771,AR,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1
110,0.00737472096337471,0.001305407180154135,AR,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
