...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI,X21L_95_CI
1,0.254567777876691,0.05995311026087,AK,2022-07-10,1,1,1,1,1,0,0,1,1,1
2,1.9059178820132,0.243167600630021,AK,2022-07-11,0,1,1,1,1,0,0,1,1,1
3,0.773306504976236,0.21884485874662,AK,2022-07-12,1,1,1,1,1,0,0,1,1,1
4,1.8043139199479,0.1184286166652395,AK,2022-07-13,1,0,0,1,1,0,0,0,1,1
5,0.534834027116866,0.1716978446998415,AK,2022-07-14,1,1,1,1,1,0,0,1,1,0
6,0.698727459246849,0.1615687941902755,AK,2022-07-15,1,1,1,1,1,1,0,1,1,0
7,1.2090858425985,0.1442450958731665,AK,2022-07-16,1,1,0,1,1,0,1,0,1,1
8,0.807584108443822,0.2362011497311885,AK,2022-07-17,1,1,1,1,1,0,0,0,1,1
9,2.8086741156138,0.0623354570081105,AK,2022-07-18,0,0,0,1,1,0,0,0,1,1
10,3.47025840947082,0.02995999830823475,AK,2022-07-19,0,0,1,1,1,0,0,0,1,1
11,0.610353796396873,0.1454739091330455,AK,2022-07-20,1,1,1,1,1,0,0,0,1,1
12,0.631435410247783,0.141350787453447,AK,2022-07-21,1,1,1,1,1,0,0,1,1,1
13,0.907352397739873,0.102178103410663,AK,2022-07-22,1,1,1,1,1,1,0,0,1,1
14,0.763418928145279,0.0226641655065884,AK,2022-07-23,1,1,1,1,1,0,0,0,1,1
15,0.472583564553174,0.0930513927874555,AK,2022-07-24,1,1,1,1,1,1,1,1,1,1
16,1.19977059802192,0.2023363493908675,AK,2022-07-25,1,1,1,1,0,0,1,0,1,0
17,3.03333783527285,0.0615724113290065,AK,2022-07-26,0,0,1,1,1,0,0,0,1,1
18,1.75008278598322,0.04970745758005005,AK,2022-07-27,1,0,1,1,1,0,0,0,1,1
19,1.67047975820456,0.105153213697696,AK,2022-07-28,0,1,1,1,0,1,1,0,1,0
20,0.991490114721768,0.1166805946348055,AK,2022-07-29,1,1,1,0,1,0,0,1,0,1
21,0.773926090193955,0.103720637780724,AK,2022-07-30,1,1,1,1,1,0,0,1,1,1
22,1.87305123044072,0.0135897674482263,AK,2022-07-31,0,0,1,1,1,0,0,1,1,1
23,1.59799180870645,0.1016711852222665,AK,2022-08-01,0,1,0,1,1,0,0,0,1,1
24,0.415929927896339,0.0722964157238865,AK,2022-08-02,1,1,1,1,1,1,0,0,1,1
25,0.558323801186558,0.01135899503518655,AK,2022-08-03,1,1,1,1,1,0,0,1,1,1
26,0.835623712592359,0.1552672540911105,AK,2022-08-04,1,1,1,1,1,0,0,1,1,1
27,1.47127422131106,0.1702475156488175,AK,2022-08-05,0,0,1,1,1,0,0,1,1,1
28,0.394772699860245,0.00954245031825025,AK,2022-08-06,1,1,1,1,1,0,0,1,1,1
29,0.374126990464636,0.0090125155072259,AK,2022-08-07,1,1,1,1,1,1,1,1,1,1
