"","es_score","brier_score","location","target_date","X22A_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","other_50_CI","X22B_50_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","other_95_CI","X22B_95_CI"
"51",0.611468230305299,0.366466742437006,"AL",2022-11-28,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"52",0.979244939167885,0.695962409058313,"AL",2022-11-29,1,1,1,1,1,1,0,1,0,1,1,1,1,0
"53",0.784428088305842,0.50439452817476,"AL",2022-11-30,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"54",1.22923540037528,0.593728558092342,"AL",2022-12-01,1,1,1,1,1,1,0,1,1,0,1,1,1,0
"55",0.816326278226153,0.602836800408454,"AL",2022-12-02,1,1,1,1,1,1,0,1,1,0,1,1,1,0
"56",NA,NA,"AL",2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1.17897079565911,0.554730109025915,"AL",2022-12-04,1,1,1,1,1,1,0,1,1,0,1,1,1,0
"58",1.47006758471104,0.63068484483228,"AL",2022-12-05,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"59",1.29742727901985,0.710934817327268,"AL",2022-12-06,1,1,0,1,1,1,1,1,1,0,0,1,1,0
"60",0.393000970023723,0.475835464402369,"AL",2022-12-07,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"61",1.66845662257646,0.658059853190651,"AL",2022-12-08,1,1,1,1,1,1,0,0,1,0,1,1,1,0
"62",0.74734946740307,0.446522375010511,"AL",2022-12-09,1,1,1,1,0,1,1,1,1,0,1,0,1,1
"63",0.70321980500243,0.272897999037811,"AL",2022-12-10,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"64",1.75005233424523,1.08387003416315,"AL",2022-12-11,0,0,0,1,1,1,1,0,1,1,1,1,1,0
"65",1.44966340616099,0.879931067983508,"AL",2022-12-12,1,0,0,0,1,1,1,1,0,0,0,1,1,0
"66",0.0708070142489263,0.102377421425747,"AL",2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67",1.30145422387401,0.706349889152889,"AL",2022-12-14,1,1,1,1,1,1,0,1,1,0,1,1,1,0
