"","es_score","brier_score","location","target_date","X22A_50_CI","X22D_50_CI","X22E_50_CI","other_50_CI","X22B_50_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","other_95_CI","X22B_95_CI"
"1",0.0601943719617266,0.0250534736112834,"AK",2022-09-18,1,1,1,1,1,1,1,1,1,1
"2",0.206673874708522,0.0250608550995678,"AK",2022-09-19,1,1,1,1,1,0,1,1,1,0
"3",NA,NA,"AK",2022-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",0.0177217929594281,0.0252419500089041,"AK",2022-09-21,1,1,1,1,1,1,1,1,1,1
"5",NA,NA,"AK",2022-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",0.0177190493838526,0.0256920752454601,"AK",2022-09-23,1,1,1,1,1,1,1,1,1,1
"7",NA,NA,"AK",2022-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,"AK",2022-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",0.327421929337448,0.0270426859420016,"AK",2022-09-26,1,1,1,1,1,0,1,1,1,0
"10",NA,NA,"AK",2022-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0.0211483334174429,0.0285560118707858,"AK",2022-09-28,1,1,1,1,1,1,1,1,1,1
"12",NA,NA,"AK",2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,"AK",2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,"AK",2022-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",0.0244157748524852,0.0338330414447582,"AK",2022-10-02,1,1,1,1,1,1,1,1,1,1
"16",0.864063828582578,0.796803059781564,"AK",2022-10-03,0,1,1,1,1,0,1,1,1,0
"17",1.11428449129185,1.57664057447749,"AK",2022-10-04,1,1,0,1,0,1,1,0,1,0
"18",1.09460153763936,1.54577876935977,"AK",2022-10-05,0,1,1,1,0,0,1,1,1,0
"19",NA,NA,"AK",2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",0.0337602899491177,0.0477506121982123,"AK",2022-10-07,1,1,1,1,1,1,1,1,1,1
"21",NA,NA,"AK",2022-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,"AK",2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1.07428500848699,0.557867531140933,"AK",2022-10-10,1,0,1,1,1,0,0,0,1,1
"24",0.0502520565392763,0.0698097211822524,"AK",2022-10-11,1,1,1,1,1,1,1,1,1,1
