...1,es_score,brier_score,location,target_date,X22A_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI,X22B_95_CI
92,0.471262870683484,0.0637697229363065,AR,2022-09-11,1,1,1,1,1,1,1,1,1,1
93,3.13063232472059,0.157005299545965,AR,2022-09-12,0,1,1,1,0,0,1,0,1,0
94,0.947407816830588,0.1041510589647085,AR,2022-09-13,1,1,1,0,1,1,0,1,0,1
95,1.88615006010425,0.0492096071797512,AR,2022-09-14,0,1,1,0,0,0,1,1,0,0
96,1.10521699860718,0.143373127108813,AR,2022-09-15,0,1,1,1,1,0,1,0,1,1
97,1.03357160329674,0.134599480969609,AR,2022-09-16,1,1,1,0,1,0,1,1,0,1
98,1.07830623564985,0.305691534986988,AR,2022-09-17,1,1,1,0,1,1,1,1,0,0
99,1.09143304931075,0.1879943759084355,AR,2022-09-18,0,1,1,1,1,1,1,0,1,0
100,1.23433787278646,0.1169083873751065,AR,2022-09-19,1,1,1,0,1,1,1,0,0,0
101,0.655830905624089,0.0801116443755915,AR,2022-09-20,1,1,1,1,1,1,1,1,1,1
102,1.689974672111,0.1191453657184445,AR,2022-09-21,1,1,1,0,1,0,1,0,0,0
103,0.532120289554739,0.064115641184919,AR,2022-09-22,1,1,1,1,1,1,1,0,1,0
104,0.639887849406747,0.2105138782410415,AR,2022-09-23,1,1,1,1,1,0,1,0,1,1
105,0.015711163112372,0.01133289740071115,AR,2022-09-24,1,1,1,1,1,1,1,1,1,1
106,0.0587665488866371,0.0116451218927898,AR,2022-09-25,1,1,1,1,1,1,1,1,1,1
107,1.39537935532403,0.0632418972372665,AR,2022-09-26,1,1,1,0,1,0,1,1,0,1
108,0.616863780408127,0.06907521815205,AR,2022-09-27,1,1,1,1,1,1,0,0,1,0
109,0.853412200439617,0.0961966662930815,AR,2022-09-28,1,1,1,1,1,1,0,1,1,0
110,1.35441667655258,0.0137696668258975,AR,2022-09-29,1,1,1,1,0,0,0,1,1,0
111,1.34648127272864,0.2384662124936945,AR,2022-09-30,0,1,1,1,1,0,1,1,1,0
112,0.0759922495696294,0.01559269570992555,AR,2022-10-01,1,1,1,1,1,1,1,1,1,1
113,0.390574239513445,0.0167763394973233,AR,2022-10-02,1,1,1,1,1,0,1,0,1,0
114,1.72882209581817,0.1832605780970825,AR,2022-10-03,0,1,1,1,1,0,1,0,1,0
115,0.617701416159942,0.188469355246345,AR,2022-10-04,1,1,1,1,1,1,1,1,1,1
116,3.5038921769991,0.02183305952729285,AR,2022-10-05,0,1,0,1,0,0,1,0,1,0
117,0.510752474833231,0.02417136343649255,AR,2022-10-06,1,1,1,1,1,1,1,0,1,0
118,1.91749457908305,0.1950027122904785,AR,2022-10-07,1,1,0,0,1,0,1,0,0,0
119,0.702265275948311,0.1526022988705955,AR,2022-10-08,1,1,1,1,1,1,0,1,1,0
120,0.328561392645758,0.0339820706705404,AR,2022-10-09,1,1,1,1,1,1,1,1,1,1
121,1.16021949293745,0.0384383299537106,AR,2022-10-10,1,1,1,1,0,1,0,1,1,0
122,2.77457937926235,0.121716692692939,AR,2022-10-11,0,1,0,1,0,0,0,0,1,0
123,0.835383466849858,0.1877045870370795,AR,2022-10-12,0,1,1,1,1,1,1,0,1,0
124,1.0185100329383,0.169421417208473,AR,2022-10-13,1,1,1,1,1,1,1,0,1,0
125,0.849882104642164,0.230189446807756,AR,2022-10-14,0,1,1,1,1,0,1,0,1,0
126,0.824104765105555,0.289347348434283,AR,2022-10-15,0,1,1,1,1,0,1,1,1,0
127,0.45107302955507,0.06788202203697,AZ,2022-09-04,1,1,1,1,1,0,1,1,1,0
128,1.04458348327912,0.1263662124721935,AZ,2022-09-05,1,1,1,1,1,0,0,1,1,0
129,1.79880029286585,0.1557703446295905,AZ,2022-09-06,1,1,1,0,0,0,0,1,0,0
130,0.671792396480363,0.0552254739845905,AZ,2022-09-07,1,1,1,1,1,0,1,1,1,0
131,1.75045741627475,0.2082883667267955,AZ,2022-09-08,0,1,1,1,0,0,1,1,1,0
132,3.35731049109635,0.2304560413420265,AZ,2022-09-09,0,1,1,1,0,0,1,1,1,0
133,1.11384660914811,0.148182301483202,AZ,2022-09-10,1,1,1,0,1,1,1,1,0,0
134,0.526622445900983,0.060469183651129,AZ,2022-09-11,1,1,1,1,1,0,1,0,1,0
135,1.37545393639338,0.103778786047204,AZ,2022-09-12,1,0,1,1,1,0,0,1,1,0
136,0.831291247930275,0.1092254774414245,AZ,2022-09-13,1,1,0,1,1,1,1,0,1,0
137,2.3055123100006,0.1978881012134795,AZ,2022-09-14,0,1,1,1,0,0,1,1,1,0
138,0.585974939958714,0.1168182429565405,AZ,2022-09-15,1,1,1,1,1,0,1,1,1,0
139,1.03730905128782,0.0105558300795778,AZ,2022-09-16,1,1,1,1,0,0,1,1,1,0
140,0.768632524025443,0.121991401126868,AZ,2022-09-17,1,1,0,1,1,0,0,0,1,0
141,0.902919131185553,0.089776293562991,AZ,2022-09-18,1,1,0,1,1,1,1,0,1,0
142,1.22804780299367,0.127564152492589,AZ,2022-09-19,1,1,1,1,1,0,1,1,1,0
143,1.06416720175957,0.0683842694974275,AZ,2022-09-20,1,1,0,1,1,0,1,0,1,0
144,2.38111745771634,0.195320535146409,AZ,2022-09-21,0,1,1,1,0,0,0,0,1,0
145,0.689275026603924,0.105339713965474,AZ,2022-09-22,1,1,1,1,1,0,1,0,1,1
146,1.99143405956889,0.01108453816212845,AZ,2022-09-23,0,1,1,1,0,0,0,0,1,0
147,0.361873776683455,0.01133289740071115,AZ,2022-09-24,1,1,1,1,1,0,1,1,1,0
148,0.707240785145081,0.095386102770603,AZ,2022-09-25,1,1,1,1,1,0,1,0,1,1
149,2.05634407204273,0.0837894388009175,AZ,2022-09-26,1,1,1,0,0,0,1,0,0,0
150,2.31617441348981,0.105133226911769,AZ,2022-09-27,0,0,0,1,1,1,0,0,1,0
151,0.94476102667615,0.1140133295339005,AZ,2022-09-28,1,1,1,1,1,0,0,0,1,0
152,1.19709386370179,0.1518148670593995,AZ,2022-09-29,1,1,1,0,1,1,0,0,0,0
153,1.05085819063293,0.0145999110455065,AZ,2022-09-30,1,1,1,1,0,1,1,0,1,0
154,0.825337968002356,0.0712870712298955,AZ,2022-10-01,1,1,1,1,1,0,1,0,1,0
155,2.49345791722646,0.276374574069081,AZ,2022-10-02,1,1,0,1,0,0,1,0,1,0
156,1.50349119565779,0.170714292947677,AZ,2022-10-03,1,1,1,1,1,1,0,1,1,0
157,1.44056276490672,0.180220652476201,AZ,2022-10-04,0,1,1,1,1,0,1,0,1,0
158,2.01168683204692,0.087777240511752,AZ,2022-10-05,1,1,0,1,0,0,1,0,1,0
159,1.44812257899602,0.118077525123446,AZ,2022-10-06,1,1,0,1,1,0,1,0,1,0
160,1.23239279497857,0.136202912782892,AZ,2022-10-07,1,1,1,1,1,0,1,1,1,0
161,1.75015721237839,0.3125428908547755,AZ,2022-10-08,0,1,1,1,0,0,0,0,1,0
162,0.467899602390693,0.127383737791305,AZ,2022-10-09,1,1,1,1,1,1,1,1,1,1
163,3.27860056956814,0.156077304344016,AZ,2022-10-10,0,1,1,0,0,0,0,0,0,0
164,2.71994958762639,0.087556367233721,AZ,2022-10-11,1,1,0,1,0,1,0,0,1,0
165,1.02741672546145,0.1844347460933265,AZ,2022-10-12,1,1,1,1,1,1,0,0,1,0
166,0.953287309109003,0.209914154640316,AZ,2022-10-13,1,1,1,1,1,0,1,0,1,0
167,1.24917450169213,0.1761455054151885,AZ,2022-10-14,1,1,1,1,1,1,0,0,1,0
168,1.63087458439232,0.120777611029089,AZ,2022-10-15,1,1,1,1,0,1,0,0,1,0
169,5.19197464824432,0.084789229980506,CA,2022-09-04,0,1,1,1,0,0,0,1,1,0
170,1.15420205895699,0.075797084235121,CA,2022-09-05,1,1,1,1,1,0,1,1,1,0
171,18.5852464005436,0.0722311363932085,CA,2022-09-06,0,1,1,0,0,0,1,0,0,0
172,2.1574624220082,0.102949431359037,CA,2022-09-07,1,1,1,0,1,0,0,0,0,0
173,1.57322389865279,0.100554482188238,CA,2022-09-08,1,1,1,1,1,0,0,1,1,0
174,4.9959774183782,0.0843861601657815,CA,2022-09-09,0,0,1,0,0,0,0,0,0,0
175,7.21125555646815,0.076617856280055,CA,2022-09-10,0,1,1,0,0,0,0,0,0,0
176,2.07514431445243,0.104078994451124,CA,2022-09-11,1,1,1,0,1,0,0,0,0,0
177,17.9010790076355,0.078940837835557,CA,2022-09-12,0,1,1,0,0,0,0,1,0,0
178,4.07636105619894,0.091354235105394,CA,2022-09-13,0,1,1,1,0,0,1,0,0,0
179,3.13630982999961,0.0898587089178185,CA,2022-09-14,0,0,1,0,1,0,0,1,0,0
180,2.1380617531336,0.09254973184673,CA,2022-09-15,1,1,1,0,1,0,0,0,0,0
181,7.10215090353402,0.0818930186691895,CA,2022-09-16,0,0,0,0,0,0,0,0,0,0
182,4.56315567165791,0.1071761490326345,CA,2022-09-17,1,0,0,0,1,0,0,0,0,0
183,8.48012264053881,0.0937992529756185,CA,2022-09-18,0,0,1,0,1,0,0,0,0,0
184,8.27965132884365,0.0873463184765185,CA,2022-09-19,0,0,1,0,0,0,0,0,0,0
185,4.60619078509169,0.0713037964067485,CA,2022-09-20,1,1,0,1,0,0,0,0,1,0
186,2.22864256574552,0.1140610041396455,CA,2022-09-21,1,1,1,0,1,1,1,1,0,0
187,3.73431483148191,0.0786457157432015,CA,2022-09-22,0,1,1,0,0,0,1,0,0,0
188,9.11334544084102,0.072254150800876,CA,2022-09-23,0,1,0,0,0,0,0,0,0,0
189,4.04673386084144,0.1192120607770005,CA,2022-09-24,0,0,1,0,1,0,0,0,0,1
190,2.64287011956106,0.115901579274274,CA,2022-09-25,1,1,0,0,1,0,1,1,0,0
191,12.9575324534273,0.092542889342567,CA,2022-09-26,0,0,1,0,0,0,0,0,0,0
192,3.13099857154102,0.1274449259301325,CA,2022-09-27,1,1,1,0,1,0,1,0,0,0
193,2.97600706552584,0.096152060934488,CA,2022-09-28,1,1,0,1,0,0,0,0,1,0
194,3.19563700165612,0.1221947467688365,CA,2022-09-29,0,0,1,1,1,0,0,1,1,0
195,5.75662129474965,0.1507082815221765,CA,2022-09-30,0,0,0,0,1,0,0,0,0,0
196,4.52362668737091,0.1210967735535165,CA,2022-10-01,1,1,0,0,1,0,0,0,0,0
197,2.95691168403309,0.143153649944103,CA,2022-10-02,1,1,1,0,1,0,0,0,0,0
198,10.7410516065758,0.133523853600438,CA,2022-10-03,0,1,0,0,1,0,0,0,0,0
199,6.49433470031354,0.1372450873106255,CA,2022-10-04,0,0,0,0,1,0,0,0,0,0
200,6.51277864999963,0.137132872017972,CA,2022-10-05,0,1,0,0,0,0,0,0,0,0
201,6.50514516576005,0.170960594346906,CA,2022-10-06,0,1,0,0,1,0,0,0,0,0
202,4.69933303482452,0.162305490472448,CA,2022-10-07,1,1,0,0,1,0,0,0,0,0
203,4.82798737867966,0.1479138294635095,CA,2022-10-08,1,1,0,0,0,0,0,0,0,0
204,6.70490405854191,0.1588241119056035,CA,2022-10-09,1,0,0,0,0,0,1,0,0,0
205,19.4409631736,0.1413207605684965,CA,2022-10-10,1,0,0,0,0,0,0,0,0,0
206,5.97726898637952,0.1857207951286765,CA,2022-10-11,1,1,0,0,0,0,1,0,0,0
207,9.37048651004872,0.208489992587493,CA,2022-10-12,0,1,0,0,1,0,1,0,0,0
208,19.304782657641,0.212695143245179,CA,2022-10-13,0,0,0,0,0,0,0,0,0,0
209,13.287892598453,0.204617615791778,CA,2022-10-14,0,1,0,0,0,1,0,0,0,0
210,15.4943195308261,0.195978137541503,CA,2022-10-15,1,0,0,0,0,0,0,0,0,0
211,1.52247928897064,0.192208938862632,CO,2022-09-04,0,1,1,1,0,0,0,1,1,1
212,0.713475522169341,0.272678766405677,CO,2022-09-05,1,1,1,1,1,0,1,1,1,0
213,2.34485353349898,0.1718202856667665,CO,2022-09-06,0,1,0,1,0,0,1,1,0,0
214,1.78908930515078,0.01156623824469505,CO,2022-09-07,0,1,1,1,0,0,1,1,1,0
215,0.557566310823396,0.0113954053287423,CO,2022-09-08,1,1,1,1,1,0,1,1,1,0
216,1.20266803479564,0.0112371462766302,CO,2022-09-09,0,1,1,1,0,0,1,1,1,0
217,0.368449500847692,0.0110921144850956,CO,2022-09-10,1,1,1,1,1,0,1,1,1,0
218,1.33933412161458,0.2890157553765855,CO,2022-09-11,1,0,1,1,0,0,1,1,1,0
219,1.09079581880346,0.1430852731472115,CO,2022-09-12,0,1,1,1,1,1,1,0,1,0
220,0.314278556302141,0.0990380903511625,CO,2022-09-13,1,1,1,1,1,0,1,0,1,1
221,1.08046137030469,0.0845445609065955,CO,2022-09-14,1,1,1,0,1,0,1,1,0,0
222,0.627560905665142,0.01059870634744935,CO,2022-09-15,1,1,1,1,1,0,0,1,1,0
223,1.36065810039191,0.01055583007957785,CO,2022-09-16,0,1,1,1,0,0,1,1,1,0
224,0.336681940434266,0.0830880621102725,CO,2022-09-17,1,1,1,1,1,0,1,1,1,0
225,0.626343342898505,0.210175964322958,CO,2022-09-18,1,1,1,1,1,0,1,1,1,0
226,1.17424856233614,0.04386004432566655,CO,2022-09-19,1,1,1,1,0,0,1,0,1,0
227,2.10760462195069,0.2187695432899035,CO,2022-09-20,1,1,0,1,0,1,0,0,1,0
228,1.06201146820931,0.1645124270054605,CO,2022-09-21,1,1,1,1,1,0,1,0,1,0
229,1.00607262424458,0.170564139808509,CO,2022-09-22,0,1,1,1,1,0,1,1,1,0
230,0.886656738972789,0.076820513884109,CO,2022-09-23,1,1,1,1,1,0,1,0,1,1
231,0.761290969147186,0.2769277856752285,CO,2022-09-24,0,1,1,1,1,0,1,0,1,1
232,0.461673008813676,0.144235008282661,CO,2022-09-25,1,1,1,1,1,0,1,1,1,0
233,0.584669782072854,0.114014031821045,CO,2022-09-26,1,1,1,1,1,1,1,0,1,0
234,0.93554144824889,0.0125042549666106,CO,2022-09-27,1,1,1,1,0,0,0,0,1,0
235,1.47656872916116,0.01307790624161395,CO,2022-09-28,1,1,1,1,0,1,1,0,1,0
236,1.248383496652,0.053110699389871,CO,2022-09-29,1,1,1,1,0,1,1,1,1,1
237,0.481597823039723,0.1265330617696005,CO,2022-09-30,1,1,1,1,1,0,1,1,1,0
238,0.253672413259011,0.01559269570992555,CO,2022-10-01,1,1,1,1,1,1,1,1,1,1
239,0.268733167035653,0.0167763394973233,CO,2022-10-02,1,1,1,1,1,1,1,0,1,0
240,0.906933430895132,0.0774422935023955,CO,2022-10-03,1,1,1,1,1,0,1,0,1,0
241,0.445895976404771,0.01985461602043165,CO,2022-10-04,1,1,1,1,1,1,1,1,1,1
242,0.720557318875218,0.106095068562991,CO,2022-10-05,1,1,1,1,1,1,1,0,1,0
243,0.709305900272193,0.118077525123446,CO,2022-10-06,1,1,1,1,1,0,0,0,1,0
244,1.0860459189483,0.273561800122066,CO,2022-10-07,1,0,1,1,1,1,0,1,1,0
245,0.683994639752053,0.2138164830744865,CO,2022-10-08,0,1,1,1,1,0,1,0,1,1
246,1.28086366191306,0.493554971991252,CO,2022-10-09,0,1,1,1,0,1,1,0,1,0
247,1.64618461267671,0.239832639048363,CO,2022-10-10,0,1,1,1,1,0,0,0,1,0
248,2.32806302812705,0.260226756388393,CO,2022-10-11,0,0,1,1,1,0,0,1,1,0
249,1.18426676037013,0.1514983081235725,CO,2022-10-12,1,0,0,1,1,0,1,1,1,0
250,0.704592794494294,0.251610826702863,CO,2022-10-13,1,1,1,1,1,1,1,0,1,0
251,1.2313910965295,0.252541633306843,CO,2022-10-14,1,1,1,0,1,0,0,0,0,0
252,0.625268891572801,0.261266404706492,CO,2022-10-15,1,1,1,1,1,1,1,1,1,1
253,2.32387808017837,0.1747031373555705,CT,2022-09-04,0,1,1,1,0,0,1,1,1,0
254,3.15708814848384,0.296381966470437,CT,2022-09-05,0,1,1,1,0,0,1,1,1,0
255,3.5852770381379,0.178068271755884,CT,2022-09-06,0,1,1,1,0,1,1,1,1,1
256,2.48348515117341,0.158916158866843,CT,2022-09-07,0,1,1,1,0,0,1,1,1,0
257,1.10784565735365,0.128072715786848,CT,2022-09-08,1,1,1,1,1,0,1,1,1,0
258,4.12387493400641,0.195381018131563,CT,2022-09-09,0,1,1,1,0,0,1,1,1,0
259,5.01997081108138,0.2613566049734365,CT,2022-09-10,0,0,1,0,0,0,0,1,0,0
260,3.75761615930071,0.1789885488915945,CT,2022-09-11,0,1,1,1,0,0,0,1,1,0
261,5.62854250122016,0.19728305191344,CT,2022-09-12,0,1,1,1,0,0,0,1,1,0
262,5.61888904972129,0.258355047007322,CT,2022-09-13,0,1,1,1,0,0,0,1,1,0
263,1.48356162074908,0.1661672333151025,CT,2022-09-14,1,1,0,1,0,0,1,0,1,0
264,1.65907894422257,0.132920722418336,CT,2022-09-15,1,0,1,1,1,0,0,0,1,0
265,10.8463624940856,0.21432077798869,CT,2022-09-16,0,1,1,1,0,0,1,0,1,0
266,1.81674523560799,0.145602936396975,CT,2022-09-17,0,1,1,1,0,0,1,1,1,0
267,5.31323849605836,0.2088501805370275,CT,2022-09-18,0,1,1,1,0,0,0,0,1,0
268,1.45339522259129,0.1185241091361435,CT,2022-09-19,0,1,1,1,1,1,1,0,1,0
269,5.27501147200822,0.181833896101393,CT,2022-09-20,0,1,1,1,0,0,1,0,1,0
270,9.32454781224356,0.3160262915474085,CT,2022-09-21,0,1,1,1,0,0,0,1,1,0
271,1.07456011670395,0.141052196436245,CT,2022-09-22,1,1,1,1,1,0,1,1,1,0
272,0.804906689853541,0.101298976088037,CT,2022-09-23,1,1,1,1,1,1,1,1,1,1
273,5.41573484736683,0.2463410675372335,CT,2022-09-24,0,1,1,1,0,0,0,0,1,0
274,2.52045658245602,0.1779121851608475,CT,2022-09-25,0,1,1,1,0,0,1,0,1,0
275,1.45653915983836,0.0934625386392455,CT,2022-09-26,1,1,0,1,1,0,0,0,1,0
276,0.911560565638885,0.127029157964736,CT,2022-09-27,1,1,1,1,1,0,1,1,1,0
277,4.37697904380476,0.2386859692384545,CT,2022-09-28,0,1,1,1,0,0,1,1,1,0
278,0.81458425657893,0.102200772037573,CT,2022-09-29,1,1,1,1,1,1,1,0,1,0
279,1.53413736572349,0.0896025580622075,CT,2022-09-30,1,1,0,1,1,0,0,0,1,0
280,3.22144811058839,0.218118323264322,CT,2022-10-01,0,1,1,1,0,0,0,0,1,0
281,1.78135198649584,0.166102254425273,CT,2022-10-02,0,1,1,1,1,0,1,1,1,0
282,2.30046927367696,0.1896575618888445,CT,2022-10-03,0,1,1,0,0,1,0,0,0,0
283,1.64666819373278,0.091234949669941,CT,2022-10-04,1,1,0,1,0,1,0,0,1,1
