...1,es_score,brier_score,location,target_date,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22B_95_CI
1,0.806179302039653,0.389711108790132,AK,2023-01-01,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
2,0.882947875608299,0.239436535229194,AK,2023-01-02,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1
3,0.976641321854786,0.2346077927930175,AK,2023-01-03,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
4,1.68394199257002,0.226733286274733,AK,2023-01-04,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0
5,0.73387396081342,0.105422979595802,AK,2023-01-05,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
6,0.876835701251994,0.3046689752952445,AK,2023-01-06,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1
7,0.342667962656024,0.2839852474345265,AK,2023-01-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.190122784117751,0.1303067505283375,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.797359053686544,0.302714796826421,AK,2023-01-09,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1
10,1.14142257082517,0.1908527521753925,AK,2023-01-10,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1
11,1.71100393257088,0.3338387790111755,AK,2023-01-11,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0
12,1.56987533527261,0.176165031322682,AK,2023-01-12,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
13,0.636749479021047,0.23621524363467,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.284905569096435,0.2048777317350395,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
15,0.306247861946657,0.2206788767057295,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
16,0.793662339654158,0.2455636644266465,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
17,2.95605355499342,0.2866746680880835,AK,2023-01-17,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,0
18,2.73333715807696,0.3202122617653435,AK,2023-01-18,1,1,0,1,0,1,1,0,1,1,0,1,0,0,1,0
