"","es_score","brier_score","location","target_date","X23E_50_CI","X23F_50_CI","other_50_CI","X24A_50_CI","X23E_95_CI","X23F_95_CI","other_95_CI","X24A_95_CI"
"93",NA,NA,"AR",2024-01-29,NA,NA,NA,NA,NA,NA,NA,NA
"94",NA,NA,"AR",2024-01-30,NA,NA,NA,NA,NA,NA,NA,NA
"95",NA,NA,"AR",2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA
"96",0.00146113717179196,0.00189542624856035,"AR",2024-02-01,1,1,1,1,1,1,0,0
"97",NA,NA,"AR",2024-02-02,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,"AR",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA
"100",0.000733906130069115,0.0010624580794842,"AR",2024-02-05,1,1,1,1,1,1,1,1
"101",0.000552745372270888,0.000918642570660045,"AR",2024-02-06,1,1,1,1,1,1,1,1
"102",0.000654526322647862,0.000794096089036846,"AR",2024-02-07,1,1,1,1,1,1,1,1
"103",0.00216449251613611,0.00068627691895088,"AR",2024-02-08,1,1,1,1,1,1,1,1
"104",0.00179986268286247,0.000592970592612434,"AR",2024-02-09,1,1,1,1,1,1,1,1
"105",NA,NA,"AR",2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
"107",0.00028282857083025,0.000382073940247237,"AR",2024-02-12,1,1,1,1,1,1,1,1
"108",1.35802442132651,0.980329596673423,"AR",2024-02-13,1,1,0,0,1,1,0,0
"109",0.00072502169651157,0.00028480328511696,"AR",2024-02-14,1,1,1,1,1,1,1,1
"110",NA,NA,"AR",2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,"AR",2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
"112",NA,NA,"AR",2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA
"114",0.000363212470068579,0.00013633974343629,"AR",2024-02-19,1,1,1,1,1,1,1,1
"115",0.000474670775569935,0.000117628809851518,"AR",2024-02-20,1,1,1,1,1,1,1,1
"116",NA,NA,"AR",2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,"AR",2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,"AR",2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA
"119",NA,NA,"AR",2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
"120",NA,NA,"AR",2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA
"121",0.000132241152197472,4.84461873758158e-05,"AR",2024-02-26,1,1,1,1,1,1,1,1
"122",NA,NA,"AR",2024-02-27,NA,NA,NA,NA,NA,NA,NA,NA
"123",NA,NA,"AR",2024-02-28,NA,NA,NA,NA,NA,NA,NA,NA
"124",1.40406049894488,1.98800101470888,"AR",2024-02-29,1,1,0,0,1,1,0,0
"125",2.29244018091082e-05,2.67932533916213e-05,"AR",2024-03-01,1,1,1,1,1,1,1,1
"126",NA,NA,"AR",2024-03-02,NA,NA,NA,NA,NA,NA,NA,NA
"127",4.76829643631793,0.419767696191105,"AZ",2024-01-21,1,1,0,0,1,0,0,0
"128",0.634406353096356,0.107813343020342,"AZ",2024-01-22,1,1,1,1,1,1,1,1
"129",0.879719715422009,0.149644175411477,"AZ",2024-01-23,1,1,1,1,1,0,0,0
"130",3.59562942305387,0.731160839091948,"AZ",2024-01-24,1,0,0,0,1,0,0,0
"131",0.0293764766898891,0.00514063093353085,"AZ",2024-01-25,1,1,1,1,1,1,1,1
"132",1.22633867543925,0.929231024578387,"AZ",2024-01-26,1,1,0,0,1,1,0,0
"133",1.91556996428098,0.268525246452451,"AZ",2024-01-27,1,1,0,0,1,1,0,0
"134",0.00183127928808416,0.00336168015344793,"AZ",2024-01-28,1,1,1,1,1,1,1,1
"135",2.41533547489138,0.235293152692201,"AZ",2024-01-29,1,0,1,0,1,0,1,0
"136",1.50970246482432,0.199228418796399,"AZ",2024-01-30,1,0,1,0,1,0,1,0
"137",0.765027530237182,0.137566548879808,"AZ",2024-01-31,1,1,0,1,1,0,0,1
"138",0.011624064934359,0.00189542624856035,"AZ",2024-02-01,1,1,1,1,1,1,1,1
"139",0.0101997958195008,0.00164084628241088,"AZ",2024-02-02,1,1,1,1,1,1,1,1
"140",NA,NA,"AZ",2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA
"141",0.0121977063355754,0.00122845732843049,"AZ",2024-02-04,1,1,1,1,1,1,1,1
"142",3.32055608676948,0.338915011021878,"AZ",2024-02-05,1,0,1,0,1,0,1,0
"143",0.741532314640927,0.0814463180318958,"AZ",2024-02-06,1,1,0,1,1,0,0,0
"144",0.128858784375092,0.000794096089036846,"AZ",2024-02-07,1,1,1,1,1,1,1,1
"145",0.000500461896673021,0.00068627691895088,"AZ",2024-02-08,1,1,1,1,1,1,0,0
"146",1.30518013961345,0.649293858738027,"AZ",2024-02-09,1,1,0,0,1,1,0,0
"147",0.00160259320320226,0.000512249356628178,"AZ",2024-02-10,1,1,1,1,1,0,1,0
"148",1.17873431361933,0.244637450678206,"AZ",2024-02-11,1,1,0,0,1,1,0,0
