...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X21L_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI,X21L_95_CI
1,0.778079432810741,0.2355000428668685,AK,2022-07-17,1,1,1,1,1,0,1,0,1,1
2,2.93613150264695,0.0636431729125675,AK,2022-07-18,0,0,0,1,1,1,0,0,1,1
3,3.55402505891648,0.03164207388713165,AK,2022-07-19,0,0,1,1,1,0,0,1,1,1
4,0.637212196723258,0.145694284921998,AK,2022-07-20,1,1,1,1,1,0,0,1,1,1
5,0.639470752529795,0.1413841695820905,AK,2022-07-21,1,1,1,1,1,1,1,1,1,1
6,0.958801009684008,0.102687686837602,AK,2022-07-22,1,1,1,1,1,1,0,0,1,1
7,0.791411830728699,0.02421416375465055,AK,2022-07-23,1,1,1,1,1,1,0,0,1,1
8,0.491298229595323,0.09357181819179,AK,2022-07-24,1,1,1,1,1,0,0,0,1,1
9,1.18032533517403,0.202048020955341,AK,2022-07-25,1,1,1,1,0,0,0,0,1,0
10,3.25619206881282,0.062544212983726,AK,2022-07-26,0,0,1,1,1,0,0,0,1,1
11,1.88994800613287,0.050674481906459,AK,2022-07-27,0,0,1,1,1,0,0,1,1,1
12,1.69232369294306,0.1058599048095245,AK,2022-07-28,0,1,1,1,0,0,0,1,1,0
13,1.00890108985938,0.11701000446054,AK,2022-07-29,1,1,1,0,1,0,0,0,0,1
14,0.80205591316153,0.104071510381166,AK,2022-07-30,1,1,1,1,1,1,1,1,1,1
15,1.95495110986112,0.01487335653940175,AK,2022-07-31,0,0,1,1,1,1,0,0,1,1
16,1.66097766999415,0.102061518014944,AK,2022-08-01,0,1,0,1,1,0,1,0,1,1
17,0.422610993756904,0.072689801631116,AK,2022-08-02,1,1,1,1,1,0,0,1,1,1
18,0.586931042797896,0.01254738492898245,AK,2022-08-03,1,1,1,1,1,0,0,1,1,1
19,0.796988986240676,0.1544579547808005,AK,2022-08-04,1,1,1,1,1,0,0,1,1,1
20,1.39403060974581,0.1692058586822115,AK,2022-08-05,0,0,1,1,1,0,0,1,1,1
21,0.436040705818635,0.01063939002618265,AK,2022-08-06,1,1,1,1,1,1,1,1,1,1
22,0.41264251667880403,0.01007987234104885,AK,2022-08-07,1,1,1,1,1,1,1,1,1,1
23,0.479038538703935,0.0943648001492265,AK,2022-08-08,1,1,1,1,1,0,0,1,1,1
24,0.615557638748305,0.087511083396408,AK,2022-08-09,1,1,1,1,1,0,0,1,1,1
25,1.48139214618625,0.00859254754343135,AK,2022-08-10,0,0,1,1,1,0,0,1,1,1
26,0.484537147857744,0.1448494040379905,AK,2022-08-11,1,1,1,1,1,0,0,1,1,1
27,0.333040287617214,0.0077384183809298,AK,2022-08-12,1,1,1,1,1,0,0,1,1,1
28,1.03047474240453,0.1580999019594725,AK,2022-08-13,0,1,1,1,1,1,1,1,1,1
29,0.61533724151303,0.173663633889203,AK,2022-08-14,1,1,1,1,1,1,1,1,1,1
30,0.430316688807775,0.0066276699964382,AK,2022-08-15,1,1,1,1,1,1,1,1,1,1
31,0.359896862419169,0.0998145061385615,AK,2022-08-16,1,1,1,1,1,0,0,0,1,1
32,0.966176708922105,0.089098978368548,AK,2022-08-17,1,1,0,1,1,0,1,0,1,1
33,0.0600817837351847,0.00568789066567075,AK,2022-08-18,1,1,1,1,1,1,1,1,1,1
34,0.35334447786911,0.0907237670015885,AK,2022-08-19,1,1,1,1,1,1,1,1,1,1
35,1.05018386899364,0.433539111134429,AK,2022-08-20,0,0,1,1,1,0,0,1,1,1
36,0.173700994886596,0.004889052300403655,AK,2022-08-21,1,1,1,1,1,0,0,1,1,1
37,1.8808618205003,0.292572843261982,AK,2022-08-22,0,0,1,1,1,0,0,1,1,1
38,0.00588546186666543,0.004422890558353895,AK,2022-08-23,1,1,1,1,1,1,1,1,1,1
39,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.0206800510515224,0.00400295218814294,AK,2022-08-25,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,0.0174757551560452,0.00362421137928352,AK,2022-08-27,1,1,1,1,1,1,1,1,1,1
43,1.1454019402475,0.23905189386399,AL,2022-07-17,1,1,1,1,1,0,0,0,1,1
44,0.515706115034148,0.1863556441511425,AL,2022-07-18,1,1,1,1,1,0,0,0,1,1
45,1.97153328160224,0.1432149451133575,AL,2022-07-19,1,1,1,0,1,1,1,0,0,1
46,1.96632293074217,0.2318235855764115,AL,2022-07-20,0,0,1,1,1,0,0,1,1,1
47,1.73508789543285,0.1147046038085135,AL,2022-07-21,1,1,0,0,1,0,0,0,0,1
48,2.87391979007521,0.2199673180327895,AL,2022-07-22,1,0,1,1,0,1,0,0,1,0
49,1.3378633179767,0.1585210947405915,AL,2022-07-23,1,1,1,0,1,0,0,0,0,1
50,0.603679067276822,0.1473971969235845,AL,2022-07-24,1,1,1,1,1,0,0,1,1,1
51,0.6309790551718,0.1516314958334745,AL,2022-07-25,1,1,1,1,1,0,0,1,1,1
52,0.635864549842585,0.1591561076209425,AL,2022-07-26,1,1,1,1,1,1,1,1,1,1
53,0.613941451220141,0.2628723787926525,AL,2022-07-27,1,1,1,1,1,0,0,1,1,1
54,1.06314240145972,0.0916792260203285,AL,2022-07-28,1,1,1,1,1,0,0,0,1,1
55,1.11828290080221,0.110020732657026,AL,2022-07-29,1,1,1,1,1,0,0,0,1,1
56,4.8804853206594,0.255437845369817,AL,2022-07-30,0,0,1,1,1,0,0,1,1,1
57,1.70273015352905,0.222110861346534,AL,2022-07-31,0,0,1,1,1,1,1,1,1,1
58,0.71612071497627,0.121735745190341,AL,2022-08-01,1,1,1,1,1,0,0,1,1,1
59,2.56392776481747,0.1947018327337745,AL,2022-08-02,0,0,1,1,1,0,0,0,1,1
60,0.515459986724623,0.109851568287585,AL,2022-08-03,1,1,1,1,1,0,0,1,1,1
61,3.65888276092973,0.2569430546445925,AL,2022-08-04,0,0,1,1,1,0,0,1,1,1
62,5.67484658005896,0.274519700050841,AL,2022-08-05,0,0,1,1,1,0,0,1,1,1
63,2.49507816548381,0.2038146849276445,AL,2022-08-06,0,0,1,1,1,0,0,0,1,1
64,0.437056202679282,0.1435102256582385,AL,2022-08-07,1,1,1,1,1,0,0,1,1,1
65,2.76493116464529,0.17740887569121,AL,2022-08-08,0,0,1,1,1,1,0,0,1,1
66,0.72968522970522,0.00905879972873985,AL,2022-08-09,1,1,1,1,1,1,0,0,1,1
67,3.07347908958653,0.1858743581746695,AL,2022-08-10,0,0,1,1,1,0,0,1,1,1
68,0.579743577508738,0.172188677147757,AL,2022-08-11,1,1,1,1,1,0,0,1,1,1
69,6.93570715239862,0.347330932856018,AL,2022-08-12,0,0,1,1,1,0,0,1,1,1
70,0.322039969561807,0.0902610935036095,AL,2022-08-13,1,1,1,1,1,1,1,1,1,1
71,0.297350262618809,0.0710873778004785,AL,2022-08-14,1,1,1,1,1,0,0,1,1,1
72,6.23837159163874,0.2615502116894285,AL,2022-08-15,0,0,1,1,1,0,0,1,1,1
73,1.67130673743292,0.1548247751825315,AL,2022-08-16,0,0,1,1,1,0,0,0,1,1
74,1.74568207829398,0.180053605893659,AL,2022-08-17,1,0,1,1,0,0,0,1,1,0
75,7.90315312560753,0.301143386498455,AL,2022-08-18,0,0,1,1,1,0,0,1,1,1
76,4.7851476670113,0.289795679020434,AL,2022-08-19,0,0,1,1,1,0,0,1,1,1
77,0.461927107572961,0.00514124401364815,AL,2022-08-20,1,1,1,1,1,1,1,1,1,1
78,0.39485554142894,0.004889052300403655,AL,2022-08-21,1,1,1,1,1,1,1,1,1,1
79,2.09950157420453,0.1280454191038455,AL,2022-08-22,0,0,1,1,1,0,0,1,1,1
