...1,es_score,brier_score,location,target_date,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,other_95_CI,X22B_95_CI
1,NA,NA,AK,2022-12-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2022-12-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2022-12-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2022-12-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2022-12-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.0965343025133989,0.068211234201075,AK,2022-12-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,NA,NA,AK,2022-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-12-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.0884073262881229,0.059429263563583,AK,2022-12-12,1,1,1,1,1,1,1,1,1,0,1,0,1,1
10,0.0783671595338492,0.05736637487359,AK,2022-12-13,1,1,1,1,1,1,1,1,1,0,1,1,1,0
11,NA,NA,AK,2022-12-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.0823359377612656,0.0545845832142405,AK,2022-12-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,1.53256551857863,0.69847641613761,AK,2022-12-16,0,1,0,1,1,1,0,0,1,1,0,0,1,0
14,NA,NA,AK,2022-12-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.932390492453281,0.662392671306045,AK,2022-12-19,1,1,1,1,1,1,0,1,1,1,1,1,1,1
17,NA,NA,AK,2022-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.939877537038491,0.671324793161945,AK,2022-12-21,1,1,1,1,1,1,0,1,0,1,1,1,1,0
19,NA,NA,AK,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2022-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2022-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.144550784457327,0.098488487396669,AK,2022-12-28,1,1,1,1,1,1,1,0,1,0,1,1,1,1
26,1.02715630685519,0.72797398964376,AK,2022-12-29,1,1,1,1,1,0,1,1,1,0,1,1,0,1
27,0.966304337752421,0.683865060851905,AK,2022-12-30,1,1,1,1,1,1,0,1,1,0,1,1,1,0
28,NA,NA,AK,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2023-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,0.237608006621327,0.258570192383079,AK,2023-01-03,1,1,1,1,1,1,1,1,1,0,1,0,1,1
32,0.71983932508414,0.2014855892257865,AK,2023-01-04,1,1,1,1,1,1,1,1,1,0,1,0,1,1
33,0.321665971762314,0.2224896867452475,AK,2023-01-05,1,1,1,1,1,1,1,1,1,0,1,0,1,1
34,0.347770954052654,0.2450165012964265,AK,2023-01-06,1,1,1,1,1,1,1,1,1,0,1,0,1,1
35,NA,NA,AK,2023-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2023-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.273477337595986,0.1901409995588415,AK,2023-01-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,0.623385671036675,0.2887007644011575,AK,2023-01-10,1,1,1,1,1,1,1,1,1,0,1,1,1,0
39,0.527369613530618,0.376461169284036,AK,2023-01-11,1,1,1,1,1,1,1,1,1,0,1,0,1,1
40,0.565659290172975,0.405359202761297,AK,2023-01-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.995699923862494,0.2695625688153295,AL,2022-12-04,1,1,1,1,1,1,0,1,1,1,1,1,1,1
44,1.29438970727725,0.303536880852569,AL,2022-12-05,1,1,1,1,1,1,0,1,1,0,1,1,1,0
45,1.17084376614889,0.350255652200024,AL,2022-12-06,1,1,1,0,1,1,1,0,0,0,0,1,1,0
46,0.350711983411825,0.233564813679609,AL,2022-12-07,1,1,1,1,1,1,1,1,1,0,1,1,1,0
47,1.46022823078439,0.3165897277413965,AL,2022-12-08,1,1,1,1,1,1,0,1,1,1,1,1,1,1
48,0.812789952875476,0.2297709266088735,AL,2022-12-09,1,1,1,1,0,1,1,1,0,0,1,0,1,0
49,0.747869808056314,0.1392298249998225,AL,2022-12-10,1,1,1,1,1,1,1,1,1,0,0,1,1,1
50,1.66529402098098,0.52978756191497,AL,2022-12-11,0,0,0,1,1,1,1,0,0,0,1,1,1,0
51,1.39619157276443,0.4341376457077415,AL,2022-12-12,1,0,0,0,1,1,1,1,0,0,0,0,1,1
52,0.0794181464846661,0.05736637487359,AL,2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1.19875277957578,0.3412754987065485,AL,2022-12-14,1,1,1,1,1,1,0,1,1,0,1,0,1,0
54,1.69717799662723,0.30351531795522,AL,2022-12-15,1,1,1,1,1,1,0,1,1,0,1,1,1,0
55,0.83706607318498,0.28833998504837,AL,2022-12-16,1,1,1,1,1,0,1,1,1,0,1,1,0,1
56,0.229558671470354,0.053708490619292,AL,2022-12-17,1,1,1,1,1,1,1,1,1,0,1,0,1,0
57,0.239883165871584,0.0540491965543015,AL,2022-12-18,1,1,1,1,1,1,1,1,0,0,1,1,1,1
58,0.544421177046666,0.2068154861595665,AL,2022-12-19,1,1,1,1,1,1,1,1,1,0,1,0,1,0
59,1.83597302265632,0.2333068083826,AL,2022-12-20,0,0,1,1,0,1,1,0,0,1,0,1,1,0
60,2.2819513075684,0.419596022830733,AL,2022-12-21,1,1,0,1,0,0,1,1,1,0,1,0,0,1
61,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.0972623113706057,0.069827800856636,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.66409962473815,0.2900803678008305,AL,2022-12-26,1,1,1,1,0,1,0,1,1,0,0,0,1,0
66,2.10989761609332,0.242300857909891,AL,2022-12-27,1,1,1,1,0,1,1,1,0,0,0,0,1,1
67,2.21807800083681,0.374890493654442,AL,2022-12-28,1,1,1,0,0,1,0,1,1,1,0,0,1,0
68,3.07388340393444,0.3159195252254395,AL,2022-12-29,1,1,1,0,0,0,1,1,0,0,0,0,0,1
69,1.54589441841656,0.372568814698007,AL,2022-12-30,1,1,1,1,1,1,0,1,1,0,1,0,1,0
70,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,5.24053049453531,0.277840450197947,AL,2023-01-02,1,1,0,1,0,1,0,1,0,0,0,0,1,0
73,5.05177637488965,0.3284942450242855,AL,2023-01-03,1,1,0,1,0,0,0,1,1,0,0,0,0,0
74,1.87866450169776,0.3501525314158675,AL,2023-01-04,1,1,1,0,0,1,1,1,0,0,0,0,1,0
75,1.09178375309336,0.2428344058434435,AL,2023-01-05,1,1,0,1,1,1,1,1,0,0,0,0,1,1
76,2.10261549856796,0.4751033494867055,AL,2023-01-06,1,0,1,1,0,1,1,1,0,1,1,0,1,1
77,3.17155520925009,0.485357908032612,AL,2023-01-07,1,1,1,1,0,0,0,1,1,1,0,0,0,0
78,1.58322036675307,0.71483786604138,AL,2023-01-08,1,1,1,1,0,0,0,1,1,1,1,0,0,0
79,2.97204091677773,0.3745304160585195,AL,2023-01-09,1,1,0,1,0,0,0,1,0,0,1,0,0,0
80,3.65027643653891,0.3497088961326795,AL,2023-01-10,1,1,0,1,0,1,0,1,1,0,0,0,1,0
81,0.243242342390414,0.2635961454577,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,1.03868835596679,0.4286885309535975,AL,2023-01-12,1,1,1,1,1,0,1,1,1,0,1,1,0,1
83,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.410592964083185,0.2992362935331565,AR,2022-12-04,1,1,1,1,1,1,1,1,1,0,1,1,1,0
86,4.07695687496307,0.3701752593860825,AR,2022-12-05,1,0,0,1,1,1,0,1,0,0,0,1,1,0
87,4.31618536260667,0.3673571385454325,AR,2022-12-06,0,0,0,1,1,1,1,0,0,0,0,1,1,1
88,2.79608811085678,0.294598611493694,AR,2022-12-07,1,1,0,1,1,1,0,0,0,0,0,1,1,0
89,4.79440028367923,0.3939930040080555,AR,2022-12-08,1,0,0,1,1,1,0,0,0,0,1,1,1,0
90,1.23556477991158,0.259481846291447,AR,2022-12-09,1,0,1,1,1,1,1,1,0,0,1,0,1,1
91,0.868604743876881,0.2731046206447355,AR,2022-12-10,1,1,1,1,1,1,0,1,1,0,0,1,1,0
92,0.708975139766682,0.2602826298456195,AR,2022-12-11,1,0,1,1,1,1,1,1,1,0,1,1,0,1
93,9.0541324405813,0.362872121077028,AR,2022-12-12,1,0,0,1,0,1,0,0,0,0,1,0,1,0
94,2.05489649395473,0.2941763198933055,AR,2022-12-13,0,0,1,1,1,1,1,1,0,0,1,1,1,0
95,6.44311321803827,0.3152198187594795,AR,2022-12-14,1,0,0,1,1,1,0,0,0,0,0,1,1,0
96,1.06725313262312,0.1684990125897625,AR,2022-12-15,1,1,1,1,1,1,1,0,0,0,1,0,1,1
97,4.26796752382112,0.494851099697657,AR,2022-12-16,1,0,0,1,1,0,0,1,0,0,0,0,1,0
98,0.802153416538931,0.265424382721071,AR,2022-12-17,1,1,1,0,1,1,1,0,1,1,0,0,1,0
99,0.839355546179195,0.2670935426698665,AR,2022-12-18,1,0,1,1,1,1,1,1,0,0,1,0,1,0
100,2.63092598582964,0.2412046288256585,AR,2022-12-19,1,1,1,1,1,1,0,1,0,0,0,0,1,0
101,4.92837381856285,0.346524504573962,AR,2022-12-20,1,0,0,1,0,0,0,1,0,0,0,0,0,0
102,2.45672746233197,0.245797951784838,AR,2022-12-21,1,0,1,1,0,0,0,1,0,1,1,0,0,1
103,2.05269592592494,0.324338578471089,AR,2022-12-22,1,1,1,1,1,1,0,1,0,0,1,0,1,0
104,2.41836769127872,0.432553444183244,AR,2022-12-23,1,1,0,1,1,1,0,1,0,0,1,1,1,0
105,1.64279351934952,0.069827800856636,AR,2022-12-24,1,1,0,1,1,1,1,1,1,0,1,0,1,1
106,0.879597249378149,0.2365673547395735,AR,2022-12-25,1,0,1,1,1,1,1,1,1,1,1,1,1,1
