...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI,X22B_95_CI
1,NA,NA,AK,2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1.00071714035137,0.2746159741718545,AK,2022-10-10,1,1,0,1,1,1,1,1,0,0,1,1,1,0
3,0.0396479297029083,0.0303662685329336,AK,2022-10-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,NA,NA,AK,2022-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2022-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-10-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2022-10-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.231172952355348,0.0521864276727395,AK,2022-10-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0782461735704106,0.057060208601511,AK,2022-10-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,NA,NA,AK,2022-10-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2022-10-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2022-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.123625769469939,0.091257739498946,AK,2022-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2022-10-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2022-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2022-10-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2022-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.534566588761096,0.372676189607846,AK,2022-10-30,1,1,1,1,1,1,1,1,1,1,0,1,1,0
23,NA,NA,AK,2022-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2022-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.733164357548169,0.209036091445926,AK,2022-11-02,1,1,1,1,1,1,1,1,1,1,0,1,1,0
26,NA,NA,AK,2022-11-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2022-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2022-11-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,AK,2022-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,NA,NA,AK,2022-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2022-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2022-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2022-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2022-11-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0.158314448247951,0.107762264132926,AK,2022-11-14,1,1,1,1,1,1,1,1,1,1,0,1,1,0
38,NA,NA,AK,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2022-11-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0.746738023125391,0.532908708868505,AK,2022-11-17,1,1,1,1,1,1,0,1,1,1,0,1,1,0
41,NA,NA,AK,2022-11-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0.249064939702303,0.0268995544484309,AL,2022-10-09,1,1,1,1,1,1,1,1,0,1,1,1,1,0
44,0.141264981510691,0.02852233720817105,AL,2022-10-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,0.278595417349129,0.0303662685329336,AL,2022-10-11,1,1,1,1,1,1,1,1,0,1,1,1,1,0
46,1.67110627699062,0.377138458601871,AL,2022-10-12,1,1,1,0,1,1,0,1,0,1,0,1,1,0
47,0.548411778356271,0.172418784011294,AL,2022-10-13,1,1,1,1,1,1,1,1,1,1,0,0,1,0
48,0.507545129747905,0.0375174772403903,AL,2022-10-14,1,1,1,1,1,1,1,1,1,1,0,1,1,0
49,0.0539998497535918,0.040553979546525,AL,2022-10-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,0.832589647975357,0.187933169945784,AL,2022-10-16,1,1,0,1,1,1,1,1,1,0,1,1,1,0
51,0.882062007323086,0.402395816531716,AL,2022-10-17,1,1,0,1,1,1,1,1,0,0,1,1,1,1
52,0.0708121902783704,0.0521864276727395,AL,2022-10-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,0.250066675534469,0.057060208601511,AL,2022-10-19,1,1,1,1,1,1,1,1,1,1,0,1,1,0
54,0.093308240966277,0.06251662661034,AL,2022-10-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,0.0932785566256796,0.0686095338080645,AL,2022-10-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,0.111363010536392,0.075393958461597,AL,2022-10-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,0.344943936735981,0.0829252004579665,AL,2022-10-23,1,1,1,1,1,1,1,1,1,1,1,0,1,0
58,0.13110620967895,0.091257739498946,AL,2022-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,0.406342634523617,0.100443961380213,AL,2022-10-25,1,1,1,1,1,1,1,1,1,1,0,1,1,0
60,0.692846557817388,0.3377569136006545,AL,2022-10-26,1,0,1,1,1,1,1,1,1,1,1,1,1,1
61,1.93518218457151,0.689359662018075,AL,2022-10-27,1,1,0,1,1,1,0,1,0,0,1,1,1,0
62,NA,NA,AL,2022-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.284293362211777,0.2710537752451405,AL,2022-10-29,1,1,1,1,1,1,1,1,1,1,0,1,1,0
64,0.840297779847007,0.4080916369264745,AL,2022-10-30,1,0,1,1,1,1,1,1,0,1,1,1,1,0
65,0.907538423096569,0.210628155969289,AL,2022-10-31,1,1,1,1,1,1,0,1,1,1,0,1,1,0
66,0.849446235101954,0.311425942426658,AL,2022-11-01,1,0,1,1,1,1,1,1,1,1,0,1,1,0
67,0.361843068776945,0.24130692151256,AL,2022-11-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,1.47625375984417,0.3887887468464355,AL,2022-11-03,1,0,1,1,1,1,1,1,0,1,1,1,1,0
69,0.389751416952472,0.263822557529446,AL,2022-11-04,1,1,1,1,1,1,1,1,0,1,0,1,1,1
70,0.940621950744345,0.66540994837946,AL,2022-11-05,1,1,0,1,1,1,1,1,1,0,0,1,1,1
71,0.333043206726026,0.2247852403879605,AL,2022-11-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,0.703780806749528,0.267487610476658,AL,2022-11-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,1.07634030426792,0.3300092079785985,AL,2022-11-08,1,1,1,0,1,1,0,1,1,1,0,1,1,0
74,1.06868060900784,0.388352615083764,AL,2022-11-09,1,0,1,1,1,1,1,1,0,0,1,1,1,1
75,1.15894703167061,0.282058664245037,AL,2022-11-10,1,1,1,1,1,1,0,1,1,1,0,1,1,0
76,0.209849040990179,0.143856470027543,AL,2022-11-11,1,1,1,1,1,1,1,1,1,1,0,1,1,0
77,0.817026600438849,0.3243073534700985,AL,2022-11-12,1,1,1,1,1,1,0,1,1,1,0,1,1,0
78,0.320109487277887,0.281397103612274,AL,2022-11-13,1,1,1,1,1,1,1,1,1,1,0,1,1,0
79,0.458899886580239,0.107762264132926,AL,2022-11-14,1,1,1,1,1,1,1,1,1,1,0,1,1,0
80,NA,NA,AL,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.796407289617917,0.300019011966601,AL,2022-11-16,1,1,1,1,1,1,0,1,1,1,0,1,1,0
82,0.859859859537731,0.35446694633551,AL,2022-11-17,1,1,0,1,1,1,1,1,1,1,0,0,1,1
83,0.585254774273821,0.073185293815251,AL,2022-11-18,1,1,1,1,1,1,1,1,1,1,0,1,1,0
84,NA,NA,AL,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.255413229848739,0.0268995544484309,AR,2022-10-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
86,0.902261645073967,0.02852233720817105,AR,2022-10-10,1,1,1,1,1,1,0,1,0,0,0,1,1,0
87,1.51370353799576,0.1081194619139215,AR,2022-10-11,1,1,1,0,1,1,0,1,0,1,0,1,1,0
