...1,es_score,brier_score,location,target_date,X22B_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22E_50_CI,X22B_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22E_95_CI
1,0.913783025072003,0.335995913535781,AK,2023-01-29,1,1,1,1,1,0,1,1,0,1,1,0
2,2.2776614808038,0.468468176480484,AK,2023-01-30,1,1,0,1,1,0,1,1,0,1,1,0
3,0.814729438232755,0.2623528798836165,AK,2023-01-31,1,1,1,1,1,1,1,1,0,1,1,0
4,0.342027734190539,0.083782284297007,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1
5,0.82210656390405,0.2269692811548805,AK,2023-02-02,1,1,1,1,1,1,1,1,0,1,1,0
6,0.982811462006839,0.3624542623740665,AK,2023-02-03,1,0,1,1,1,1,1,0,0,1,1,0
7,2.32468738339412,0.3516038800091985,AK,2023-02-04,1,1,0,1,1,0,1,0,0,1,1,0
8,0.449655831155247,0.055271467611926,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1
9,1.83072622574358,0.0894275284452905,AK,2023-02-06,1,1,0,1,1,0,1,1,0,1,1,0
10,0.908565503657655,0.2677440147833595,AK,2023-02-07,1,1,1,0,1,1,1,1,0,0,1,1
11,1.19124535067534,0.286767680953721,AK,2023-02-08,1,0,0,1,1,1,1,0,0,0,1,0
12,0.625988858871964,0.3487625720678635,AK,2023-02-09,1,1,1,1,1,1,1,1,0,1,1,0
13,0.971937709353882,0.0314903484274728,AK,2023-02-10,1,1,0,1,1,1,1,1,0,1,1,0
14,0.298067786834202,0.1393263213712245,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,1,1
15,0.36344363889033,0.02486448034659015,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
16,3.08397470413139,0.3267784510026635,AK,2023-02-13,1,1,0,1,0,0,1,1,0,1,0,0
17,1.14773875819502,0.260461742303098,AK,2023-02-14,1,1,0,1,1,0,1,1,0,1,1,0
18,1.40047265089151,0.3130060777703545,AK,2023-02-15,1,1,0,1,1,0,1,1,0,1,1,0
19,0.566098484151925,0.01525842501533315,AK,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1
20,0.33903930456898,0.1234514976992805,AK,2023-02-17,1,1,1,1,1,1,1,1,0,1,1,0
21,0.577477982453349,0.207866714510851,AK,2023-02-18,1,1,1,1,1,1,1,1,0,1,1,0
22,0.919185533196514,0.409104572951028,AK,2023-02-19,1,1,0,1,1,0,1,1,0,1,1,0
23,0.627951073296612,0.117186232514758,AK,2023-02-20,1,1,1,1,1,1,1,1,0,1,1,0
24,0.368807075972192,0.110811158239239,AK,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
25,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.111697816003798,0.00624189518637225,AK,2023-02-23,1,1,1,1,1,1,1,1,0,0,1,1
27,1.20540478247095,0.461560604966693,AK,2023-02-24,1,1,0,0,1,1,1,1,0,0,1,1
28,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.00538966687445745,0.003685929402642815,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
31,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.00226084665803005,0.00164951115194722,AK,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
37,NA,NA,AK,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2023-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0.00629296070080355,0.00109889883963427,AK,2023-03-08,1,1,1,1,1,1,1,1,1,1,1,1
40,0.00144435045651937,9.59352179790675e-4,AK,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
41,NA,NA,AK,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0.731438193763707,0.1018119225366505,AL,2023-01-30,1,1,1,1,1,1,1,1,0,1,1,0
45,0.127128833041644,0.0924645386522255,AL,2023-01-31,1,1,1,1,1,1,1,1,0,1,1,0
46,NA,NA,AL,2023-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0.965096581231384,0.361172542645742,AL,2023-02-02,0,1,1,1,1,1,0,1,0,1,1,0
48,NA,NA,AL,2023-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.0866342560544921,0.0615178810743065,AL,2023-02-04,1,1,1,1,1,1,1,1,1,1,1,1
50,0.82166827613559,0.588596262012975,AL,2023-02-05,1,1,1,1,1,0,1,1,0,1,1,0
51,0.542850240400693,0.3286089525973945,AL,2023-02-06,1,1,1,1,1,1,1,1,0,1,1,0
52,0.882094595249629,0.62629468229024,AL,2023-02-07,1,1,0,1,1,0,1,1,0,1,1,0
53,0.533685343034452,0.03963981109334265,AL,2023-02-08,1,1,1,1,1,1,1,1,0,1,1,0
54,1.16220193586068,0.818990071681645,AL,2023-02-09,1,1,0,0,1,1,1,1,0,0,1,1
55,0.0477504400386017,0.0314903484274728,AL,2023-02-10,1,1,1,1,1,1,1,1,0,1,1,0
56,NA,NA,AL,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-02-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0297476711114671,0.02204818732063635,AL,2023-02-13,1,1,1,1,1,1,1,1,1,1,1,1
59,0.0974530471107095,0.0195256219869379,AL,2023-02-14,1,1,1,1,1,1,1,1,1,1,1,1
60,0.176619169158352,0.0172705800848071,AL,2023-02-15,1,1,1,1,1,1,1,1,1,1,1,1
61,0.020979872303595,0.01525842501533315,AL,2023-02-16,1,1,1,1,1,1,1,1,0,1,1,0
62,NA,NA,AL,2023-02-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-02-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-02-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.0128874029016661,0.0092025310023654,AL,2023-02-20,1,1,1,1,1,1,1,1,0,1,1,0
66,0.0113502800417801,0.00809168603461255,AL,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1
67,1.19505356541864,0.840067803260855,AL,2023-02-22,1,1,0,1,1,0,1,1,0,1,1,0
68,0.0084078814514361,0.00624189518637225,AL,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1
69,1.2159331182794,0.464381920481096,AL,2023-02-24,1,1,0,1,0,1,1,1,0,1,0,1
70,1.31332113437619,0.9278183196123,AL,2023-02-25,1,1,0,1,0,1,1,1,0,1,0,1
71,NA,NA,AL,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.00504636653365134,0.003685929402642815,AL,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
73,NA,NA,AL,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,0.0120379750864937,0.002469901470537715,AL,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
76,1.16055552238334,0.456237548799387,AL,2023-03-03,1,1,0,1,1,0,1,1,0,1,1,0
77,NA,NA,AL,2023-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,0.00900598722647138,0.00164951115194722,AL,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
79,NA,NA,AL,2023-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,0.00191382693358142,0.00125850478566525,AL,2023-03-07,1,1,1,1,1,1,1,1,1,1,1,1
81,0.00609629669145552,0.00109889883963427,AL,2023-03-08,1,1,1,1,1,1,1,1,0,1,1,0
82,1.27656231741139,0.321828521998872,AL,2023-03-09,1,0,0,1,1,1,1,0,0,1,1,1
83,NA,NA,AL,2023-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.604059195777339,0.2799566686140885,AR,2023-01-29,1,1,1,1,1,1,1,1,1,1,1,1
86,12.2128697093661,0.466196093841697,AR,2023-01-30,0,1,0,1,1,1,0,1,0,0,0,0
87,2.71999587150268,0.4095894422841555,AR,2023-01-31,1,1,0,1,1,0,1,1,0,1,1,0
88,1.65792506121407,0.397854856374445,AR,2023-02-01,0,1,0,1,0,1,1,1,0,1,0,0
89,1.14646099066167,0.378192410219024,AR,2023-02-02,1,1,0,1,1,0,1,1,1,1,1,1
90,2.61222764689126,0.3890593818118805,AR,2023-02-03,1,1,0,1,1,0,1,1,1,1,1,1
91,0.310103311596053,0.2307347137863265,AR,2023-02-04,1,1,1,1,1,1,1,1,0,1,1,0
92,0.0816435105393942,0.055271467611926,AR,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1
93,1.79510396371785,0.2872517064497185,AR,2023-02-06,0,1,1,1,1,1,0,0,0,1,1,0
94,3.51756033656622,0.4652752203303685,AR,2023-02-07,0,1,0,0,0,1,0,1,0,0,0,0
95,2.75035816672224,0.47143629684578803,AR,2023-02-08,0,1,0,1,1,0,0,1,0,1,1,0
96,2.25803372481968,0.4114432517393125,AR,2023-02-09,1,1,0,1,1,0,1,1,0,1,1,0
97,8.47615077209985,0.5598813158491,AR,2023-02-10,0,1,0,1,1,0,0,1,0,1,1,0
98,NA,NA,AR,2023-02-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1.01625113643931,0.711995143643695,AR,2023-02-12,1,1,0,1,1,0,1,1,0,1,1,0
100,3.85868948918296,0.66349443744493,AR,2023-02-13,0,1,0,1,1,1,0,1,0,1,1,1
101,4.54930512777135,0.429342577818203,AR,2023-02-14,0,1,0,1,1,1,0,1,1,1,1,0
102,1.04024479327195,0.2285102212887695,AR,2023-02-15,1,1,1,1,1,0,1,1,1,1,1,1
103,0.970074651669675,0.2040151229968935,AR,2023-02-16,1,1,1,1,1,0,1,1,0,1,1,0
104,0.326401708607377,0.01346613430485655,AR,2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1
105,0.896447041551771,0.403861115970721,AR,2023-02-18,1,1,0,1,1,0,1,1,1,1,1,1
106,0.0493362424810089,0.0104571799323556,AR,2023-02-19,1,1,1,1,1,1,1,1,1,1,1,1
107,2.47942823766671,0.428010858982497,AR,2023-02-20,0,1,0,1,1,0,0,1,0,1,1,0
108,4.58990877111755,0.3108776609170815,AR,2023-02-21,1,1,0,0,1,0,1,0,0,0,1,0
109,4.58962431172977,0.430900079280713,AR,2023-02-22,0,1,0,1,1,0,0,1,0,1,1,0
110,1.46001887882262,0.217120691118398,AR,2023-02-23,1,1,0,1,1,0,1,1,0,1,1,0
111,1.54817301945982,0.2188404747410085,AR,2023-02-24,1,1,0,1,1,0,1,1,0,1,1,0
112,NA,NA,AR,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,0.956412721421675,0.294742832967042,AR,2023-02-26,1,1,0,1,1,0,1,1,1,1,1,1
114,9.23038285239092,0.4494529734275385,AR,2023-02-27,0,1,0,1,1,0,0,1,0,1,1,0
115,2.45761324607761,0.4716390541886965,AR,2023-02-28,1,1,0,1,0,1,1,1,0,1,0,1
116,0.0723042847273901,0.00282369684714128,AR,2023-03-01,1,1,1,1,1,1,1,1,0,1,1,0
117,0.0140614253559414,0.002469901470537715,AR,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
118,0.00272907862513867,0.002159632433600065,AR,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
