...1,es_score,brier_score,location,target_date,X22B_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22B_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
1,0.446876993040798,0.0327013435053585,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
2,2.70214724425559,0.316394753470997,AK,2023-02-13,1,1,0,1,0,0,1,1,0,1,0,0
3,0.976839219337625,0.252470556162521,AK,2023-02-14,1,1,1,1,1,0,1,1,0,0,1,1
4,1.25117192749055,0.3019012064904105,AK,2023-02-15,1,1,0,1,1,0,1,1,0,1,1,0
5,0.718682757396319,0.0210231411990106,AK,2023-02-16,1,1,1,1,1,1,1,1,0,1,1,0
6,0.302281662533483,0.1228317666494485,AK,2023-02-17,1,1,1,1,1,1,1,1,1,1,1,1
7,0.498591148294205,0.202619814209078,AK,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1
8,0.853505427772925,0.39383647397775,AK,2023-02-19,1,1,0,1,1,0,1,1,0,1,1,0
9,0.515282560275393,0.116168316115525,AK,2023-02-20,1,1,1,1,1,1,1,1,0,1,1,0
10,0.323028006660472,0.1098982652843085,AK,2023-02-21,1,1,1,1,1,1,1,1,0,0,1,1
11,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.159619370492115,0.00938559485401305,AK,2023-02-23,1,1,1,1,1,1,1,1,0,1,1,0
13,1.16952309790623,0.45585777631993,AK,2023-02-24,1,1,0,1,0,1,1,1,0,1,0,1
14,NA,NA,AK,2023-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.00762388388048174,0.00585766779706935,AK,2023-02-27,1,1,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2023-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2023-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2023-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2023-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
