...1,es_score,brier_score,location,target_date,X21L_50_CI,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI,X22B_95_CI
61,1.50480166934987,0.393634513192752,AL,2022-11-03,1,0,1,1,1,1,1,1,0,1,0,1,1,0
62,0.463844639357001,0.339299322463141,AL,2022-11-04,1,1,1,1,1,1,1,1,1,1,0,1,1,0
63,0.93572438775744,0.6646209339528,AL,2022-11-05,1,1,0,1,1,1,1,1,1,0,0,1,1,1
64,0.413271740109577,0.299362462525232,AL,2022-11-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
65,0.532950292267866,0.2507538851304045,AL,2022-11-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,0.890674368935141,0.2486562998536945,AL,2022-11-08,1,1,1,1,1,1,0,1,0,1,1,0,1,0
67,0.870427241320511,0.3585119454600195,AL,2022-11-09,1,0,1,1,1,1,1,1,0,1,1,1,1,0
68,0.78496143200785,0.259836060733703,AL,2022-11-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
69,0.285091566464121,0.208633793457212,AL,2022-11-11,1,1,1,1,1,1,1,1,1,1,0,1,1,0
70,0.612380769902964,0.280848168913003,AL,2022-11-12,1,1,1,1,1,1,1,1,1,1,0,1,1,0
71,0.242906634866991,0.261346789955583,AL,2022-11-13,1,1,1,1,1,1,1,1,0,1,0,1,1,1
72,0.60729048281923,0.162849234117772,AL,2022-11-14,1,1,1,1,1,1,1,1,1,1,0,1,1,0
73,NA,NA,AL,2022-11-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0.577492831973801,0.2724866167836815,AL,2022-11-16,1,1,1,1,1,1,1,1,1,1,0,1,1,0
75,0.785335420902308,0.3429703485575225,AL,2022-11-17,1,1,0,1,1,1,1,1,1,0,0,1,1,1
76,0.756549888338054,0.1135032606055215,AL,2022-11-18,1,1,1,1,1,1,1,1,1,1,0,1,1,0
77,NA,NA,AL,2022-11-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2022-11-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.945438827419662,0.419134282171561,AL,2022-11-21,1,1,1,1,1,0,1,1,1,1,0,1,0,1
80,0.897902723973326,0.407684199774662,AL,2022-11-22,1,0,1,1,1,1,1,1,0,1,0,1,1,1
81,0.0955540262501805,0.0698825222409205,AL,2022-11-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,NA,NA,AL,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1.19343378206497,0.4671455216156995,AL,2022-11-25,1,1,0,0,1,1,1,1,1,0,0,1,1,1
84,NA,NA,AL,2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0.5653909287,0.207429201598473,AR,2022-10-16,1,1,1,1,1,1,1,1,0,1,1,1,1,0
86,0.944020731424057,0.238478965654495,AR,2022-10-17,1,0,1,1,1,1,1,1,0,0,0,1,1,0
87,1.644810162166,0.110119248640077,AR,2022-10-18,1,1,1,0,1,1,0,1,0,0,0,1,1,0
88,0.752460701800987,0.3746602612372895,AR,2022-10-19,1,0,1,1,1,1,1,1,0,1,1,1,1,0
89,0.643961488022663,0.2135255789036135,AR,2022-10-20,1,1,1,1,1,1,1,1,0,1,0,1,1,0
90,1.35007524063461,0.407337714992426,AR,2022-10-21,0,1,0,1,1,1,1,0,1,0,1,1,1,0
91,1.54801815381464,0.0615876535192705,AR,2022-10-22,1,1,1,1,1,1,0,1,0,1,1,1,1,0
92,0.526111514528873,0.0668822308740655,AR,2022-10-23,1,1,1,1,1,1,1,1,1,1,0,1,1,0
93,1.45485671122207,0.2291898055555355,AR,2022-10-24,1,0,1,1,1,1,1,1,0,1,1,0,1,0
94,2.23660065714398,0.2523191708055,AR,2022-10-25,0,1,1,0,1,1,1,0,0,1,0,1,1,0
95,0.813181742769592,0.2327243872926625,AR,2022-10-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,1.21336525013037,0.1897069679035955,AR,2022-10-27,1,1,1,0,1,1,1,1,1,1,0,0,1,0
97,0.736770861117322,0.1023724148627925,AR,2022-10-28,1,1,1,1,1,1,1,1,1,1,0,1,1,0
98,1.16323548910771,0.1115516540231445,AR,2022-10-29,1,1,1,1,1,1,0,1,1,1,1,1,1,1
99,1.2963110610758,0.406591343603864,AR,2022-10-30,0,0,1,1,1,1,1,0,0,1,0,1,1,0
100,2.22895281727624,0.2859543664788295,AR,2022-10-31,1,0,1,0,1,1,1,1,0,0,0,1,1,0
101,0.682790081662532,0.3146799851805045,AR,2022-11-01,1,1,1,1,1,1,1,1,1,1,0,1,1,0
102,8.04568865982134,0.264212779591943,AR,2022-11-02,1,0,1,0,1,1,0,1,0,0,0,1,1,0
103,4.45478399961587,0.2188919206772645,AR,2022-11-03,1,1,1,0,1,1,0,1,0,0,0,1,1,0
104,0.43620670282999,0.261524329804707,AR,2022-11-04,1,1,1,1,1,1,1,1,1,1,0,1,1,0
105,1.95849712685603,0.3796643900377455,AR,2022-11-05,1,0,1,0,1,1,1,1,0,1,0,1,1,0
106,0.989861165465889,0.4755150960332395,AR,2022-11-06,1,0,1,1,1,1,1,1,1,1,0,1,1,0
107,1.35913588782137,0.2312380237428995,AR,2022-11-07,1,1,1,0,1,1,0,1,1,1,0,1,1,0
108,3.39837806710979,0.3612554828583775,AR,2022-11-08,1,0,1,0,1,1,0,1,0,1,0,1,1,0
109,1.45969486802701,0.262042614459281,AR,2022-11-09,1,1,1,0,1,1,0,1,1,1,0,1,1,0
110,4.15088343695729,0.2856148301919235,AR,2022-11-10,1,1,1,0,1,1,0,1,1,1,0,0,1,0
111,1.03620603312741,0.305035306716969,AR,2022-11-11,1,1,1,0,1,1,0,1,1,1,0,1,1,0
112,0.471297346842165,0.3249895654750565,AR,2022-11-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,NA,NA,AR,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1.37709928942977,0.327210118671578,AR,2022-11-14,1,0,1,1,1,1,1,1,0,0,0,1,1,0
115,0.877513273376532,0.407419234251389,AR,2022-11-15,1,0,1,1,1,1,1,1,0,1,0,0,1,0
116,0.581218142504499,0.408485798921066,AR,2022-11-16,1,1,1,1,1,1,1,1,0,1,1,1,1,0
117,3.74206564066412,0.3124255873209095,AR,2022-11-17,1,1,1,0,1,1,0,1,1,1,0,1,1,0
118,2.51948236331541,0.51504646132758,AR,2022-11-18,1,0,1,0,1,1,0,1,0,0,0,1,1,0
119,1.32112897569039,0.60642957043517,AR,2022-11-19,1,1,1,0,1,0,1,1,1,1,0,1,0,0
120,0.296633688814065,0.2270365732447215,AR,2022-11-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,6.37481690232355,0.4559235361629775,AR,2022-11-21,1,0,1,0,1,1,0,1,0,1,0,1,1,0
122,0.967120046532693,0.200264200482751,AR,2022-11-22,1,1,1,1,1,1,1,1,1,0,0,0,1,1
123,1.41460667698298,0.330255775017076,AR,2022-11-23,1,0,1,1,1,0,1,1,0,0,1,0,0,1
124,1.22498561823908,0.4704339945169105,AR,2022-11-24,1,1,1,0,1,0,1,1,1,1,0,1,0,1
125,0.906127887041513,0.057296244994711,AR,2022-11-25,1,1,1,0,1,1,1,1,1,1,0,0,1,0
126,2.69020328865668,0.777525286348975,AR,2022-11-26,1,1,0,0,1,0,1,1,1,0,0,0,0,0
127,0.957966986015195,0.157019830609892,AZ,2022-10-16,1,1,1,1,1,1,1,1,0,1,0,1,1,1
128,4.77777986366282,0.1216682624822585,AZ,2022-10-17,1,0,0,1,1,1,0,1,0,1,0,1,1,1
129,2.63098747951569,0.222315684662731,AZ,2022-10-18,1,1,1,0,1,1,1,1,0,0,0,0,1,0
130,4.80325377256163,0.2832382750338775,AZ,2022-10-19,1,0,1,0,0,1,0,1,1,1,0,1,1,0
131,3.06221149128705,0.258262632400312,AZ,2022-10-20,1,0,1,0,1,1,1,1,0,0,0,0,1,1
132,1.25993000091098,0.142373225429459,AZ,2022-10-21,1,1,1,1,1,1,0,1,0,1,1,1,1,0
133,0.52877599991764,0.328864454124832,AZ,2022-10-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,0.957805307115484,0.1308514467746135,AZ,2022-10-23,1,1,1,1,1,1,0,1,0,0,0,1,1,0
135,2.24556254880383,0.257454471077856,AZ,2022-10-24,1,0,1,0,1,1,1,1,0,1,0,0,1,1
136,1.94091574099402,0.275926722928191,AZ,2022-10-25,0,1,0,1,1,1,1,0,1,1,0,1,1,1
137,1.96047311633571,0.239075743375851,AZ,2022-10-26,1,0,1,1,1,1,1,1,0,1,0,1,1,0
138,3.15879188772185,0.333589113991352,AZ,2022-10-27,1,1,1,0,1,1,0,1,0,0,1,1,1,0
139,2.02156283285623,0.21103928092169,AZ,2022-10-28,1,0,1,1,1,1,0,1,0,0,0,1,1,0
140,2.55135573141441,0.3526414560669855,AZ,2022-10-29,1,0,1,1,1,1,0,1,0,0,0,1,1,0
141,2.23263379004389,0.325591900099691,AZ,2022-10-30,0,0,1,0,1,1,1,0,0,1,0,0,1,0
142,2.10425351964265,0.293224297151669,AZ,2022-10-31,1,1,0,1,1,1,1,1,1,0,0,1,1,0
143,2.22655936879373,0.258323382229872,AZ,2022-11-01,1,1,1,1,1,1,0,1,1,0,0,0,1,0
144,3.75870003673889,0.276670016389546,AZ,2022-11-02,1,0,0,0,1,1,0,1,0,0,0,1,1,0
145,5.62877899491849,0.3672198491384595,AZ,2022-11-03,1,0,1,1,0,1,0,1,0,0,0,0,1,0
146,2.70709661311347,0.256583449057355,AZ,2022-11-04,1,0,0,1,1,1,0,1,0,0,0,0,1,0
147,4.95043853503576,0.3250522386879335,AZ,2022-11-05,1,0,0,0,0,1,1,1,0,0,0,0,1,0
148,6.2774196570077,0.280528145780733,AZ,2022-11-06,1,1,1,0,1,1,0,1,1,0,0,1,1,0
149,8.13824135008446,0.281990908781314,AZ,2022-11-07,0,0,1,0,0,1,0,0,0,0,0,0,1,0
150,2.72006393245622,0.298075497250931,AZ,2022-11-08,1,1,1,1,1,1,1,1,0,1,1,1,1,0
151,2.78987281520967,0.3078239512444585,AZ,2022-11-09,0,0,1,1,1,0,1,0,0,0,0,0,0,0
152,2.67072872603344,0.310626021877076,AZ,2022-11-10,1,1,0,1,1,1,1,1,0,0,0,0,1,0
153,14.7776419125518,0.381235885414315,AZ,2022-11-11,1,0,0,0,0,1,0,1,0,0,0,0,1,0
154,9.37981264066135,0.2969082216704495,AZ,2022-11-12,1,0,1,0,1,1,0,1,0,0,0,1,1,0
155,1.53318292457333,0.307193466936485,AZ,2022-11-13,1,1,1,1,1,0,1,1,0,0,0,1,0,0
156,7.43732502819619,0.2860421923999655,AZ,2022-11-14,1,1,1,0,0,1,0,1,0,0,0,0,1,0
157,9.62885484245077,0.296736032120751,AZ,2022-11-15,1,1,1,0,1,1,0,1,1,1,0,1,1,0
158,7.83506704996404,0.3135922096938265,AZ,2022-11-16,1,1,0,0,1,1,0,1,0,0,0,0,1,0
159,18.0767735159923,0.3106032761629735,AZ,2022-11-17,1,1,1,0,1,1,0,1,0,0,0,1,1,0
160,10.8559125702793,0.3079555293659725,AZ,2022-11-18,1,1,1,0,1,1,0,1,1,0,0,0,1,0
161,1.93103560389597,0.2361582636415765,AZ,2022-11-19,1,1,1,1,1,1,0,1,1,0,0,0,1,0
162,10.6131157781625,0.3523834611635615,AZ,2022-11-20,1,1,1,0,1,1,0,1,0,0,0,1,1,0
163,17.8237581479514,0.292051430289601,AZ,2022-11-21,0,1,1,0,0,1,0,0,0,0,0,0,1,0
164,43.0953084756802,0.3945294304390145,AZ,2022-11-22,0,0,0,0,1,1,0,0,0,0,0,0,1,0
165,19.9460316179249,0.3411489022240115,AZ,2022-11-23,1,1,1,0,0,1,0,1,0,0,0,0,1,0
166,2.34933822835388,0.3495107661338685,AZ,2022-11-24,0,1,1,0,1,1,0,0,0,1,0,0,1,1
167,15.9302882602204,0.294966837176338,AZ,2022-11-25,1,1,1,0,1,1,0,1,1,1,0,1,1,0
168,17.0305689741273,0.35887318539082,AZ,2022-11-26,0,0,1,0,1,0,0,0,0,1,0,1,0,0
169,3.97925939906441,0.1931278720210355,CA,2022-10-16,0,0,0,1,0,1,1,0,0,0,0,1,1,0
170,3.2835221248394,0.2097741851840485,CA,2022-10-17,0,1,0,1,1,1,1,0,1,0,0,0,1,0
171,9.66816986610586,0.2554183512034805,CA,2022-10-18,0,0,0,0,1,1,0,0,0,0,0,0,1,0
172,13.1382648484682,0.2616091853642255,CA,2022-10-19,0,1,0,0,1,0,0,0,0,0,0,0,0,0
173,2.9895558163414,0.2245490683894185,CA,2022-10-20,0,1,1,1,1,1,1,0,0,0,0,1,1,0
174,4.40255757527692,0.194689559092485,CA,2022-10-21,0,0,1,1,1,0,0,0,0,0,0,1,0,0
175,6.49593744817176,0.247170590957512,CA,2022-10-22,0,0,1,0,1,0,1,0,0,0,0,1,0,0
176,5.18639093230666,0.253078519112313,CA,2022-10-23,0,0,1,0,1,0,1,0,0,0,0,1,0,0
177,12.308203613344,0.2864526238482085,CA,2022-10-24,0,0,0,0,0,1,0,0,0,0,0,0,1,0
178,8.98748902877831,0.281154825902605,CA,2022-10-25,1,0,1,0,1,1,0,1,0,0,0,0,1,0
179,7.09664499023667,0.27899718188198,CA,2022-10-26,0,0,1,0,1,1,0,0,0,0,0,0,1,0
180,7.0131136608801,0.2775833152940035,CA,2022-10-27,0,0,0,0,1,1,0,0,0,0,0,0,1,0
181,8.41208657246487,0.225899840264452,CA,2022-10-28,0,0,0,1,1,1,0,0,0,0,0,0,1,0
182,8.66524294975045,0.2637175590947335,CA,2022-10-29,0,0,1,0,1,0,0,0,0,0,0,0,0,0
183,8.2478841239004,0.291122090191927,CA,2022-10-30,0,0,0,0,1,0,1,0,0,0,0,0,0,0
184,6.73872735272249,0.2894823556301805,CA,2022-10-31,0,0,1,1,0,0,1,0,0,0,0,0,0,0
185,6.01324749917966,0.2951469434049335,CA,2022-11-01,0,0,1,1,1,1,1,0,0,0,0,0,1,0
186,4.01631794562915,0.292837322000231,CA,2022-11-02,0,0,0,1,1,1,1,0,0,0,0,1,1,0
187,8.3331192766414,0.3021962179541625,CA,2022-11-03,0,0,1,1,1,0,1,0,0,0,0,0,0,0
188,12.6665975908478,0.280776166359881,CA,2022-11-04,0,0,1,0,1,0,0,0,0,0,0,0,0,0
189,8.45047705877401,0.30770659574533,CA,2022-11-05,0,0,0,0,1,1,1,0,1,0,0,0,1,0
190,5.23013473920653,0.3111238138343785,CA,2022-11-06,0,1,0,1,1,1,1,0,0,0,0,0,1,0
191,13.7516326157181,0.308088100038224,CA,2022-11-07,0,0,0,0,1,0,0,0,0,0,0,0,0,1
192,14.2952380172121,0.311921728723419,CA,2022-11-08,0,0,1,0,1,0,0,0,0,0,0,1,0,0
193,14.4928585802697,0.297414394969174,CA,2022-11-09,0,0,1,0,0,0,0,0,0,0,0,0,0,0
194,6.56665913066616,0.312554363532771,CA,2022-11-10,0,1,0,1,1,0,1,0,0,0,0,0,0,0
195,7.68969327483704,0.315909598444375,CA,2022-11-11,0,1,0,0,0,0,1,0,1,0,0,0,0,0
196,13.6159515449445,0.3211027698541375,CA,2022-11-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,33.4646897926339,0.320977196978792,CA,2022-11-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
198,25.9947538407112,0.3159224557507325,CA,2022-11-14,0,0,0,0,0,1,0,0,0,0,0,0,1,0
199,32.8567478906814,0.320383415627359,CA,2022-11-15,0,1,0,0,0,0,0,0,1,0,0,0,0,0
200,58.5503623640785,0.324699355754855,CA,2022-11-16,0,1,0,0,1,0,0,0,0,0,0,0,0,0
201,49.0378906666131,0.3228646437527635,CA,2022-11-17,0,1,1,0,1,0,0,0,0,0,0,1,0,0
202,39.9996561237101,0.330084839281114,CA,2022-11-18,0,0,1,0,1,1,0,0,0,1,0,0,1,0
203,33.7628588165023,0.3427173411422095,CA,2022-11-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,32.4286370855399,0.3035581266517325,CA,2022-11-20,0,0,1,0,0,0,0,0,0,1,0,0,0,0
205,52.6209902250169,0.3285490521656735,CA,2022-11-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,45.7154800231809,0.305778158036934,CA,2022-11-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,41.7064500259431,0.313171690477843,CA,2022-11-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,2.30540238467406,0.277511131063222,CA,2022-11-24,1,1,1,0,1,1,0,1,0,0,0,0,1,0
209,44.1298714276256,0.280661982494411,CA,2022-11-25,0,0,0,0,1,0,0,0,0,0,0,0,0,0
210,66.0186622462619,0.2827435761458125,CA,2022-11-26,0,0,0,0,0,0,0,0,1,0,0,0,0,0
211,0.993180304434116,0.166181678123945,CO,2022-10-16,0,1,1,1,1,1,1,0,1,1,1,1,1,0
212,1.64243400565257,0.0419373547401602,CO,2022-10-17,1,1,1,1,1,1,0,1,1,0,1,1,1,0
213,0.915685299291656,0.20156578649992,CO,2022-10-18,1,1,1,1,1,1,1,1,1,0,0,1,1,0
214,1.19569780149374,0.2112062724340485,CO,2022-10-19,1,1,1,0,1,1,1,1,0,1,1,1,1,0
215,1.5064025292131,0.2984411608619105,CO,2022-10-20,1,1,0,1,1,1,1,1,1,0,1,1,1,0
216,0.970759538791793,0.3670335081682845,CO,2022-10-21,1,1,0,1,1,1,1,1,1,0,0,1,1,0
217,0.407648050837482,0.2397721872563115,CO,2022-10-22,1,1,1,1,1,1,1,1,1,0,0,1,1,0
218,0.101620267034118,0.0668822308740655,CO,2022-10-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,1.15327291189086,0.25190830809354,CO,2022-10-24,1,1,1,1,1,0,1,1,0,0,0,1,0,0
220,1.60759207618366,0.2757522085766905,CO,2022-10-25,1,1,0,1,1,1,1,1,0,0,0,0,1,1
221,1.46600959667617,0.2074808906150895,CO,2022-10-26,1,0,1,1,1,1,1,1,1,0,0,1,1,0
222,1.92693330681687,0.318783225473959,CO,2022-10-27,0,0,1,1,1,1,1,0,0,0,0,1,1,0
223,0.959241973856875,0.262320239419316,CO,2022-10-28,1,1,1,1,1,1,1,1,0,0,1,1,1,1
224,1.0480169105534,0.2872713927802945,CO,2022-10-29,1,1,1,0,1,1,1,1,1,1,0,1,1,0
225,0.859396457420577,0.201752636134568,CO,2022-10-30,1,1,1,1,1,1,1,1,0,1,0,1,1,1
226,2.07197018888005,0.320725965794339,CO,2022-10-31,1,1,1,0,1,1,0,1,1,1,0,1,1,0
227,1.20665569386315,0.3008973398310735,CO,2022-11-01,1,1,1,1,1,1,1,1,1,1,0,1,1,0
228,2.06023042100878,0.3454900325447565,CO,2022-11-02,1,1,0,1,1,1,0,1,0,0,0,1,1,0
229,1.86458005389331,0.250189735336082,CO,2022-11-03,1,1,1,1,1,1,0,1,0,1,0,1,1,1
230,1.18667181646887,0.2946643393914785,CO,2022-11-04,1,1,1,1,1,1,1,1,0,1,1,1,1,0
231,2.50635007719199,0.39838467284728,CO,2022-11-05,1,0,1,0,1,0,1,1,0,1,0,1,0,0
232,2.19273625108291,0.3231115003206395,CO,2022-11-06,1,1,1,1,1,1,0,1,0,0,0,0,1,1
233,1.95500382596471,0.267957303487542,CO,2022-11-07,1,0,1,1,1,1,1,1,0,1,0,1,1,0
234,1.5390753094649,0.299580106871938,CO,2022-11-08,1,0,1,1,1,1,1,1,0,0,0,1,1,0
235,1.89624191052265,0.2549059439959905,CO,2022-11-09,1,1,1,1,1,1,1,1,0,0,0,1,1,0
236,2.79051287461412,0.3115116383116525,CO,2022-11-10,1,1,1,0,1,0,0,1,0,1,1,1,0,0
237,1.77213964403482,0.347777227486172,CO,2022-11-11,1,0,1,0,1,1,1,1,1,1,1,0,1,0
238,1.99775160563121,0.285224816176495,CO,2022-11-12,1,0,1,1,1,1,0,1,0,1,0,1,1,0
239,1.52198404528624,0.377260433008174,CO,2022-11-13,1,1,0,0,1,1,1,1,1,0,0,1,1,0
