...1,es_score,brier_score,location,target_date,X22F_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,recombinant_50_CI,other_50_CI,X23A_50_CI,X22F_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,recombinant_95_CI,other_95_CI,X23A_95_CI
85,NA,NA,AR,2023-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2023-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,0.85852173912207,0.1254599105673895,AR,2023-05-23,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
88,NA,NA,AR,2023-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,NA,NA,AR,2023-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0.209921575981674,0.144508941148671,AR,2023-05-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,NA,NA,AR,2023-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2023-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.643755698575056,0.4583653412830005,AR,2023-05-29,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0.627650521387852,0.448558957605028,AR,2023-05-30,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,0.252928121531686,0.1803337882185835,AR,2023-05-31,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
96,NA,NA,AR,2023-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2023-06-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-06-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-06-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2023-06-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2023-06-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.348609681695646,0.237859520199618,AR,2023-06-07,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
103,0.343083430077181,0.2466246857356565,AR,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,0.36522632338126,0.2554920989821305,AR,2023-06-09,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
105,NA,NA,AR,2023-06-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-06-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.957730762470575,0.2825750896689215,AR,2023-06-12,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
108,0.458019663458581,0.325719442497327,AR,2023-06-13,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
109,0.440540563672516,0.3183512863677945,AR,2023-06-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
110,NA,NA,AR,2023-06-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.419001355722675,0.304290659084026,AR,2023-06-16,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
112,NA,NA,AR,2023-06-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.487605661760591,0.346742655827158,AR,2023-06-19,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
115,NA,NA,AR,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,0.528210886832532,0.3737117577814035,AR,2023-06-22,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
118,0.543421474950007,0.3825272969105395,AR,2023-06-23,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
119,NA,NA,AR,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,3.51440117682135,0.408273742903565,AR,2023-06-26,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
122,0.330497424416828,0.243897671708776,AR,2023-06-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
123,NA,NA,AR,2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.2905307250384,0.2233637507552985,AZ,2023-05-21,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0
128,2.47967234921285,0.2222571644201455,AZ,2023-05-22,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0
129,2.43371054121259,0.2109222165929775,AZ,2023-05-23,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
130,1.25601265347761,0.27843923669954,AZ,2023-05-24,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0
131,0.932594307192917,0.1379495151374365,AZ,2023-05-25,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
132,1.06335370977065,0.288269135187074,AZ,2023-05-26,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
133,0.979049580179156,0.151275250704997,AZ,2023-05-27,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,0
134,2.08428888239251,0.30136278214885,AZ,2023-05-28,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0
135,2.19562092374464,0.3223676152445645,AZ,2023-05-29,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0
136,1.27948918968906,0.345284492192562,AZ,2023-05-30,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0
137,2.8751859242574,0.284383414422849,AZ,2023-05-31,1,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,0
138,1.90037295517021,0.3989724471441555,AZ,2023-06-01,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
139,0.902461974737417,0.322273701871582,AZ,2023-06-02,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
140,1.82077258123997,0.277073998026743,AZ,2023-06-03,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1
141,1.36538968489829,0.2500612783690795,AZ,2023-06-04,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
142,1.44886591575532,0.278060760474354,AZ,2023-06-05,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
143,1.20817474283548,0.3818263218971255,AZ,2023-06-06,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
144,1.55580229946927,0.323172682900386,AZ,2023-06-07,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0
145,1.37236796799847,0.3595019368174435,AZ,2023-06-08,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0
146,1.0795061939709,0.388934104093377,AZ,2023-06-09,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1
147,1.02318186568675,0.4429106621694555,AZ,2023-06-10,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1
148,2.45903320121604,0.3017169757190875,AZ,2023-06-11,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
149,1.62838095391261,0.361902500443307,AZ,2023-06-12,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0
150,1.80480046322383,0.4301643681917515,AZ,2023-06-13,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0
151,2.53603539995674,0.307875233160368,AZ,2023-06-14,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
152,1.20930118514327,0.574465600709075,AZ,2023-06-15,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0
153,2.23386931379684,0.332009276215904,AZ,2023-06-16,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0
154,0.452665862057154,0.3130356208602245,AZ,2023-06-17,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
155,4.03517733840187,0.361811778736392,AZ,2023-06-18,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0
156,5.37095621215024,0.4222302454486475,AZ,2023-06-19,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
157,1.7053451686906,0.401949604127172,AZ,2023-06-20,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0
158,3.49194238865573,0.403401320316123,AZ,2023-06-21,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0
159,2.87556108469973,0.437984912133763,AZ,2023-06-22,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0
160,0.544933141960115,0.3825272969105395,AZ,2023-06-23,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
161,0.790889621805785,0.3538474552735055,AZ,2023-06-24,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
162,0.955540732595805,0.3436852831818235,AZ,2023-06-25,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
163,5.15087209540613,0.399365111534983,AZ,2023-06-26,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0
164,8.8867145222994,0.447880704462131,AZ,2023-06-27,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0
165,3.82019314152621,0.4231840163646525,AZ,2023-06-28,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0
166,3.11066185495603,0.394078810615497,AZ,2023-06-29,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,0
167,1.07979470614282,0.370074791220234,AZ,2023-06-30,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
168,2.09905782266854,0.444431188607007,AZ,2023-07-01,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0
169,1.0345957331826,0.442605063310914,CA,2023-05-21,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
170,1.51497450084816,0.287782542053509,CA,2023-05-22,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0
171,1.25627605883355,0.281531298455816,CA,2023-05-23,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
172,1.47325387195318,0.2764065006248095,CA,2023-05-24,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0
173,2.37216449669771,0.278534489966105,CA,2023-05-25,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
174,1.86380206589027,0.3278652552826145,CA,2023-05-26,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1
175,1.05828876908683,0.30977187726325,CA,2023-05-27,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
176,1.44385976363563,0.4120049122276275,CA,2023-05-28,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0
177,1.74150820481534,0.4725475843766245,CA,2023-05-29,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0
178,2.54039144091401,0.2925436232240185,CA,2023-05-30,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,0
179,2.10617065495297,0.323569856502231,CA,2023-05-31,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0
180,2.33180019174967,0.3220230912782615,CA,2023-06-01,0,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
181,1.36658842894303,0.36968152885827,CA,2023-06-02,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0
182,1.56871681760251,0.308833117169497,CA,2023-06-03,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0
183,2.11623828104878,0.4259155693380765,CA,2023-06-04,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0
184,1.82474360719854,0.306907403888752,CA,2023-06-05,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0
185,2.08091964817915,0.4073460539405525,CA,2023-06-06,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0
186,1.73931718382014,0.394210134260983,CA,2023-06-07,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0
187,1.05109337256821,0.358671515836252,CA,2023-06-08,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
188,3.3559178593535,0.466251956420518,CA,2023-06-09,0,1,1,1,1,1,0,1,0,0,0,0,1,0,1,0,1,0
189,1.23951812099103,0.585464239641155,CA,2023-06-10,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0
190,0.87495998274670606,0.350310753319789,CA,2023-06-11,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
191,1.88339569290624,0.3768491073493895,CA,2023-06-12,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1
192,2.20812302706702,0.3378191899161075,CA,2023-06-13,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0
193,3.43458731043999,0.4033565031820495,CA,2023-06-14,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
194,1.84719834269971,0.368767327812078,CA,2023-06-15,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0
195,2.20314521066321,0.408751017668505,CA,2023-06-16,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
196,1.30200561673339,0.477233734660512,CA,2023-06-17,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0
197,0.602353196576103,0.42188330707536,CA,2023-06-18,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
198,2.71776707523344,0.3944271031835465,CA,2023-06-19,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0
199,2.755340647508,0.392752324468945,CA,2023-06-20,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0
