"","es_score","brier_score","location","target_date","X22A_50_CI","X22D_50_CI","X22E_50_CI","X22F_50_CI","X23A_50_CI","X23C_50_CI","other_50_CI","X22B_50_CI","X22A_95_CI","X22D_95_CI","X22E_95_CI","X22F_95_CI","X23A_95_CI","X23C_95_CI","other_95_CI","X22B_95_CI"
"22",NA,NA,"AK",2022-12-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",0.913753377998781,1.29454463615074,"AK",2022-12-19,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"24",NA,NA,"AK",2022-12-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",0.923949886062235,1.30312958030966,"AK",2022-12-21,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"26",NA,NA,"AK",2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,"AK",2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,"AK",2022-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,"AK",2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,"AK",2022-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,"AK",2022-12-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",0.352484047020097,0.469571213631271,"AK",2022-12-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33",0.999849851139572,1.40883051431017,"AK",2022-12-29,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
"34",0.981031575948448,1.37573865011827,"AK",2022-12-30,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
"35",NA,NA,"AK",2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,"AK",2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,"AK",2023-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",0.324835206676425,0.549076630117794,"AK",2023-01-03,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"39",1.51875000510969,0.926101962168435,"AK",2023-01-04,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
"40",0.739629110976785,0.997369633094991,"AK",2023-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41",0.813106174682528,1.06793315284323,"AK",2023-01-06,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
"42",NA,NA,"AK",2023-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,"AL",2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",0.669701632130199,0.375450909093157,"AL",2022-11-28,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"45",0.925461054335622,0.675986776842762,"AL",2022-11-29,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0
"46",0.818551778103958,0.507524919007283,"AL",2022-11-30,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
"47",1.12553786788199,0.58242703131034,"AL",2022-12-01,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"48",0.790227989304332,0.590861713843011,"AL",2022-12-02,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
"49",NA,NA,"AL",2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1.09612723566615,0.546082611688193,"AL",2022-12-04,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"51",1.39348405351254,0.61694183801064,"AL",2022-12-05,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
"52",1.21992338001768,0.702789279493936,"AL",2022-12-06,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0
"53",0.380763711575473,0.472251601957188,"AL",2022-12-07,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0
"54",1.56011261568816,0.642972017081733,"AL",2022-12-08,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
"55",0.729000719651887,0.447963991967253,"AL",2022-12-09,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1
"56",0.800663387069095,0.283168388704799,"AL",2022-12-10,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"57",1.66173860204374,1.05665695863017,"AL",2022-12-11,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,0
"58",1.38730991145294,0.864009463124582,"AL",2022-12-12,1,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1
"59",0.0920578074672287,0.128776082009071,"AL",2022-12-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60",1.24240444208878,0.691169164861785,"AL",2022-12-14,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"61",1.8029573101509,0.618216689584161,"AL",2022-12-15,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"62",0.837091873354407,0.582195723557655,"AL",2022-12-16,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0
"63",0.334454815568366,0.147815055541025,"AL",2022-12-17,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"64",0.348801100656921,0.158280519169404,"AL",2022-12-18,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
"65",0.758857226278778,0.452331261432027,"AL",2022-12-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0
"66",2.95832717457276,0.506931737148544,"AL",2022-12-20,0,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1
"67",1.77834498044789,0.775932745382046,"AL",2022-12-21,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1
"68",NA,NA,"AL",2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,"AL",2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",0.215347687165419,0.292427930130791,"AL",2022-12-24,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
"71",NA,NA,"AL",2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",3.76091257349133,0.670552292265024,"AL",2022-12-26,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0
"73",4.67203415932599,0.652117356731458,"AL",2022-12-27,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0
"74",3.27935750183671,0.82907116813832,"AL",2022-12-28,1,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0
"75",6.36158416297578,0.787637043307421,"AL",2022-12-29,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
"76",1.83530369940508,0.766880002988509,"AL",2022-12-30,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0
"77",NA,NA,"AL",2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,"AL",2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",12.6579092417066,0.858002174976481,"AL",2023-01-02,1,0,0,1,0,1,1,0,1,1,0,0,0,1,1,1
"80",9.67255336777823,1.03027185954518,"AL",2023-01-03,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0
"81",4.91242816603008,0.884892391667085,"AL",2023-01-04,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0
"82",3.8946849041668,0.723209353589286,"AL",2023-01-05,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
"83",3.1229416633461,1.31142286391278,"AL",2023-01-06,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
"84",4.87487437125099,1.23331104905852,"AL",2023-01-07,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
"85",0.889528319834713,0.823137265976981,"AR",2022-11-27,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"86",7.94189571876121,0.692895326989514,"AR",2022-11-28,1,1,0,1,1,1,1,0,1,0,0,0,1,1,1,0
"87",4.38614210475434,0.675986776842762,"AR",2022-11-29,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0
"88",1.54807282589256,0.619159634372099,"AR",2022-11-30,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0
"89",3.35594268300699,0.712971958276673,"AR",2022-12-01,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0
"90",1.18065018002404,0.414176751189289,"AR",2022-12-02,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"91",0.978523856427256,0.85915045165046,"AR",2022-12-03,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0
"92",0.449192491732463,0.608179931954841,"AR",2022-12-04,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
"93",4.28678166269655,0.750641068886987,"AR",2022-12-05,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0
"94",4.34122311385113,0.734856022650136,"AR",2022-12-06,0,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0
"95",3.07873686766797,0.59618692583457,"AR",2022-12-07,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0
"96",4.98681893588762,0.794299780792836,"AR",2022-12-08,1,0,0,1,1,1,1,0,1,0,0,1,0,1,0,0
"97",1.30406068514862,0.521406834895583,"AR",2022-12-09,1,0,1,1,1,1,1,1,0,0,0,1,0,1,1,0
"98",0.931201884268895,0.554258761168498,"AR",2022-12-10,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
"99",0.75104972056648,0.524624337403404,"AR",2022-12-11,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1
"100",9.41955737042849,0.729813788301971,"AR",2022-12-12,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"101",2.3004529750436,0.593809846511406,"AR",2022-12-13,0,0,1,1,0,1,1,0,0,1,0,0,0,1,1,0
"102",6.86892937196029,0.634816678116482,"AR",2022-12-14,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0
