...1,es_score,brier_score,location,target_date,X22A_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,other_95_CI,X22B_95_CI
33,NA,NA,AK,2022-09-29,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2022-09-30,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2022-10-01,NA,NA,NA,NA,NA,NA
36,0.00573848265233456,0.00446691536770871,AK,2022-10-02,1,1,1,1,1,1
37,1.07044121831924,0.438411439101846,AK,2022-10-03,0,1,0,0,1,0
38,1.32732092941019,0.93900143371449,AK,2022-10-04,1,0,0,1,0,0
39,1.23237716449855,0.875771871891375,AK,2022-10-05,0,1,0,0,1,0
40,NA,NA,AK,2022-10-06,NA,NA,NA,NA,NA,NA
41,0.00548017654589091,0.003900652371578395,AK,2022-10-07,1,1,1,0,1,0
42,NA,NA,AK,2022-10-08,NA,NA,NA,NA,NA,NA
43,0.541979940124301,0.123729910591229,AL,2022-08-28,1,1,1,0,1,0
44,1.7024248404078,0.0516195520350975,AL,2022-08-29,0,1,0,0,1,0
45,1.68046655380787,0.174196432192025,AL,2022-08-30,1,0,0,0,0,1
46,2.59102041279241,0.222388520177101,AL,2022-08-31,0,1,0,0,1,0
47,0.325257151491369,0.0716124508599585,AL,2022-09-01,1,1,1,1,1,1
48,0.274697511781883,0.082732200850989,AL,2022-09-02,1,1,1,0,1,0
49,1.85142823050328,0.21037102041452,AL,2022-09-03,0,1,0,0,0,1
50,0.678361755509454,0.0094985938448684,AL,2022-09-04,1,1,1,0,1,0
51,NA,NA,AL,2022-09-05,NA,NA,NA,NA,NA,NA
52,0.99823913039816,0.171056326742837,AL,2022-09-06,0,1,0,0,1,0
53,0.293942645495231,0.0900422634019025,AL,2022-09-07,1,1,1,1,1,1
54,2.57572703304936,0.2003685703285295,AL,2022-09-08,0,1,0,0,1,0
55,0.450857668657383,0.1445996231840755,AL,2022-09-09,1,1,1,1,1,1
56,0.970667972031281,0.418194536266383,AL,2022-09-10,0,1,0,0,1,0
57,0.580263430534492,0.1723915865036065,AL,2022-09-11,1,1,1,1,1,1
58,1.22029856368904,0.190989820601046,AL,2022-09-12,0,1,0,0,1,0
59,0.277731621938563,0.082665981350404,AL,2022-09-13,1,1,1,1,1,1
60,1.39813189637357,0.214665903654473,AL,2022-09-14,0,1,0,0,1,0
61,0.309232150970098,0.00706353242957975,AL,2022-09-15,1,1,1,0,1,0
62,0.705532176504497,0.2154156128997,AL,2022-09-16,1,1,1,1,1,1
63,0.71339223859666,0.21578677357539,AL,2022-09-17,1,1,1,1,1,1
64,0.00911914602318979,0.0065161006219934,AL,2022-09-18,1,1,1,1,1,1
65,0.868576858975987,0.286581132017949,AL,2022-09-19,0,1,0,0,1,0
66,0.102098257400583,0.0061747658587892,AL,2022-09-20,1,1,1,0,1,0
