...1,es_score,brier_score,location,target_date,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_50_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI,X22B_95_CI
1,0.193214707510518,0.137109871664537,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.815334313322097,0.3039000383884915,AK,2023-01-09,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
3,1.21348056476584,0.195666638773475,AK,2023-01-10,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1.73197521169567,0.3370576454434245,AK,2023-01-11,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0
5,1.60253824595127,0.18548021984711,AK,2023-01-12,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
6,0.686216856758581,0.2389682387702925,AK,2023-01-13,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
7,0.301751313353484,0.215830971524716,AK,2023-01-14,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
8,0.323952415673677,0.232530866347062,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.828814212129847,0.25198540310028,AK,2023-01-16,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
10,3.16768661951054,0.293089466142115,AK,2023-01-17,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1
11,2.87886170742969,0.3292068578698455,AK,2023-01-18,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0
12,0.341472575758682,0.237904057857066,AK,2023-01-19,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
13,3.26719807666982,0.297683139260626,AK,2023-01-20,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0
14,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.249730411218562,0.264031658249858,AK,2023-01-22,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
16,1.23957277880949,0.3963328696821895,AK,2023-01-23,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
17,4.10053052974671,0.421456085131102,AK,2023-01-24,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1,1
18,2.75273421240087,0.436487967196054,AK,2023-01-25,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1
19,6.02325427905009,0.4256729825511305,AK,2023-01-26,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1
20,1.06138419430557,0.3345017036882555,AK,2023-01-27,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0
21,0.715778809363102,0.512796060277475,AK,2023-01-28,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
22,1.14715742117646,0.381625384542995,AK,2023-01-29,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
23,2.53863704747304,0.558756186276885,AK,2023-01-30,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
