...1,es_score,brier_score,location,target_date,X24B_50_CI,X24C_50_CI,X24E_50_CI,X24G_50_CI,other_50_CI,X24A_50_CI,X24B_95_CI,X24C_95_CI,X24E_95_CI,X24G_95_CI,other_95_CI,X24A_95_CI
1,NA,NA,AK,2024-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,AK,2024-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,AK,2024-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,AK,2024-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,AK,2024-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2024-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2024-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2024-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2024-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.652403869260476,0.457733199590209,AK,2024-07-02,1,1,1,0,1,1,1,1,1,1,1,1
11,NA,NA,AK,2024-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,AK,2024-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,AK,2024-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2024-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2024-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,AK,2024-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,AK,2024-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,AK,2024-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2024-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2024-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,AK,2024-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2024-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2024-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,AK,2024-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,AK,2024-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,AK,2024-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2024-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2024-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,AK,2024-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0.476164391265259,0.3365410718361435,AK,2024-07-22,1,1,1,1,1,1,1,0,1,1,0,1
31,NA,NA,AK,2024-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,NA,NA,AK,2024-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,NA,NA,AK,2024-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,NA,NA,AK,2024-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,NA,NA,AK,2024-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
