...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
47,NA,NA,AL,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0.00580905190060836,0.0042191476075937,AL,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,1.20264300986056,0.4629343249741425,AL,2023-03-25,1,0,1,1,1,0,1,1,0,1,1,1,0,1
50,NA,NA,AL,2023-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.0247817036081197,0.00479451033824277,AL,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,NA,NA,AL,2023-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2023-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0101556231314253,0.00782294761953335,AL,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,NA,NA,AL,2023-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0.0134125428174496,0.00937370041379725,AL,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,2.05920905046981,0.88728852559262,AL,2023-04-06,1,0,1,0,1,0,1,1,0,1,0,1,0,1
62,NA,NA,AL,2023-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0.0622177587660622,0.0126335963314898,AL,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,NA,NA,AL,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1.0973266496129,0.44100114938732,AL,2023-04-10,0,1,1,1,1,1,1,0,1,0,1,1,1,1
66,1.22094057494479,0.856788802841035,AL,2023-04-11,1,0,1,1,1,1,0,1,0,1,1,1,1,0
67,0.028137277838537,0.01958663813105545,AL,2023-04-12,1,1,1,1,1,1,1,1,0,0,1,1,1,1
68,NA,NA,AL,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0.0297520693091113,0.02470053381140615,AL,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,0.0352599785803877,0.02780002460697815,AL,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,NA,NA,AL,2023-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.0453729631875541,0.035320756364023403,AL,2023-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1
73,0.0509668425023626,0.0398492997331776,AL,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
74,0.0576148200387058,0.0449681231295188,AL,2023-04-19,1,1,1,1,1,1,1,1,0,0,1,1,1,1
75,NA,NA,AL,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,NA,NA,AL,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,0.153055596126309,0.1150355651146715,AL,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,NA,NA,AL,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,0.0411017554601503,0.00389202746635032,AR,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,0.463913158442355,0.0039316397368019,AR,2023-03-21,1,1,1,1,1,1,1,1,0,1,1,0,1,1
88,1.36989690700512,0.003998635829325005,AR,2023-03-22,1,0,1,1,1,1,1,1,0,1,1,0,1,0
89,0.0210081901131184,0.00409400217850433,AR,2023-03-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,0.023175494212655,0.0042191476075937,AR,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,NA,NA,AR,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1.18988404742638,0.4606756336132665,AR,2023-03-26,1,0,1,0,1,1,1,1,0,1,0,1,1,1
93,0.0069973448428432,0.00479451033824277,AR,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,2.07975221154178,0.304844169739763,AR,2023-03-28,1,0,1,1,1,1,0,1,0,1,1,1,1,0
95,0.7025299006935,0.0053757955800332,AR,2023-03-29,1,1,1,1,1,1,1,1,0,1,0,0,1,1
96,0.0287205318231957,0.00573862370214195,AR,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,0.00779834126104385,0.00615720089135915,AR,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98,0.00945560156156217,0.00663848667746625,AR,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99,0.037001765258902,0.00719059453330005,AR,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,0.0114836828009087,0.00782294761953335,AR,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,0.436560868640542,0.00854645377951855,AR,2023-04-04,1,1,1,1,1,1,1,1,0,1,1,0,1,1
102,0.225345666203225,0.00937370041379725,AR,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,0.0144594851156094,0.01031916933788355,AR,2023-04-06,1,1,1,1,1,1,1,1,0,1,1,0,1,1
104,1.12623877978389,0.4463729734337365,AR,2023-04-07,1,0,1,0,1,1,1,1,1,1,0,0,1,1
105,NA,NA,AR,2023-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,0.0661859274672894,0.01404318357256625,AR,2023-04-09,1,1,1,1,1,1,1,1,0,1,1,1,1,0
107,0.150017463810203,0.01565279503311365,AR,2023-04-10,1,1,1,1,1,1,1,1,0,0,1,1,1,1
108,0.0227300888583634,0.0174901976586833,AR,2023-04-11,1,1,1,1,1,1,1,1,0,1,1,0,1,1
109,0.0877227390369104,0.01958663813105545,AR,2023-04-12,1,1,1,1,1,1,1,1,0,1,1,0,1,1
110,NA,NA,AR,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2023-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,0.841638557789471,0.39273655253277,AR,2023-04-16,1,1,1,1,0,1,1,1,0,1,1,0,1,1
114,0.152989315379519,0.035320756364023403,AR,2023-04-17,1,1,1,1,1,1,1,1,0,0,1,1,1,1
115,NA,NA,AR,2023-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.0773495904628784,0.057231412931029,AR,2023-04-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
119,0.460452881870648,0.06450930655278,AR,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
120,0.0889098246651494,0.072642315699359,AR,2023-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
121,0.100988778260055,0.0816982018649325,AR,2023-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,NA,NA,AR,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.39780400899265,0.176740500228915,AZ,2023-03-19,0,0,1,0,1,1,0,0,0,1,0,1,1,0
128,2.29608625882802,0.0918982568489255,AZ,2023-03-20,1,1,1,1,1,1,0,1,0,1,0,0,1,0
129,1.6092663487203,0.173066177257556,AZ,2023-03-21,0,0,1,1,1,1,1,0,0,1,1,1,1,0
130,1.07242555755801,0.099704499730841,AZ,2023-03-22,0,1,1,1,1,1,1,0,1,1,1,0,1,1
131,0.779845613712425,0.1168412905207205,AZ,2023-03-23,1,1,1,1,1,1,0,1,1,1,1,1,1,1
132,0.157458725071737,0.0042191476075937,AZ,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,0.00694581090083007,0.00437593984029121,AZ,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
134,1.13662305797145,0.1053697285557695,AZ,2023-03-26,0,1,1,1,1,1,0,0,1,1,1,0,1,0
135,1.775041767328,0.1136304184279755,AZ,2023-03-27,1,1,1,1,1,0,0,0,0,0,1,0,0,0
136,2.00963544811189,0.0474210212226713,AZ,2023-03-28,0,1,1,1,0,0,1,0,1,0,1,0,0,1
137,0.627765707135426,0.0053757955800332,AZ,2023-03-29,1,1,1,1,1,1,1,1,0,1,0,1,1,1
138,1.8188810760099,0.2275580919521635,AZ,2023-03-30,1,0,1,0,1,1,0,1,0,1,0,0,1,1
139,0.030560522037083,0.00615720089135915,AZ,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
140,1.06031232718442,0.303622683707916,AZ,2023-04-01,1,1,1,1,1,1,0,1,1,1,1,0,1,0
141,0.614756543723625,0.148441210674904,AZ,2023-04-02,1,1,1,1,1,1,1,1,0,1,1,0,1,1
142,0.864929798676464,0.052788164726541,AZ,2023-04-03,1,1,1,1,1,1,1,1,1,0,1,0,1,1
143,1.78150456928863,0.1723792286715575,AZ,2023-04-04,1,0,1,1,1,0,0,1,0,0,1,1,0,0
144,1.10235476722038,0.083855621920648,AZ,2023-04-05,1,1,1,1,1,1,0,1,0,0,1,1,1,0
145,0.161408995222583,0.01031916933788355,AZ,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
146,0.453330483632983,0.011399470986778,AZ,2023-04-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1
147,0.515404100416414,0.093316444992437,AZ,2023-04-08,1,1,1,1,1,1,1,1,0,0,1,0,1,1
148,0.78400212617033,0.1363721950295795,AZ,2023-04-09,1,1,1,1,1,1,1,1,0,0,1,1,1,1
149,1.14823194063522,0.136662070446823,AZ,2023-04-10,1,1,1,1,0,1,1,1,0,1,1,0,1,1
150,2.25928203109428,0.2121864426322475,AZ,2023-04-11,0,0,0,0,1,0,1,0,1,0,0,0,0,1
151,0.0903537328326322,0.01958663813105545,AZ,2023-04-12,1,1,1,1,1,1,1,1,0,1,1,1,1,0
152,0.567426599287904,0.0219771008325028,AZ,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,0.957315950417696,0.2956785918252195,AZ,2023-04-14,1,1,1,1,1,1,0,1,0,1,1,1,1,0
154,0.850180917694646,0.02780002460697815,AZ,2023-04-15,1,0,1,1,1,1,1,1,0,0,1,1,1,1
155,1.02135302481733,0.2407920783487795,AZ,2023-04-16,1,1,1,1,1,0,1,1,0,0,1,0,0,1
156,2.79340791467064,0.1199986470522065,AZ,2023-04-17,0,0,0,1,1,1,1,0,0,0,1,0,1,1
157,0.951706997021173,0.174200670661383,AZ,2023-04-18,1,1,1,1,1,1,1,1,0,1,1,0,1,1
158,4.72121023494818,0.075279372123001,AZ,2023-04-19,1,0,0,1,0,0,1,1,0,0,1,0,0,1
159,2.85044064633531,0.239528643592305,AZ,2023-04-20,1,1,0,0,0,0,1,1,0,0,0,0,0,1
160,0.891907285747609,0.59992746689865,AZ,2023-04-21,1,1,0,1,1,1,1,1,0,0,1,1,1,1
161,0.469064874439177,0.06450930655278,AZ,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1
162,4.7869245297756,0.109605109669501,AZ,2023-04-23,1,0,0,1,0,1,1,1,0,0,1,0,1,0
163,5.85033772924082,0.107692164055784,AZ,2023-04-24,1,0,0,1,1,1,1,0,0,0,1,1,1,1
164,5.74296564199625,0.1806630876026915,AZ,2023-04-25,1,0,0,1,1,0,1,1,0,0,1,0,0,1
165,9.39560459167097,0.156972882615882,AZ,2023-04-26,1,0,0,1,1,1,1,1,0,0,1,1,1,1
166,3.54289047546343,0.1566541694712055,AZ,2023-04-27,1,0,0,1,1,1,1,1,0,0,1,0,1,1
167,2.71140059398694,0.1283866961152065,AZ,2023-04-28,1,0,0,1,1,1,1,1,0,0,1,1,1,1
168,1.63624870432001,0.142926499186246,AZ,2023-04-29,1,0,0,1,1,1,1,1,0,0,1,1,1,1
169,6.49177635061192,0.175000696085275,CA,2023-03-19,1,0,1,1,1,0,0,0,0,0,0,0,0,0
170,1.54938959887356,0.0615118088769575,CA,2023-03-20,1,1,1,1,1,0,1,1,0,0,1,1,0,0
171,2.32486644097672,0.090304008731968,CA,2023-03-21,1,1,0,1,0,1,1,0,1,0,0,0,1,0
172,5.78502356779483,0.124132301324519,CA,2023-03-22,1,0,1,1,1,0,0,0,0,0,0,1,0,0
173,5.97883666339075,0.1377924875480875,CA,2023-03-23,0,0,1,1,0,0,1,0,0,0,0,0,0,0
174,4.93919698208119,0.1347456603045525,CA,2023-03-24,0,0,1,1,1,0,1,0,0,0,0,0,0,1
175,9.48622437043607,0.2391990463003565,CA,2023-03-25,0,0,0,0,1,0,0,0,0,0,1,0,0,0
176,6.27535499926174,0.1760889564876415,CA,2023-03-26,1,0,0,0,1,0,0,1,0,0,0,0,0,0
177,2.83717480262753,0.0976942192528385,CA,2023-03-27,0,1,0,1,1,0,1,0,0,0,1,1,0,0
178,1.49319821001879,0.0517315351858405,CA,2023-03-28,1,1,1,1,1,1,1,1,0,1,1,0,1,1
179,9.36264394108738,0.2042834522792605,CA,2023-03-29,0,0,0,1,1,0,0,0,0,0,0,0,0,0
180,1.3800467683386901,0.0705294508618765,CA,2023-03-30,0,1,1,1,1,1,1,0,0,0,1,0,1,1
181,2.67015765260933,0.1197166395496425,CA,2023-03-31,0,0,1,0,1,1,0,0,0,0,0,0,1,0
182,6.72284793900904,0.201777640790059,CA,2023-04-01,0,0,0,0,0,1,1,0,0,0,0,0,1,1
183,4.6454175236922,0.169470141783409,CA,2023-04-02,0,0,1,0,0,0,1,0,0,0,0,0,0,1
184,5.87576412562459,0.158243990701701,CA,2023-04-03,0,0,1,0,1,0,1,0,0,0,0,0,0,0
185,2.18268272694277,0.0813680584151985,CA,2023-04-04,0,1,0,0,1,1,1,0,0,0,0,0,1,0
186,5.82005254629851,0.1645836967525315,CA,2023-04-05,0,0,1,0,0,0,1,0,0,0,0,0,0,0
187,9.45710834486723,0.205624768639848,CA,2023-04-06,0,0,0,0,0,0,1,0,0,0,0,0,0,1
188,3.91689750427684,0.145983311835685,CA,2023-04-07,0,0,0,1,0,0,1,0,0,0,1,0,0,1
189,2.32128270132775,0.130495197992129,CA,2023-04-08,1,1,0,1,1,0,1,1,0,0,1,0,0,1
190,0.741662243801277,0.0710684646067715,CA,2023-04-09,1,1,1,1,1,1,1,0,0,0,0,1,1,1
191,9.89854337633437,0.1926867574319155,CA,2023-04-10,1,0,0,0,0,0,0,1,0,0,0,0,0,0
192,5.61801608499573,0.109105081336003,CA,2023-04-11,0,0,0,1,1,0,1,0,0,0,0,0,0,0
193,7.6629673293835,0.212596713631181,CA,2023-04-12,0,0,1,1,0,0,0,0,0,1,1,0,0,0
194,3.87533961978931,0.1452296588300165,CA,2023-04-13,0,1,0,1,1,0,1,0,0,0,1,0,0,1
195,7.70399659123849,0.08306542042555,CA,2023-04-14,1,0,0,1,0,0,1,1,0,0,1,0,0,1
196,3.80406023149482,0.149742935245207,CA,2023-04-15,0,1,0,0,0,1,0,0,0,0,0,0,1,0
197,4.55548491009506,0.1547573924889015,CA,2023-04-16,0,1,0,0,0,1,1,0,1,0,0,0,1,1
198,7.07380174295822,0.153822862655575,CA,2023-04-17,0,0,0,0,1,0,1,0,1,0,1,0,0,1
199,5.46523778553507,0.138325235896879,CA,2023-04-18,1,0,0,0,1,0,1,1,0,0,0,0,0,1
200,5.95594755453806,0.219418445415403,CA,2023-04-19,1,1,0,1,0,0,1,1,0,0,1,0,0,1
201,4.52665904136112,0.2129034247435595,CA,2023-04-20,0,1,0,1,1,0,0,0,0,0,1,0,0,1
202,9.10829120040218,0.1051134069229295,CA,2023-04-21,0,0,0,1,0,0,1,0,0,0,1,0,0,1
203,4.89355699937905,0.3173030703235115,CA,2023-04-22,1,0,0,0,1,0,0,1,0,0,0,0,0,0
204,0.745937938520659,0.2440812809527275,CA,2023-04-23,1,1,1,1,1,1,1,1,0,0,1,1,1,1
205,3.93664653200611,0.174818650448106,CA,2023-04-24,1,0,0,0,0,0,1,1,0,1,0,0,0,1
206,13.5683917784531,0.2645695806522515,CA,2023-04-25,0,1,0,1,0,0,1,0,0,0,0,0,0,0
207,19.7141014340228,0.188155658075178,CA,2023-04-26,0,0,0,1,1,0,1,0,0,0,0,0,0,1
208,17.6419330473634,0.2085718624614985,CA,2023-04-27,0,0,0,1,1,0,1,0,0,0,1,0,0,1
209,13.2300658072803,0.222134941452172,CA,2023-04-28,0,0,0,1,1,0,0,1,0,0,1,0,0,0
210,10.8434347040803,0.305482432496788,CA,2023-04-29,0,1,0,1,0,0,0,0,1,0,1,0,0,0
211,0.824917376429492,0.153589246675259,CO,2023-03-19,1,1,1,1,1,1,0,1,1,1,1,0,1,0
212,0.45010087229513,0.00389202746635032,CO,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
213,0.830692984929232,0.1177584849984625,CO,2023-03-21,1,1,0,1,1,1,1,0,0,0,1,1,1,1
214,4.62899013351327,0.50154050496721,CO,2023-03-22,0,0,1,1,0,1,0,0,0,1,1,0,1,0
215,0.621090498510305,0.114656088528,CO,2023-03-23,1,1,1,1,1,1,1,1,1,1,1,0,1,0
216,0.158204123404048,0.0042191476075937,CO,2023-03-24,1,1,1,1,1,1,1,1,0,1,1,0,1,1
217,0.00637753746687379,0.00437593984029121,CO,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,0.787763090195218,0.1799256657380985,CO,2023-03-26,1,1,1,1,0,1,1,1,1,1,1,1,1,1
219,0.177527807342995,0.00479451033824277,CO,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,0.138524523419113,0.0050627734610632,CO,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,0.193419335457589,0.0053757955800332,CO,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
222,0.145408478321763,0.00573862370214195,CO,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,NA,NA,CO,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,0.00923748740463148,0.00663848667746625,CO,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
225,NA,NA,CO,2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,0.61148316802317,0.1481289501962275,CO,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1
227,0.0418699864700628,0.00854645377951855,CO,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,0.012694688013789,0.00937370041379725,CO,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229,0.323720660011728,0.01031916933788355,CO,2023-04-06,1,1,1,1,1,1,1,1,0,0,1,1,1,1
230,NA,NA,CO,2023-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,0.0179167988632801,0.0126335963314898,CO,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,0.0193039443760266,0.01404318357256625,CO,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
233,0.0195870557885839,0.01565279503311365,CO,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1
234,0.91157033638126606,0.186064564045718,CO,2023-04-11,0,1,1,1,1,1,1,0,1,1,1,0,1,1
235,0.176704702308453,0.01958663813105545,CO,2023-04-12,1,1,1,1,1,1,1,1,0,0,1,0,1,1
236,0.306270810016963,0.0219771008325028,CO,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
237,1.00183238861518,0.126317305566586,CO,2023-04-14,1,1,1,1,1,1,0,1,0,0,1,0,1,0
