...1,es_score,brier_score,location,target_date,X21L_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_50_CI,X21L_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22B_95_CI
1,0.316267862016238,0.2192469643478135,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
2,0.794414174483821,0.245020547700102,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
3,2.92560479448679,0.285178273515958,AK,2023-01-17,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,1
4,2.70481476340032,0.316390309971937,AK,2023-01-18,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0
5,0.380772908398168,0.2432283894236735,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
6,3.0524897801559,0.284507404723129,AK,2023-01-20,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
7,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.240364538647741,0.260199712831643,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
9,1.18577795820977,0.3690988809753195,AK,2023-01-23,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1
10,3.88752583610342,0.4005846317563575,AK,2023-01-24,1,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1
11,2.83585015631188,0.4228941774462955,AK,2023-01-25,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1
12,5.72768427089313,0.39945379229808,AK,2023-01-26,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1
13,0.969956924181484,0.3287872541217425,AK,2023-01-27,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
14,0.673506410342686,0.4791156127531545,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
15,1.06497956620658,0.363216659819078,AK,2023-01-29,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
16,2.45715454786918,0.52352287769367,AK,2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
17,1.08957915236181,0.2735547845487175,AK,2023-01-31,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
18,0.266450018377472,0.062105966507955,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,1.11135227318442,0.232945375334165,AK,2023-02-02,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1
20,1.08974177386363,0.3748918940366475,AK,2023-02-03,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
21,2.75688804890493,0.3783035828098635,AK,2023-02-04,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
22,0.339631676182122,0.0383935511382961,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
23,1.27906173739725,0.07918671760273,AK,2023-02-06,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
24,1.00889492705924,0.2730826818320635,AK,2023-02-07,1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1
25,1.46243824034621,0.2973228306272335,AK,2023-02-08,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1
26,0.737034760107193,0.372462894524247,AK,2023-02-09,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
27,0.690040519892883,0.0201300259514667,AK,2023-02-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.339715323211159,0.140367135485183,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
29,0.247517376927184,0.01537332473052595,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,3.6954319139087,0.3427082912656185,AK,2023-02-13,1,0,0,1,0,1,1,1,1,0,0,1,0,1,1,1
31,1.43258119071858,0.273517872369314,AK,2023-02-14,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
