...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,other_95_CI,X22E_95_CI
48,0.00491451939845505,0.00398712858291758,AL,2023-03-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,NA,NA,AL,2023-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,NA,NA,AL,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1.21565413949625,0.4631414132109775,AL,2023-03-20,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1
52,NA,NA,AL,2023-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0.00599787769415622,0.004387469266720115,AL,2023-03-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,NA,NA,AL,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0.0068214591018577,0.004812774521115045,AL,2023-03-24,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
56,1.1954723529281,0.46020991919985,AL,2023-03-25,1,0,1,1,1,1,0,1,1,0,1,1,1,1,0,1
57,NA,NA,AL,2023-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0295164391168413,0.00584333556810815,AL,2023-03-27,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
59,NA,NA,AL,2023-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2023-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,NA,NA,AL,2023-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,NA,NA,AL,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.0145913322443779,0.0115323658634498,AL,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2023-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0.0214950702967679,0.01469167313412645,AL,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,1.97678173757343,0.861426569839805,AL,2023-04-06,1,0,1,0,1,1,0,1,1,0,1,0,1,1,0,1
69,NA,NA,AL,2023-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0.105473108402061,0.0217360029897763,AL,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,NA,NA,AL,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1.02738712000495,0.429374578072592,AL,2023-04-10,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
73,1.16887898963091,0.818196228722925,AL,2023-04-11,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
74,0.0544032683200467,0.037888967875498,AL,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
75,NA,NA,AL,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0.0714207546639331,0.0502809305131745,AL,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
77,0.078324492724175,0.057890248791752,AL,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
78,NA,NA,AL,2023-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.107905215959795,0.076455433787308,AL,2023-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,0.123022338692799,0.087615997313408,AL,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81,0.147840174501206,0.1001551681447275,AL,2023-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,NA,NA,AL,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1.24511280815533,0.886806407195445,AR,2023-03-12,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
86,0.0224871122295363,0.004240230037677,AR,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,1.05076956363218,0.232507993499925,AR,2023-03-14,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
88,0.0200032542617065,0.00405154409338309,AR,2023-03-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,0.0201956595995009,0.00400401065984823,AR,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,0.876101540749732,0.182998237485481,AR,2023-03-17,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
91,1.16440867643708,0.452240586110558,AR,2023-03-18,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0
92,NA,NA,AR,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0.0473613728153244,0.004124738174178825,AR,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
94,0.471346640624734,0.004237541696251065,AR,2023-03-21,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
95,1.39721497478588,0.004387469266720115,AR,2023-03-22,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1
96,0.0241375786022694,0.004577819835820255,AR,2023-03-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,0.0262655186358269,0.004812774521115045,AR,2023-03-24,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
98,NA,NA,AR,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1.18405256324932,0.457657852302651,AR,2023-03-26,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
100,0.00745526719281449,0.00584333556810815,AR,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,2.02737116359958,0.3027628323255275,AR,2023-03-28,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0
102,0.812190726213319,0.00688414566948335,AR,2023-03-29,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
103,0.0373804505510483,0.0075447214668456,AR,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,0.0113450757288377,0.00831916654903705,AR,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
105,0.0134127973740783,0.00922638747910015,AR,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,0.0531738822255745,0.01028870541558275,AR,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
107,0.0158763856799072,0.0115323658634498,AR,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
108,0.59900743765534,0.0129880922545506,AR,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,0.318604547460287,0.01469167313412645,AR,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,0.0246442410533007,0.0166845662905735,AR,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
111,1.07202485849567,0.4361115252888325,AR,2023-04-07,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1
112,NA,NA,AR,2023-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,0.11133673552285,0.02491092028666485,AR,2023-04-09,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
114,0.262101501658261,0.02860868774380235,AR,2023-04-10,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
115,0.0492752450932968,0.0329064679267255,AR,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
116,0.171472845536571,0.037888967875498,AR,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,NA,NA,AR,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2023-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,0.817213702868884,0.38824555480704,AR,2023-04-16,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1
121,0.328096144012368,0.076455433787308,AR,2023-04-17,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
122,NA,NA,AR,2023-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.181965671015573,0.129679711300238,AR,2023-04-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,0.967562044927918,0.146776403130594,AR,2023-04-22,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,0.587367763223915,0.072663645891003,AZ,2023-03-12,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1
128,3.75124072668259,0.1545844210133365,AZ,2023-03-13,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0
129,0.808123098394967,0.080285614817739,AZ,2023-03-14,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
130,1.11853305418883,0.116492578179025,AZ,2023-03-15,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1
131,0.393197414515471,0.00400401065984823,AZ,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132,2.0108249020936,0.606291309113535,AZ,2023-03-17,0,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1
133,2.38726788120621,0.60165375692668,AZ,2023-03-18,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0
