...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,X23H_50_CI,other_50_CI,X23B_50_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,X23H_95_CI,other_95_CI,X23B_95_CI
78,NA,NA,AL,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.194407101651366,0.1424553510409465,AL,2023-11-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80,NA,NA,AL,2023-11-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,NA,NA,AL,2023-11-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,0.196405936958296,0.140925478690508,AL,2023-11-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
83,NA,NA,AL,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,3.43701071899731,0.399467616295509,AR,2023-10-02,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0
87,1.96989536093533,0.402488060972797,AR,2023-10-03,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0
88,1.98819480490529,0.4828789578561155,AR,2023-10-04,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,1
89,3.86732805884822,0.4075349813104935,AR,2023-10-05,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,0
90,0.584057996519447,0.4117399197766755,AR,2023-10-06,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
91,0.595090191656203,0.4148823139996965,AR,2023-10-07,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
92,0.58169906000247,0.4180512776662405,AR,2023-10-08,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
93,2.0082981964955,0.421245151773782,AR,2023-10-09,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
94,2.04641422813584,0.42446223383241,AR,2023-10-10,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0,1,1,1,0
95,2.40048967275519,0.380708809602259,AR,2023-10-11,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0
96,0.915961644699059,0.3152624179130245,AR,2023-10-12,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1
97,2.92413617757948,0.46291544842667,AR,2023-10-13,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,0
98,NA,NA,AR,2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,4.5558647321294,0.4640516721996565,AR,2023-10-16,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0
101,0.714767010233329,0.499623858789654,AR,2023-10-17,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
102,NA,NA,AR,2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,2.92987279302648,0.4541607589909815,AR,2023-10-19,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0
104,0.648358497031369,0.4575084182545235,AR,2023-10-20,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0
105,0.645448950617971,0.460858436591819,AR,2023-10-21,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
106,NA,NA,AR,2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,3.52411786928277,0.539192335669155,AR,2023-10-23,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0
108,0.221987787503365,0.160578895106687,AR,2023-10-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,1.16082131799559,0.56007137494753,AR,2023-10-25,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
110,NA,NA,AR,2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.486254817656805,0.317920389518583,AR,2023-10-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
112,NA,NA,AR,2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.764074131746318,0.532285483268215,AR,2023-10-30,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
115,NA,NA,AR,2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,0.900807454874734,0.64135629340351,AR,2023-11-01,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
117,NA,NA,AR,2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.761973770046607,0.542056347538575,AR,2023-11-03,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
119,NA,NA,AR,2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1.64236520827267,0.3437365212610245,AR,2023-11-06,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1
122,0.779521742052073,0.551544647940795,AR,2023-11-07,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
123,0.744355115653794,0.519449992487785,AR,2023-11-08,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
124,NA,NA,AR,2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-11-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,7.77147907352232,0.392727221452598,AZ,2023-10-01,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,1,0
128,8.66690367896701,0.421387393655014,AZ,2023-10-02,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0
129,1.2014880012184601,0.3273916923171905,AZ,2023-10-03,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
130,2.62357470764692,0.4755350762029085,AZ,2023-10-04,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,1
131,2.22320162358854,0.3739458202689695,AZ,2023-10-05,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0
132,2.24104526464732,0.402155142636424,AZ,2023-10-06,1,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,0
133,1.40911702538749,0.544682341490955,AZ,2023-10-07,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0
134,3.28340913075934,0.36452527221362,AZ,2023-10-08,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0
135,2.58247912599604,0.3548945635623815,AZ,2023-10-09,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0
136,2.52853092922424,0.3625661337782665,AZ,2023-10-10,1,0,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0
137,0.973399605099384,0.3197400455894555,AZ,2023-10-11,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0
138,0.613106848146565,0.4309590055907245,AZ,2023-10-12,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
139,1.27669906464724,0.609667259198275,AZ,2023-10-13,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1
140,1.15134685280377,0.338252243057993,AZ,2023-10-14,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
141,2.16668954224778,0.4140736798496265,AZ,2023-10-15,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0
142,2.54832665799888,0.343382916428414,AZ,2023-10-16,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1
143,2.48673723786052,0.390561884178148,AZ,2023-10-17,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
144,2.61489208161915,0.41429992350259,AZ,2023-10-18,1,0,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,0
145,3.4188607024468,0.43158617535115,AZ,2023-10-19,0,1,1,0,1,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0
146,1.20741548967926,0.3028731406516765,AZ,2023-10-20,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0
147,1.63830536011309,0.3152762984044205,AZ,2023-10-21,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
148,2.36846422013765,0.3348927609674895,AZ,2023-10-22,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
149,5.52274161500716,0.385101793036239,AZ,2023-10-23,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
150,2.6190005331104,0.2952346925845955,AZ,2023-10-24,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0
151,1.20144290736065,0.324926775408585,AZ,2023-10-25,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0
152,0.232136226457153,0.1567352677481385,AZ,2023-10-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
153,0.988543983019747,0.317920389518583,AZ,2023-10-27,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
154,1.8500486886474,0.4556513115800195,AZ,2023-10-28,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0
155,1.77002717921561,0.3275662499095305,AZ,2023-10-29,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0
156,2.62689486268307,0.366635592929046,AZ,2023-10-30,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
157,2.36960599061577,0.3642663216736505,AZ,2023-10-31,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
158,1.51693543819153,0.334317208748124,AZ,2023-11-01,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
159,2.37906326271061,0.351365848346461,AZ,2023-11-02,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0
160,1.93506006166142,0.4028837646104275,AZ,2023-11-03,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0
161,0.919861735111771,0.3913454683490175,AZ,2023-11-04,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0
162,3.28062215037712,0.3818258259528145,AZ,2023-11-05,1,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
163,3.32312112014393,0.3530626576873445,AZ,2023-11-06,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0
164,1.8113101013674,0.318977442789941,AZ,2023-11-07,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0
165,3.05712247338394,0.386660917842935,AZ,2023-11-08,0,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1
166,1.47988453836454,0.3604476691236965,AZ,2023-11-09,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0,1
167,1.89087751338101,0.401009298180211,AZ,2023-11-10,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0
168,1.57283295720194,0.3598193123263605,AZ,2023-11-11,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0
169,1.07629177215318,0.3924053950405365,CA,2023-10-01,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1
170,3.48530011057665,0.3390269711416155,CA,2023-10-02,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
171,3.7524246257685,0.3535675363605465,CA,2023-10-03,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0
172,5.06066674206865,0.346328732479593,CA,2023-10-04,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
173,4.80165284388086,0.427275516972472,CA,2023-10-05,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0
174,2.40172663821186,0.4093569630268505,CA,2023-10-06,1,0,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0
175,1.88465488698647,0.2497781353297515,CA,2023-10-07,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1
176,0.71964278182141606,0.300108543744359,CA,2023-10-08,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0
177,2.08750976928002,0.343856648364145,CA,2023-10-09,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
178,3.31208674875276,0.388652743560869,CA,2023-10-10,1,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0
179,2.98842205659813,0.375961727078849,CA,2023-10-11,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0
180,1.61355343375371,0.3333390618313115,CA,2023-10-12,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0
181,2.37770068656198,0.3788848359471355,CA,2023-10-13,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1
182,1.42691483646625,0.3614476719711065,CA,2023-10-14,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0
183,1.87683599741779,0.423509791089665,CA,2023-10-15,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0
184,3.49866904818586,0.3549196542337855,CA,2023-10-16,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
185,1.8464254119762,0.3519261448968685,CA,2023-10-17,1,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1
186,5.28991725963942,0.4123890531859215,CA,2023-10-18,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
187,2.07188096563609,0.381677956255595,CA,2023-10-19,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
