...1,es_score,brier_score,location,target_date,X23H_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23H_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI
81,NA,NA,AL,2024-03-20,NA,NA,NA,NA,NA,NA,NA,NA
82,NA,NA,AL,2024-03-21,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2024-03-22,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-03-23,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2024-02-11,NA,NA,NA,NA,NA,NA,NA,NA
86,5.9534148476521e-4,4.65494743656585e-4,AR,2024-02-12,1,1,1,1,1,1,1,1
87,1.3034540701468,0.480621742221231,AR,2024-02-13,1,0,1,0,1,0,1,0
88,0.00235349389539397,3.57644872432915e-4,AR,2024-02-14,1,1,1,1,1,1,1,1
89,NA,NA,AR,2024-02-15,NA,NA,NA,NA,NA,NA,NA,NA
90,NA,NA,AR,2024-02-16,NA,NA,NA,NA,NA,NA,NA,NA
91,NA,NA,AR,2024-02-17,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-02-18,NA,NA,NA,NA,NA,NA,NA,NA
93,0.00148468382738637,1.8528717798681e-4,AR,2024-02-19,1,1,1,1,1,1,1,1
94,9.5032107501684e-4,1.62510003519615e-4,AR,2024-02-20,1,1,1,1,1,1,1,1
95,NA,NA,AR,2024-02-21,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,AR,2024-02-22,NA,NA,NA,NA,NA,NA,NA,NA
97,NA,NA,AR,2024-02-23,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2024-02-24,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-02-25,NA,NA,NA,NA,NA,NA,NA,NA
100,5.0158796253541e-4,7.426222194733e-5,AR,2024-02-26,1,1,1,1,1,1,1,1
