...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,other_50_CI,X22C_50_CI,X22A_95_CI,X22B_95_CI,other_95_CI,X22C_95_CI
1,2.24241528163628,0.01778301023287085,AK,2022-07-31,0,0,1,1,1,1,1,1
2,1.84709221924823,0.103131589274403,AK,2022-08-01,0,1,1,0,1,0,1,0
3,0.523960439920234,0.0737089847347895,AK,2022-08-02,1,1,1,1,0,0,1,1
4,0.684641837512301,0.0152699768660232,AK,2022-08-03,1,1,1,1,0,0,1,1
5,0.682819151119875,0.152912882884972,AK,2022-08-04,1,1,1,1,0,0,1,1
6,1.17779881308697,0.1671651569306225,AK,2022-08-05,0,1,1,1,0,0,1,1
7,0.506486383393435,0.013179105423774,AK,2022-08-06,1,1,1,1,1,1,1,1
8,0.493828985632056,0.01255979610160505,AK,2022-08-07,1,1,1,1,1,1,1,1
9,0.464035280063199,0.094329371927746,AK,2022-08-08,1,1,1,1,1,1,1,1
10,0.630665021669172,0.087613525485129,AK,2022-08-09,1,1,1,1,0,0,1,1
11,1.74292275757231,0.01089713558152855,AK,2022-08-10,0,0,1,1,0,0,1,1
12,0.415180603156872,0.143204721978751,AK,2022-08-11,1,1,1,1,1,1,1,1
13,0.417570115566948,0.0099297846309103,AK,2022-08-12,1,1,1,1,0,0,1,1
14,0.89645259509591,0.155997317851707,AK,2022-08-13,1,1,1,1,0,0,1,1
15,0.515230451422329,0.171089785769903,AK,2022-08-14,1,1,1,1,0,0,1,1
16,0.533612029445216,0.0086551862093579,AK,2022-08-15,1,1,1,1,1,1,1,1
17,0.323609145200409,0.099214024536829,AK,2022-08-16,1,1,1,1,0,0,1,1
18,0.993761328982562,0.089899290009971,AK,2022-08-17,1,1,1,0,1,0,1,0
19,0.0833448243434476,0.0075591604435951,AK,2022-08-18,1,1,1,1,0,0,1,1
20,0.3109226489749,0.090248681646217,AK,2022-08-19,1,1,1,1,1,1,1,1
21,0.991981220990139,0.423874253094503,AK,2022-08-20,0,0,1,1,0,0,1,1
22,0.23665175480472,0.0066120156356273,AK,2022-08-21,1,1,1,1,1,1,1,1
23,1.74833621016654,0.2866894931088615,AK,2022-08-22,0,0,1,1,0,0,1,0
24,0.00889360724395515,0.00605149964769045,AK,2022-08-23,1,1,1,1,1,1,1,1
25,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA
26,0.0275971595359063,0.00554086040973185,AK,2022-08-25,1,1,1,1,1,1,1,1
27,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA
28,0.026673230909345,0.005075083036928,AK,2022-08-27,1,1,1,1,1,1,1,1
29,0.0248649894855917,0.00485762427554707,AK,2022-08-28,1,1,1,1,1,1,1,1
30,0.0484046388202006,0.00464977804516492,AK,2022-08-29,1,1,1,1,1,1,1,1
31,0.0255453123414509,0.00445107702786081,AK,2022-08-30,1,1,1,1,1,1,1,1
32,0.734162010596493,0.178158328001162,AK,2022-08-31,1,1,1,1,0,0,1,1
33,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA,NA,NA
34,0.00524205126633084,0.00390557487923092,AK,2022-09-02,1,1,1,1,1,1,1,1
35,NA,NA,AK,2022-09-03,NA,NA,NA,NA,NA,NA,NA,NA
36,0.0058781928093366,0.003580218451198545,AK,2022-09-04,1,1,1,1,0,0,1,1
37,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA
38,0.0378866229505996,0.003282298593420805,AK,2022-09-06,1,1,1,1,1,1,1,1
39,0.00511793988476301,0.003142857347383895,AK,2022-09-07,1,1,1,1,1,1,1,1
40,NA,NA,AK,2022-09-08,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-09-09,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-09-10,NA,NA,NA,NA,NA,NA,NA,NA
43,1.52254616382506,0.2188285795183275,AL,2022-07-31,0,0,1,1,0,0,1,1
44,0.752793733601488,0.1221631111374535,AL,2022-08-01,1,1,1,1,1,0,1,0
45,2.12296984260923,0.1925571658815475,AL,2022-08-02,0,0,1,1,1,0,1,0
46,0.488800816124258,0.109692989571815,AL,2022-08-03,1,1,1,1,1,1,1,1
47,3.37011372025835,0.252374800678515,AL,2022-08-04,0,0,1,1,0,0,1,1
48,4.69780919206556,0.2374413796641035,AL,2022-08-05,0,0,1,1,0,0,1,0
49,4.16423414882066,0.2153268838721715,AL,2022-08-06,0,0,1,1,0,0,1,0
50,1.03486261860887,0.149726589405607,AL,2022-08-07,1,1,1,1,1,1,1,1
51,2.22774003735759,0.168448655505585,AL,2022-08-08,0,0,1,1,0,0,1,1
52,0.877928630510994,0.0114211271965857,AL,2022-08-09,1,1,1,1,0,0,1,1
53,2.63368973307509,0.183101003018237,AL,2022-08-10,0,0,1,1,1,0,1,0
54,0.503525779169126,0.169765540157671,AL,2022-08-11,1,1,1,1,0,0,1,1
55,6.53405389531381,0.3399125619077175,AL,2022-08-12,0,0,1,1,0,0,1,1
56,0.293035226259108,0.090065841460457,AL,2022-08-13,1,1,1,1,0,0,1,1
57,0.320751304123698,0.071378241680733,AL,2022-08-14,1,1,1,1,1,1,1,1
58,5.76748455426652,0.256507669137499,AL,2022-08-15,0,0,1,1,0,0,1,0
59,1.37112617794885,0.1527095575429945,AL,2022-08-16,0,0,1,1,0,0,1,1
60,1.53849197106269,0.1781039743590105,AL,2022-08-17,1,0,0,1,0,0,0,1
61,7.41508156587662,0.2950007018930695,AL,2022-08-18,0,0,1,1,0,0,1,1
62,4.42974715487995,0.2839632024153375,AL,2022-08-19,0,0,1,1,0,0,1,0
63,0.609231263554266,0.00691274550459745,AL,2022-08-20,1,1,1,1,0,0,1,1
64,0.499365077549736,0.0066120156356273,AL,2022-08-21,1,1,1,1,0,0,1,1
65,1.66155144802899,0.1264813153258365,AL,2022-08-22,0,0,1,1,0,0,1,1
66,6.60743977226982,0.287568389456635,AL,2022-08-23,0,0,1,1,0,0,1,1
67,0.289272252407173,0.062318753579071,AL,2022-08-24,1,1,1,1,0,0,1,1
68,0.290791454950731,0.066342645808058,AL,2022-08-25,1,1,1,1,0,0,1,1
69,1.71928465865403,0.1699670607327605,AL,2022-08-26,1,0,0,1,0,0,0,1
70,1.36554103128886,0.122019724416054,AL,2022-08-27,0,0,1,1,0,0,1,0
71,0.994508933988361,0.1278104434701845,AL,2022-08-28,0,1,1,1,0,0,1,1
72,0.60386980919738,0.0489408391054019,AL,2022-08-29,1,1,1,1,0,0,1,1
73,2.5716125480105,0.181056111145614,AL,2022-08-30,0,0,0,1,0,0,0,1
74,3.5653036657601,0.236124076800875,AL,2022-08-31,0,0,1,1,0,0,1,1
75,0.312761732814199,0.0711789566583685,AL,2022-09-01,1,1,1,1,1,1,1,1
76,0.374430809282635,0.0834547120845955,AL,2022-09-02,1,1,1,1,0,0,1,1
77,2.61929437499702,0.223170765045277,AL,2022-09-03,0,0,1,1,0,0,1,1
78,0.327063168003587,0.003580218451198545,AL,2022-09-04,1,1,1,1,1,1,1,1
79,NA,NA,AL,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA
80,1.57202018027212,0.1803690080508965,AL,2022-09-06,0,0,1,1,0,0,1,1
81,0.45036375555561,0.091932015367783,AL,2022-09-07,1,1,1,1,0,0,1,1
82,3.64498954566832,0.212490869837628,AL,2022-09-08,0,0,1,1,0,0,1,1
83,0.727579276642802,0.1516564545971885,AL,2022-09-09,1,1,1,1,0,0,1,1
84,1.14019120370267,0.4502348307934855,AL,2022-09-10,0,0,1,1,1,1,1,1
85,0.778902143722924,0.0879893995071575,AR,2022-07-31,1,1,1,1,0,0,1,1
86,3.650772389345,0.078415662668982,AR,2022-08-01,0,0,1,1,0,0,1,0
87,3.4416644547886,0.059295616903848,AR,2022-08-02,0,0,1,1,0,0,0,0
88,4.59725045905211,0.058434782674385,AR,2022-08-03,0,0,1,0,0,0,1,0
89,2.6113589147411,0.162522730014783,AR,2022-08-04,0,0,1,1,0,0,1,1
90,1.04444720286763,0.1109512129527975,AR,2022-08-05,1,1,0,1,0,1,0,1
91,2.49409678663343,0.3440535597613605,AR,2022-08-06,0,0,1,1,0,0,1,1
92,0.846431291387324,0.07013598094526,AR,2022-08-07,1,1,1,1,0,0,1,1
93,2.74913216761755,0.18639315083969,AR,2022-08-08,1,0,0,0,0,0,0,0
94,0.743096958872786,0.1040471800179525,AR,2022-08-09,1,1,1,1,1,1,1,1
95,2.4273606749959,0.1515153313615725,AR,2022-08-10,1,0,0,0,0,1,0,0
96,1.87435196146035,0.139532872647729,AR,2022-08-11,1,1,0,1,1,0,0,1
97,0.449874962693926,0.0900684591124205,AR,2022-08-12,1,1,1,1,0,0,1,1
98,2.56653712000036,0.210940214844416,AR,2022-08-13,0,0,1,1,0,1,1,0
99,0.161661358204117,0.00905852662500185,AR,2022-08-14,1,1,1,1,1,1,1,1
100,2.67669439162182,0.138002898265909,AR,2022-08-15,0,0,1,1,0,0,1,0
101,2.39089851503896,0.0082716184263476,AR,2022-08-16,0,0,1,1,0,0,1,1
102,0.744402318849992,0.0436669778779539,AR,2022-08-17,1,1,1,1,0,0,1,1
103,0.493449048630549,0.066587334134112,AR,2022-08-18,1,1,1,1,1,1,1,1
104,2.09785384490868,0.2645057181582255,AR,2022-08-19,0,0,0,1,0,0,0,1
105,0.850039396412941,0.00691274550459745,AR,2022-08-20,1,1,1,1,0,0,1,1
106,1.74742794186613,0.191724839043534,AR,2022-08-21,1,0,0,1,1,0,0,1
107,4.59870793941695,0.1927313528744345,AR,2022-08-22,0,0,0,1,0,0,0,1
108,1.41099482506605,0.0405229555426632,AR,2022-08-23,1,0,1,1,1,1,1,1
109,2.13140780910738,0.1154945361568315,AR,2022-08-24,1,0,0,1,0,0,0,0
110,2.34105556529861,0.1408187110336095,AR,2022-08-25,0,0,0,1,0,0,0,1
111,0.430112071094266,0.071029306923102,AR,2022-08-26,1,1,1,1,0,0,1,1
112,0.48402560013553,0.0423617802882435,AR,2022-08-27,1,1,1,1,1,1,1,1
113,3.58723694721175,0.250763262664822,AR,2022-08-28,0,0,1,1,0,0,1,1
114,2.97573745948541,0.1178488242054795,AR,2022-08-29,0,0,0,1,0,0,0,1
115,1.36251226462147,0.0874456916209895,AR,2022-08-30,1,1,0,1,0,0,0,1
116,3.40554918979712,0.1449324086523055,AR,2022-08-31,0,0,0,1,0,0,0,1
117,5.82739302247738,0.1557827736044435,AR,2022-09-01,0,0,1,1,0,0,1,1
118,2.27815341963731,0.227805132873086,AR,2022-09-02,0,0,0,1,0,0,0,1
119,0.2233968039705,0.003739304560237365,AR,2022-09-03,1,1,1,1,0,0,1,1
120,1.30977734908021,0.1503055713158635,AR,2022-09-04,0,0,1,1,0,0,1,1
121,1.31323614169346,0.1437172536320225,AR,2022-09-05,1,0,0,1,0,0,0,1
122,6.61599383014597,0.122751606920512,AR,2022-09-06,0,0,0,1,0,0,0,1
123,8.61506441592235,0.197370000382238,AR,2022-09-07,0,0,0,1,0,0,0,1
124,5.85444750131411,0.235260596664071,AR,2022-09-08,0,0,1,1,0,0,1,1
125,3.49122934239025,0.1908077296017385,AR,2022-09-09,0,0,1,1,0,0,1,1
126,1.29369814111879,0.130609440407487,AR,2022-09-10,0,0,1,1,0,0,1,1
127,2.41202103817658,0.0599068437974425,AZ,2022-07-31,0,0,1,1,0,0,1,0
128,5.21378600173938,0.2448314335932925,AZ,2022-08-01,1,0,0,0,1,0,0,0
129,1.78412133639867,0.1183806785896125,AZ,2022-08-02,1,1,0,1,0,0,0,1
130,5.5501241855244,0.2363864578721525,AZ,2022-08-03,0,0,0,1,1,0,0,0
131,0.777787305052527,0.104072248060521,AZ,2022-08-04,1,1,1,1,0,0,1,1
132,1.00708518227874,0.093694560436529,AZ,2022-08-05,1,1,1,1,0,0,1,0
133,1.12521811669261,0.105404095255231,AZ,2022-08-06,1,1,0,1,1,0,0,1
134,1.92440606286296,0.138895212590857,AZ,2022-08-07,1,1,0,0,1,0,0,0
135,2.48347267761853,0.056259718937032,AZ,2022-08-08,0,0,1,1,0,0,1,0
136,5.41889464235702,0.075311385162581,AZ,2022-08-09,0,0,0,1,0,0,0,1
137,2.62310098028157,0.1256997138726675,AZ,2022-08-10,0,0,1,1,0,0,1,0
138,1.26651512988782,0.108256277006488,AZ,2022-08-11,1,1,1,1,0,0,1,0
139,1.05352412168778,0.0830536999023415,AZ,2022-08-12,1,1,1,1,0,0,1,0
140,1.49199654666877,0.053972968479677,AZ,2022-08-13,0,1,1,0,0,1,1,0
141,0.570252991316542,0.0874607487918895,AZ,2022-08-14,1,1,1,1,1,0,1,0
142,3.89496274869866,0.1235126888023645,AZ,2022-08-15,1,0,0,1,0,0,0,0
143,2.24928949666343,0.04787556947446045,AZ,2022-08-16,0,0,1,1,1,1,1,1
144,1.09689519046101,0.087112971275387,AZ,2022-08-17,1,1,0,1,0,1,0,1
145,3.26130673854891,0.157812693474002,AZ,2022-08-18,0,0,1,1,0,0,1,1
146,0.784829034984329,0.1030210676309945,AZ,2022-08-19,1,1,1,1,0,0,1,1
147,0.316977620736115,0.0625076131832515,AZ,2022-08-20,1,1,1,1,0,0,1,1
148,5.47040402562112,0.2003073327893055,AZ,2022-08-21,0,0,0,1,0,0,0,1
149,3.57592561349277,0.119307814828089,AZ,2022-08-22,0,0,1,1,0,0,1,1
150,0.759387622830862,0.0505015348806815,AZ,2022-08-23,1,1,1,1,1,1,1,1
151,4.88159639551024,0.175375711049763,AZ,2022-08-24,0,0,1,1,0,0,1,1
152,0.319494042278215,0.0829249509166925,AZ,2022-08-25,1,1,1,1,0,0,1,1
153,1.5358576870847,0.117853524682546,AZ,2022-08-26,1,0,0,1,0,0,0,1
154,0.456710128826783,0.0736826059793485,AZ,2022-08-27,1,1,1,1,0,0,1,1
155,0.984289308739896,0.0868261704053055,AZ,2022-08-28,1,1,1,1,1,1,1,1
156,1.24094393545855,0.080856456634102,AZ,2022-08-29,1,1,1,1,1,1,1,1
157,2.41485102397791,0.11847922059112,AZ,2022-08-30,0,0,1,1,0,0,1,0
158,1.47251325642808,0.03884562789698505,AZ,2022-08-31,0,1,0,1,0,0,0,1
159,2.14529380398001,0.1407005594481315,AZ,2022-09-01,0,0,0,1,0,1,0,1
160,1.01198071892481,0.0826774960386765,AZ,2022-09-02,1,1,0,1,0,0,0,1
161,0.557496208392256,0.003739304560237365,AZ,2022-09-03,1,1,1,1,0,0,1,1
162,0.315601758696123,0.066462512536055,AZ,2022-09-04,1,1,1,1,0,0,1,1
163,2.77362670420468,0.1312143600815975,AZ,2022-09-05,0,0,0,1,0,0,0,1
164,4.05813772676004,0.162871410624153,AZ,2022-09-06,0,0,0,1,0,0,0,1
