...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,other_50_CI,X23A_50_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,other_95_CI,X23A_95_CI
1,0.0160748846949947,0.0103674812729407,AK,2023-04-09,1,1,1,1,1,1,1,1,1,0,1,1,1,0
2,1.1603097605693,0.81851997946936506,AK,2023-04-10,1,1,1,0,1,1,0,1,1,1,0,1,1,0
3,0.196156205719094,0.01189219889694385,AK,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0.0187829905255782,0.0127641790232874,AK,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.221998322787253,0.0137173894172288,AK,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.0217861295894389,0.0147585882389652,AK,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.0239296106562889,0.01589508349905785,AK,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.0242837014475143,0.01713476013097905,AK,2023-04-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1.03025109528347,0.4283056663036915,AK,2023-04-17,1,1,1,1,0,1,1,1,1,1,1,0,1,0
10,0.0974977267838832,0.01995823715579345,AK,2023-04-18,1,1,1,1,1,1,1,0,1,1,1,1,1,0
11,NA,NA,AK,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.0311175066407551,0.02330458607009255,AK,2023-04-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,NA,NA,AK,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,AK,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,AK,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
