...1,es_score,brier_score,location,target_date,X22A_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI,X22B_95_CI
1,NA,NA,AK,2022-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.338076935467075,0.01441174797179115,AK,2022-09-26,1,1,1,1,1,1,1,1,1,1
3,NA,NA,AK,2022-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.0231332104349689,0.0149382151088078,AK,2022-09-28,1,1,1,1,1,1,1,1,1,1
5,NA,NA,AK,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.0260473388956961,0.0167465459275963,AK,2022-10-02,1,1,1,1,1,1,1,1,1,1
9,0.845716149986299,0.3959240912568315,AK,2022-10-03,0,1,1,1,1,0,1,1,1,0
10,1.13339457531388,0.80460429874769,AK,2022-10-04,1,1,0,1,0,1,0,0,1,1
11,1.07888607528583,0.77025791444642,AK,2022-10-05,0,1,1,1,0,0,1,1,1,0
12,NA,NA,AK,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.0315603534765081,0.0212972743480695,AK,2022-10-07,1,1,1,1,1,1,1,0,1,0
14,NA,NA,AK,2022-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,AK,2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1.06803508981139,0.2775029121061815,AK,2022-10-10,1,0,1,1,1,0,0,1,1,0
17,0.0435052679024457,0.0281467307496666,AK,2022-10-11,1,1,1,1,1,1,1,0,1,0
18,NA,NA,AK,2022-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,AK,2022-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,AK,2022-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
