...1,es_score,brier_score,location,target_date,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_50_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22B_95_CI
1,1.78522213734491,0.623379852087115,AK,2022-12-18,1,0,1,1,1,1,0,1,0,1,0,1,1,0
2,1.2072929903776,0.3159593187969495,AK,2022-12-19,1,1,0,1,1,1,0,1,0,0,0,1,1,0
3,0.504073224755395,0.2493927504484725,AK,2022-12-20,1,1,1,1,1,1,1,1,0,1,1,1,1,0
4,1.27748340755761,0.350106753751666,AK,2022-12-21,1,1,1,1,1,1,0,1,1,1,0,0,1,0
5,0.876290893045333,0.3077135571987325,AK,2022-12-22,0,1,1,1,1,1,1,0,0,1,0,1,1,0
6,0.0770270366182791,0.0528752148523795,AK,2022-12-23,1,1,1,1,1,1,1,1,0,1,0,1,1,1
7,1.3521039270791,0.359047010334677,AK,2022-12-24,1,1,1,1,1,1,0,0,0,0,1,1,1,0
8,0.241702499366036,0.0535501813432625,AK,2022-12-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1.55449676280565,0.3316855803478815,AK,2022-12-26,0,1,1,1,1,1,1,0,0,1,1,1,0,1
10,7.15733877748661,0.64186723760473,AK,2022-12-27,0,0,1,1,1,1,0,0,0,1,0,1,1,0
11,1.65768644059488,0.3924007535735015,AK,2022-12-28,0,1,1,1,1,1,1,0,0,1,1,1,1,1
12,0.832373259519012,0.288334141329576,AK,2022-12-29,1,1,1,1,0,1,1,1,1,1,0,0,1,1
13,3.15596451603132,0.581972905839305,AK,2022-12-30,0,0,1,1,1,1,0,0,0,1,1,1,0,0
14,0.918112243867503,0.361254898806303,AK,2022-12-31,0,1,1,1,1,1,1,0,0,1,0,1,1,1
15,0.837914978424514,0.395577311788256,AK,2023-01-01,0,1,1,1,1,1,1,0,1,1,0,1,1,1
16,0.865836418515262,0.234563393876046,AK,2023-01-02,0,1,1,1,1,1,1,1,0,1,0,1,1,1
17,0.934218178849619,0.2337675590459545,AK,2023-01-03,1,1,1,1,1,1,1,1,0,1,0,1,1,1
18,1.61938496316591,0.220666490487131,AK,2023-01-04,0,1,1,0,1,1,1,0,0,1,0,1,1,1
19,0.6628749922111,0.0879871152096665,AK,2023-01-05,1,1,1,1,1,1,1,0,0,1,1,1,1,0
20,0.877666665902039,0.300631202604654,AK,2023-01-06,0,1,1,1,1,1,1,0,0,1,0,1,1,1
21,0.358274658230068,0.2906645532482825,AK,2023-01-07,1,1,1,1,1,1,1,1,0,1,0,1,1,1
22,0.15676203773544,0.109600676775567,AK,2023-01-08,1,1,1,1,1,1,1,1,0,1,0,1,1,1
23,0.801213980890848,0.3008895270708115,AK,2023-01-09,0,1,1,1,1,1,1,0,0,1,1,0,1,0
24,0.987394595637331,0.177119224744266,AK,2023-01-10,1,0,1,1,1,1,1,1,0,1,0,1,1,1
25,1.68065191020983,0.3249360734608305,AK,2023-01-11,0,1,1,0,1,1,0,0,1,1,0,1,1,0
26,1.42632715005257,0.149312425044589,AK,2023-01-12,1,0,1,0,1,1,1,1,0,1,0,1,1,0
27,0.52568893168561,0.229390528748676,AK,2023-01-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,0.258443780730765,0.174257559289098,AK,2023-01-14,1,1,1,1,1,1,1,1,0,1,0,1,1,1
29,0.275398716419699,0.1880378525928015,AK,2023-01-15,1,1,1,1,1,1,1,1,0,1,0,1,1,1
30,0.678691628170088,0.2288675892392045,AK,2023-01-16,1,1,1,1,1,1,1,1,0,1,0,1,1,1
31,2.51385655920642,0.270580934125322,AK,2023-01-17,1,0,1,0,1,1,1,1,0,1,0,1,0,0
32,2.49135883710718,0.297176446191497,AK,2023-01-18,1,0,1,0,1,1,0,1,0,1,0,1,1,0
33,0.413710718315369,0.251805735122693,AK,2023-01-19,1,1,1,1,1,1,1,1,0,1,0,1,1,1
34,2.71544834595206,0.261698713063466,AK,2023-01-20,1,0,1,0,1,1,1,1,0,1,0,1,1,1
35,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.212643518057129,0.2541638778920565,AK,2023-01-22,1,1,1,1,1,1,1,1,0,1,0,1,1,1
37,1.09870790176607,0.3271936599341475,AK,2023-01-23,1,0,1,0,1,1,1,1,1,1,1,1,1,1
38,3.60612690289356,0.372314868174069,AK,2023-01-24,0,0,1,0,1,1,1,0,0,1,0,1,1,1
39,2.71347704968678,0.407276238383498,AK,2023-01-25,1,1,1,0,1,0,1,1,0,1,0,1,0,1
40,5.46174437468475,0.362076782149598,AK,2023-01-26,1,0,1,0,1,1,1,1,0,1,0,1,1,1
41,0.969150967834844,0.325530386831473,AK,2023-01-27,1,1,1,1,1,1,0,1,0,1,0,1,1,0
42,0.647710829698102,0.4325519535803695,AK,2023-01-28,1,1,1,1,1,1,1,1,0,1,1,0,1,1
43,0.253499157062763,0.0569565306785315,AL,2022-12-18,1,1,1,1,1,1,1,0,0,1,1,1,1,1
44,0.452130328858506,0.199548353831271,AL,2022-12-19,1,1,1,1,1,1,1,1,1,1,0,1,1,0
45,1.58062901859122,0.228857443062412,AL,2022-12-20,0,1,1,1,1,0,1,0,0,0,0,1,0,0
46,2.48150044974777,0.433580615265051,AL,2022-12-21,1,0,1,0,0,1,1,1,0,1,0,0,1,1
47,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.0782162912288683,0.053038709716345,AL,2022-12-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,1.15690500282142,0.281508290278973,AL,2022-12-26,1,1,1,1,1,1,1,0,0,0,0,1,1,0
52,1.2272863706711,0.219394493403438,AL,2022-12-27,1,1,1,0,1,1,1,1,0,1,0,1,1,1
53,2.08354679224751,0.3725454414233695,AL,2022-12-28,1,0,0,1,1,1,0,1,0,0,0,1,1,0
54,2.29393007067027,0.3007186286864245,AL,2022-12-29,1,1,0,1,1,0,1,1,1,0,0,0,0,0
55,1.8655283126146,0.395476557953637,AL,2022-12-30,1,0,1,1,1,1,0,1,0,1,0,0,1,0
56,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.72471117549741,0.231930755344529,AL,2023-01-02,1,1,1,0,1,1,1,1,0,1,0,1,1,1
59,2.7483272873938,0.255896002949389,AL,2023-01-03,1,1,1,0,0,1,0,0,1,1,0,0,1,0
60,1.79944699091402,0.3497423920990205,AL,2023-01-04,1,0,0,1,1,1,1,1,0,0,0,1,1,0
61,0.814442851020442,0.2302264379636495,AL,2023-01-05,1,1,1,1,1,1,1,1,0,1,0,1,1,0
62,1.71834066549274,0.4037092365774085,AL,2023-01-06,0,1,1,1,1,1,1,0,1,0,1,1,1,0
63,2.39957349433669,0.452960489168081,AL,2023-01-07,1,0,1,1,0,0,0,1,0,0,1,0,0,0
64,1.5442862444375,0.705981482158805,AL,2023-01-08,1,0,1,1,0,1,0,1,0,1,1,0,1,0
65,1.11030860014961,0.3004147969679925,AL,2023-01-09,1,1,1,1,0,1,1,1,0,1,0,1,1,1
66,1.10092936526587,0.2435606347565765,AL,2023-01-10,1,1,1,1,1,1,1,1,0,0,0,1,1,0
67,0.276903069038707,0.27127282864908703,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,0.914900644628889,0.4140910230755425,AL,2023-01-12,1,1,1,1,0,1,1,1,1,1,0,0,1,1
69,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
