...1,es_score,brier_score,location,target_date,X22A_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,other_50_CI,X22B_50_CI,X22A_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,other_95_CI,X22B_95_CI
66,0.87343593802334,0.4055761052801945,AL,2022-11-22,0,1,1,1,1,1,0,1,0,1,1,1
67,0.128216957231556,0.0910009178404315,AL,2022-11-23,1,1,1,1,1,1,1,0,0,1,1,1
68,NA,NA,AL,2022-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1.06022044168266,0.447311898859156,AL,2022-11-25,1,0,0,1,1,1,1,0,0,1,1,0
70,NA,NA,AL,2022-11-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2022-11-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0.379125619072293,0.1646735510347705,AL,2022-11-28,1,1,1,1,1,1,0,1,0,1,1,1
73,1.39671397553468,0.426197315119413,AL,2022-11-29,1,1,0,1,1,0,1,1,1,1,1,1
74,0.827264223256494,0.254681472539243,AL,2022-11-30,1,1,1,1,1,1,1,1,0,0,1,1
75,1.88401175166988,0.344864954783523,AL,2022-12-01,1,1,0,1,1,0,1,0,1,0,1,0
76,1.27411347942825,0.350879483442461,AL,2022-12-02,1,1,0,1,1,0,1,1,0,0,1,0
77,NA,NA,AL,2022-12-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1.89479566084749,0.315376191407927,AL,2022-12-04,1,1,0,1,1,0,1,1,0,1,1,0
79,2.20368161894593,0.36811821311594,AL,2022-12-05,1,1,0,1,1,0,1,0,0,1,1,0
80,2.05768422557848,0.391551523077352,AL,2022-12-06,1,0,0,1,1,0,1,0,0,1,1,0
81,0.603287789670698,0.2608335969079945,AL,2022-12-07,1,1,1,1,1,1,1,1,1,0,1,0
82,2.45221863762758,0.3837914062535855,AL,2022-12-08,1,1,0,1,1,0,1,1,0,1,1,0
83,0.908453032003342,0.2272816689618355,AL,2022-12-09,1,1,1,1,0,1,1,1,1,0,0,1
84,0.475030412982786,0.12636990865696,AL,2022-12-10,1,1,1,1,1,1,1,1,1,1,1,1
85,1.25112740918389,0.399652404570976,AR,2022-10-30,1,1,1,1,0,1,0,1,0,1,0,1
86,1.92885706536891,0.2800131892070425,AR,2022-10-31,0,1,0,1,1,1,0,0,0,1,1,0
87,0.70046876146919,0.316025622024104,AR,2022-11-01,1,1,1,1,1,1,0,0,1,1,1,1
88,7.1924274199954,0.2491418618329615,AR,2022-11-02,0,1,0,1,1,0,0,0,0,0,1,0
89,3.98540604489252,0.204935514173018,AR,2022-11-03,1,1,0,1,1,0,1,1,0,0,1,0
90,0.504250112558094,0.2677792188436075,AR,2022-11-04,1,1,1,1,1,1,1,1,0,0,1,1
91,1.803987115764,0.361681904140857,AR,2022-11-05,0,1,0,1,1,1,0,1,0,1,1,0
92,1.00772879814421,0.487778259324697,AR,2022-11-06,0,1,1,1,1,0,0,1,1,1,1,0
93,1.22541268089691,0.203137864554643,AR,2022-11-07,1,1,0,1,1,0,1,0,0,1,1,0
94,2.91854727236828,0.3424887675189845,AR,2022-11-08,0,1,0,1,1,0,1,0,0,1,1,0
95,1.24782707570238,0.242913137999793,AR,2022-11-09,1,1,1,1,1,0,1,1,0,1,1,0
96,3.77548775673752,0.250409859785276,AR,2022-11-10,1,1,0,1,1,0,1,0,0,1,1,0
97,0.9105858202238,0.267516505682132,AR,2022-11-11,1,1,1,1,1,0,1,1,0,1,1,0
98,0.41055983004094,0.2852272539059205,AR,2022-11-12,1,1,1,1,1,1,0,1,1,1,1,0
99,NA,NA,AR,2022-11-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,1.32475705461226,0.3266228614349065,AR,2022-11-14,0,1,1,1,1,1,0,0,0,0,1,0
101,0.810427184478918,0.39588163401936,AR,2022-11-15,0,1,1,1,1,1,0,1,1,1,1,0
102,0.510821589494755,0.360954874685711,AR,2022-11-16,1,1,1,1,1,1,1,1,1,1,1,1
103,3.03998616094462,0.2936434794075405,AR,2022-11-17,1,1,0,1,1,0,1,1,0,1,1,0
104,2.2738024949595,0.471256451601215,AR,2022-11-18,0,1,0,1,1,0,0,0,0,1,1,0
105,1.24366364479752,0.57240328861705,AR,2022-11-19,1,1,0,1,0,1,1,1,0,1,0,0
106,0.285488537428636,0.2265890099464875,AR,2022-11-20,1,1,1,1,1,1,1,1,0,0,1,0
107,5.65394756068305,0.4193316885090345,AR,2022-11-21,1,1,0,1,1,0,0,1,0,0,1,0
108,1.25051223989703,0.2093838551278995,AR,2022-11-22,1,1,1,1,1,1,1,0,0,1,1,0
109,1.23145420690263,0.3248424820841405,AR,2022-11-23,0,1,1,1,0,1,0,1,0,0,0,1
110,1.1156223830212,0.452345540498823,AR,2022-11-24,1,1,1,1,0,1,1,1,0,1,0,1
111,1.16256700473263,0.0755397435007825,AR,2022-11-25,1,1,0,1,1,1,1,1,0,1,1,0
112,2.5973925793185,0.755358407056645,AR,2022-11-26,1,0,0,1,0,1,1,0,0,0,0,1
113,1.17167248541002,0.4638740034276005,AR,2022-11-27,0,1,0,1,1,1,0,1,0,1,1,0
114,11.4544524921857,0.430828838748599,AR,2022-11-28,1,1,0,1,1,0,1,1,0,1,1,0
115,6.32061338604215,0.426197315119413,AR,2022-11-29,1,1,0,1,1,0,1,0,0,0,1,0
116,2.75704945676043,0.3385643382476385,AR,2022-11-30,0,1,0,1,1,0,0,1,0,0,1,0
117,5.73975695482211,0.4206790217410375,AR,2022-12-01,1,1,0,1,1,0,1,0,0,1,1,0
118,0.740551666972702,0.1904149798370585,AR,2022-12-02,1,0,1,1,1,1,1,0,1,0,1,1
119,1.35201426475995,0.499510929154769,AR,2022-12-03,1,0,0,1,1,1,1,0,0,1,1,0
120,0.691808375275878,0.3625263101318585,AR,2022-12-04,1,1,1,1,1,0,1,1,0,1,1,0
121,6.75998948841502,0.4480775307912445,AR,2022-12-05,1,0,0,1,1,0,1,0,0,1,1,0
122,7.15725183284161,0.4051080921907225,AR,2022-12-06,0,0,0,1,0,1,0,0,0,0,0,0
123,5.59521435295175,0.343832405584904,AR,2022-12-07,1,1,0,1,1,0,1,0,0,1,1,0
124,7.60070633200634,0.464600719646333,AR,2022-12-08,1,0,0,1,1,0,1,0,0,0,1,0
125,2.05264574756249,0.277348936659473,AR,2022-12-09,1,0,0,1,1,1,1,0,0,1,1,0
126,1.50012908348162,0.318509539644761,AR,2022-12-10,1,1,0,1,1,0,1,0,0,1,1,0
127,2.02234866632632,0.321578975424394,AZ,2022-10-30,0,1,1,1,0,1,0,1,0,1,0,1
128,2.79401235219937,0.2947732875704015,AZ,2022-10-31,1,0,1,1,1,1,1,0,0,1,1,0
129,1.81724221919767,0.256500091885768,AZ,2022-11-01,1,1,1,1,1,1,0,0,0,0,1,0
130,3.00513341098029,0.2743693573587385,AZ,2022-11-02,0,0,1,1,1,1,0,0,0,0,1,0
131,6.54584553935559,0.372872532472192,AZ,2022-11-03,0,1,0,0,1,0,0,0,0,0,1,0
132,2.80648689264721,0.257087381056672,AZ,2022-11-04,0,0,1,1,1,1,0,0,0,0,1,0
133,4.16409349732765,0.3201310217837725,AZ,2022-11-05,0,0,0,0,1,1,0,0,0,0,1,0
134,5.06374790671084,0.2684839695302285,AZ,2022-11-06,1,1,0,1,1,0,0,1,0,0,1,0
135,5.77819144342377,0.279508622673028,AZ,2022-11-07,0,1,1,0,0,0,0,0,0,0,0,0
136,1.73052261753989,0.2964613761795645,AZ,2022-11-08,1,1,1,1,1,1,1,0,0,1,1,0
137,3.69246586039878,0.308943867988303,AZ,2022-11-09,0,1,1,1,0,1,0,1,0,1,0,0
138,2.46745461846392,0.310274338892397,AZ,2022-11-10,1,0,1,1,1,1,0,0,0,0,1,0
139,12.0295809014757,0.366220065746702,AZ,2022-11-11,1,0,0,0,1,0,1,0,0,1,1,0
140,7.14824607220629,0.284127423279571,AZ,2022-11-12,0,1,0,1,1,0,0,0,0,0,1,0
141,1.82605307961922,0.30866631045165,AZ,2022-11-13,1,1,1,1,0,1,1,0,1,0,0,0
142,4.18267785136929,0.281313562105177,AZ,2022-11-14,1,1,1,0,1,0,1,1,0,0,1,0
143,5.84536476978606,0.28933148502076,AZ,2022-11-15,0,1,0,1,1,0,0,0,0,0,1,0
144,4.22730592230177,0.306531566417707,AZ,2022-11-16,1,1,0,1,1,0,0,0,0,0,1,0
145,12.7368934532033,0.2992156954095905,AZ,2022-11-17,0,1,0,1,1,0,1,0,0,0,1,0
146,7.347740095048,0.2972181609358475,AZ,2022-11-18,1,1,0,1,1,0,0,0,0,0,1,0
147,1.70723251669135,0.23486955184377,AZ,2022-11-19,1,1,1,1,1,1,1,1,0,0,1,0
148,8.37173368002884,0.3340740099318075,AZ,2022-11-20,1,1,0,1,1,0,1,1,0,0,1,0
149,11.2901445195093,0.283761301837464,AZ,2022-11-21,0,1,0,0,0,0,0,0,0,0,0,0
150,36.4320737564234,0.372360682025482,AZ,2022-11-22,0,0,0,1,0,0,0,0,0,0,0,0
151,16.1313216072813,0.3233065432014215,AZ,2022-11-23,0,1,0,0,1,0,0,0,0,0,1,0
152,1.85883881945357,0.337785319750681,AZ,2022-11-24,1,1,0,1,0,1,0,0,0,0,0,0
153,11.6077771730581,0.28424720550745,AZ,2022-11-25,0,1,0,1,1,0,0,0,0,0,1,0
154,13.6869025816164,0.3428251230156685,AZ,2022-11-26,1,1,0,1,0,0,0,0,0,0,0,0
155,13.3848058591093,0.299344900558595,AZ,2022-11-27,0,1,0,1,1,0,1,1,0,0,1,0
156,18.5294638147995,0.280976080835579,AZ,2022-11-28,0,0,0,1,0,0,0,0,0,0,0,0
157,21.0625398489346,0.349466473768569,AZ,2022-11-29,1,1,0,1,0,0,1,0,0,0,0,0
158,14.1538232359315,0.3320011365235935,AZ,2022-11-30,1,0,0,1,1,0,0,0,0,0,1,0
159,22.153278591292,0.4033598566832275,AZ,2022-12-01,1,0,0,1,0,0,0,0,0,0,0,0
160,18.4084663309295,0.380010184241434,AZ,2022-12-02,1,0,0,1,0,0,0,0,0,0,0,0
161,4.77320186219478,0.289654564241393,AZ,2022-12-03,1,0,0,1,0,0,0,0,0,0,0,0
162,11.9819861015234,0.333216442051657,AZ,2022-12-04,1,0,0,1,1,0,1,0,0,1,1,0
163,34.1644348382133,0.3616820151761505,AZ,2022-12-05,1,0,0,1,0,0,0,1,0,0,0,0
164,13.0369833593557,0.314967075540978,AZ,2022-12-06,1,0,0,1,1,0,0,0,0,0,1,0
165,17.5044384716843,0.2905932127508465,AZ,2022-12-07,1,1,0,0,0,0,0,0,0,0,0,0
166,3.07811034823016,0.2440032292558795,AZ,2022-12-08,1,0,0,1,0,1,0,0,0,0,0,0
167,9.95627900095204,0.3019898220334,AZ,2022-12-09,0,1,0,0,0,0,0,0,0,0,0,0
168,6.02509614916997,0.3317488576592555,AZ,2022-12-10,1,0,0,0,1,0,1,0,0,0,1,0
169,6.22074181903278,0.289936991866068,CA,2022-10-30,1,0,0,1,0,1,0,0,0,0,0,0
170,11.9622820513968,0.290790010516381,CA,2022-10-31,0,1,0,0,0,0,0,0,0,0,0,0
171,9.24670257306251,0.2962959013728925,CA,2022-11-01,0,1,0,1,0,0,0,0,0,1,0,0
172,4.9518325553281,0.293391254801525,CA,2022-11-02,0,0,1,1,0,1,0,0,0,0,0,0
173,11.5473921693349,0.3033525954243435,CA,2022-11-03,0,1,0,1,0,0,0,1,0,0,0,0
174,8.73866786798794,0.279287885997663,CA,2022-11-04,0,1,1,1,0,0,0,0,0,0,0,1
175,6.8462626706232,0.306695431317256,CA,2022-11-05,0,0,1,1,0,1,0,0,0,0,0,0
176,7.33919003631911,0.3120565960883395,CA,2022-11-06,0,0,1,0,0,0,0,0,0,0,0,0
177,10.4084830331651,0.3074334156640525,CA,2022-11-07,0,0,1,1,0,1,0,0,0,1,0,0
178,10.8050164240377,0.3106292792398245,CA,2022-11-08,0,1,1,0,0,1,0,0,0,0,0,0
179,9.90058267383978,0.2956931600026355,CA,2022-11-09,0,1,1,0,0,1,0,0,0,0,0,0
180,9.78039186239119,0.3136296782303265,CA,2022-11-10,0,0,1,1,0,0,1,0,0,0,0,0
181,8.33665186983923,0.3161382982268105,CA,2022-11-11,0,0,1,0,0,0,0,0,0,0,0,0
182,10.8944037835753,0.3201655267592155,CA,2022-11-12,0,0,1,0,0,0,0,0,0,0,0,0
183,19.9435099244983,0.313633724433166,CA,2022-11-13,1,0,0,0,0,0,1,0,0,0,0,0
184,14.8693545294176,0.3128480755081705,CA,2022-11-14,0,0,0,0,0,1,0,0,0,0,0,0
185,19.5225919268615,0.3140299712598125,CA,2022-11-15,0,0,0,0,0,0,0,0,0,0,0,0
186,33.8460686920316,0.317408666038115,CA,2022-11-16,1,0,0,1,0,0,1,0,0,1,0,0
187,30.5059717183481,0.3141236375019885,CA,2022-11-17,1,1,0,1,0,0,0,0,0,0,0,0
188,29.2028742262388,0.3176334885806145,CA,2022-11-18,0,1,0,1,0,0,0,0,0,0,0,0
189,25.9793958052828,0.327527599476806,CA,2022-11-19,0,0,0,0,0,0,0,0,0,0,0,0
190,21.2386198670309,0.294446554502561,CA,2022-11-20,0,1,0,0,0,0,0,0,0,0,0,0
191,35.3523636775473,0.3198902895725555,CA,2022-11-21,0,0,0,0,0,0,0,0,0,0,0,0
192,28.4239299556486,0.298298702644783,CA,2022-11-22,0,0,0,0,0,0,0,0,0,1,0,0
193,27.3675064836413,0.3047683311790805,CA,2022-11-23,0,0,0,0,0,0,0,0,0,0,0,0
194,1.49878135103593,0.271436137001784,CA,2022-11-24,1,1,1,1,1,1,0,1,0,0,1,0
195,23.9664317177193,0.2761856863594375,CA,2022-11-25,0,0,0,1,0,0,0,1,0,0,0,0
196,40.7270922628949,0.276408812689108,CA,2022-11-26,1,0,0,0,0,0,0,0,0,0,0,0
197,70.239387884252,0.314747931133017,CA,2022-11-27,1,0,0,0,0,0,0,0,0,0,0,0
198,50.5675463130973,0.281159746846647,CA,2022-11-28,0,0,0,1,0,0,0,0,0,0,0,0
199,37.0027762404033,0.2760862171225285,CA,2022-11-29,0,0,0,1,0,0,0,0,0,0,0,0
200,29.031390680869,0.2706028266134705,CA,2022-11-30,0,0,0,1,0,0,1,0,0,0,0,0
201,41.5893482857536,0.2791204104122355,CA,2022-12-01,0,0,0,1,0,0,0,0,0,0,0,0
202,86.5266245579649,0.3077174924410285,CA,2022-12-02,0,0,0,1,0,0,0,0,0,0,0,0
203,82.8232649465338,0.3087518480438365,CA,2022-12-03,0,0,0,0,0,0,0,0,0,0,0,0
204,42.1755118873988,0.289882315246226,CA,2022-12-04,1,0,0,1,0,0,0,0,0,1,0,0
205,86.1393572940309,0.274365912324853,CA,2022-12-05,0,0,0,0,0,0,0,0,0,0,0,0
206,34.9290876711509,0.2541903830756025,CA,2022-12-06,1,0,0,0,0,0,0,0,0,1,0,0
207,81.83040342215,0.280135376460686,CA,2022-12-07,1,0,0,0,0,0,0,0,0,0,0,0
208,59.8450780469507,0.2465937828719575,CA,2022-12-08,0,0,0,0,0,0,0,0,0,0,0,0
209,38.2157043390367,0.2263557678707395,CA,2022-12-09,1,0,0,0,0,0,1,0,0,0,0,0
210,92.822943819833,0.300713568410212,CA,2022-12-10,1,0,0,0,0,0,0,0,0,0,0,0
211,0.804399302413114,0.1999208001198785,CO,2022-10-30,1,1,1,1,1,1,1,1,0,1,1,0
212,2.39972846565967,0.329130405714235,CO,2022-10-31,1,1,0,1,1,0,0,1,0,1,1,0
213,1.48223539291507,0.3030443131088735,CO,2022-11-01,1,1,1,1,1,1,0,0,0,0,1,0
214,2.31285100018683,0.3493434193982245,CO,2022-11-02,1,0,1,1,1,0,1,0,1,1,1,0
215,1.56580376417065,0.246627155016036,CO,2022-11-03,1,1,1,1,1,1,0,0,1,1,1,1
216,1.04429345195906,0.293673779299547,CO,2022-11-04,1,1,1,1,1,1,0,0,0,1,1,0
217,2.2543813687535,0.388103975435144,CO,2022-11-05,0,1,0,1,0,1,0,0,0,1,0,0
218,2.82785437420103,0.3305243286432525,CO,2022-11-06,1,1,0,1,1,0,0,1,0,1,1,0
219,2.61546102021967,0.2714781541797465,CO,2022-11-07,0,1,0,1,1,1,0,1,0,1,1,0
220,1.75510694482615,0.3007665753156685,CO,2022-11-08,1,1,1,1,1,1,0,0,0,0,1,0
221,2.05471063619227,0.256352671695479,CO,2022-11-09,0,1,1,1,1,1,0,1,0,0,1,0
222,2.00806108231854,0.30508275336725,CO,2022-11-10,1,1,1,1,0,1,0,0,0,0,0,0
223,1.42377723476798,0.3414135577986745,CO,2022-11-11,0,1,1,1,1,1,0,0,0,1,1,0
224,2.58184930602634,0.2947821658985305,CO,2022-11-12,0,1,0,1,1,0,0,1,1,1,1,0
225,1.31119307324715,0.356702538262042,CO,2022-11-13,1,0,0,1,1,1,0,0,0,1,1,0
226,1.75261034405617,0.2970741849765595,CO,2022-11-14,0,1,1,1,1,1,0,0,0,0,1,1
227,2.08545693271465,0.3308019424008945,CO,2022-11-15,0,1,1,1,0,1,0,0,0,1,0,0
228,1.92683989412025,0.3222733458872335,CO,2022-11-16,0,1,1,1,0,1,0,1,0,0,0,0
229,2.19518238337041,0.2621115017066515,CO,2022-11-17,1,1,1,1,1,0,1,0,0,1,1,0
230,4.35144748534621,0.3595436535484015,CO,2022-11-18,1,1,0,1,1,0,0,1,0,1,1,0
231,0.706285539998862,0.2271164890114705,CO,2022-11-19,1,1,1,1,1,1,1,1,1,0,1,0
232,1.18863456506321,0.119312331176293,CO,2022-11-20,1,1,0,1,1,1,1,1,1,1,1,1
233,3.44487698260805,0.313744041480116,CO,2022-11-21,1,1,0,1,1,0,1,0,0,1,1,0
234,1.64824810973254,0.29480193829172,CO,2022-11-22,1,1,1,1,1,1,0,0,0,0,1,0
235,4.52479722479414,0.15717415272328,CO,2022-11-23,1,1,0,1,1,0,1,1,0,0,1,0
236,0.119514933490347,0.0829470256807025,CO,2022-11-24,1,1,1,1,1,1,1,1,1,1,1,1
237,2.44598895701058,0.1504968504388475,CO,2022-11-25,1,1,0,1,1,0,0,0,0,1,1,0
238,2.47472742293426,0.417265450585931,CO,2022-11-26,1,1,0,0,1,0,1,1,0,0,1,0
239,0.737684532933857,0.233062473524567,CO,2022-11-27,1,0,1,1,1,1,1,0,1,1,1,0
240,5.68752019491851,0.3212868108883405,CO,2022-11-28,1,1,0,1,1,0,1,0,0,0,1,0
241,2.31492464748161,0.3610782519456275,CO,2022-11-29,1,0,0,1,1,0,1,0,0,1,1,1
242,6.16758239693803,0.40499080593273,CO,2022-11-30,1,1,0,1,1,0,1,1,0,0,1,0
243,2.53641290895341,0.1987987297736925,CO,2022-12-01,1,0,1,1,1,0,1,0,0,0,1,0
244,5.63265459360476,0.4036579760976635,CO,2022-12-02,1,1,0,1,1,0,1,0,0,1,1,0
245,2.05191807769711,0.356773882100701,CO,2022-12-03,1,1,0,1,1,0,1,1,0,1,1,0
246,2.96449951755621,0.3506902377323845,CO,2022-12-04,1,1,0,1,1,0,0,0,0,0,1,0
247,2.76077640364808,0.331298960508611,CO,2022-12-05,1,1,0,1,0,0,1,1,0,1,0,1
248,2.93382446500838,0.2161123110807065,CO,2022-12-06,1,1,1,1,1,0,0,0,1,0,1,0
249,3.08098969500849,0.2608335969079945,CO,2022-12-07,1,1,0,1,1,0,1,1,0,0,1,0
250,1.99747957011249,0.3997710366937,CO,2022-12-08,1,1,0,1,0,0,1,1,0,1,0,0
251,2.94062172929442,0.5723194658956,CO,2022-12-09,1,1,0,1,1,0,1,1,0,1,1,0
252,0.915282036994357,0.227291949409937,CO,2022-12-10,1,1,1,1,0,1,1,1,0,1,0,1
253,0.791272006088985,0.1999208001198785,CT,2022-10-30,1,1,1,1,1,1,1,1,1,1,1,1
254,1.99242535931267,0.23724486113072,CT,2022-10-31,1,1,0,1,0,0,0,1,0,1,0,1
255,1.05762803102196,0.2713849469444125,CT,2022-11-01,1,1,1,1,1,1,1,1,1,1,1,1
256,1.76442638507192,0.326210897977079,CT,2022-11-02,1,1,0,1,1,0,1,1,0,1,1,0
257,1.76257704131316,0.2725062250285145,CT,2022-11-03,1,1,1,1,1,1,0,0,0,0,1,0
258,1.69136988610675,0.3222275957726915,CT,2022-11-04,1,1,0,1,0,1,0,1,0,1,0,0
259,2.91998240573145,0.3676877807219405,CT,2022-11-05,0,1,1,1,0,0,0,1,0,1,0,0
260,0.990804355655892,0.2373824237677785,CT,2022-11-06,1,1,1,1,1,1,1,0,0,1,1,1
