...1,es_score,brier_score,location,target_date,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
95,NA,NA,AR,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,0.571544073403162,0.409871590757018,AR,2023-07-13,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
97,NA,NA,AR,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,AR,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0.607594116594804,0.433692269880437,AR,2023-07-17,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
101,NA,NA,AR,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.990241030220885,0.493796341960287,AR,2023-07-19,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
103,NA,NA,AR,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,0.378988290284049,0.265334253568808,AR,2023-07-21,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
105,NA,NA,AR,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,NA,NA,AR,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.564481950665115,0.3449353254270485,AR,2023-07-26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,NA,NA,AR,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.772559589666543,0.350115941407544,AR,2023-07-28,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
112,NA,NA,AR,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,0.385570733159703,0.264520536995085,AR,2023-07-31,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
115,1.65980808725524,0.436690972506886,AR,2023-08-01,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
116,1.3379953869427,0.356824717370996,AR,2023-08-02,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,NA,NA,AR,2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0.67171110878904,0.475945164111852,AR,2023-08-04,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
119,NA,NA,AR,2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,0.484488819983985,0.3574252270597775,AR,2023-08-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
122,1.72885252319902,0.360695341322124,AR,2023-08-08,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0
123,1.2354463592796,0.424209580575569,AR,2023-08-09,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,0,0
124,0.78448499542014,0.54679828617569,AR,2023-08-10,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
125,0.818736664054905,0.4170365110461775,AR,2023-08-11,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0
126,NA,NA,AR,2023-08-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,2.10550158496205,0.3589409376166485,AZ,2023-07-02,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0
128,5.44869424295599,0.366899971272237,AZ,2023-07-03,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
129,3.78480682778471,0.3830214877307325,AZ,2023-07-04,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
130,1.33384195189323,0.386600391363302,AZ,2023-07-05,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,0
131,1.19872368394413,0.4295498319070265,AZ,2023-07-06,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0
132,0.528844242473253,0.3717962459875465,AZ,2023-07-07,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0
133,1.67471999343119,0.3750293087253475,AZ,2023-07-08,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,0
134,2.68688724031681,0.369594515208299,AZ,2023-07-09,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
135,2.81711379230801,0.3925465908235905,AZ,2023-07-10,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0
136,4.17834600106873,0.408699559390548,AZ,2023-07-11,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0
137,4.28483761237531,0.4109362688710645,AZ,2023-07-12,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0
138,4.38724242309724,0.4249766527553825,AZ,2023-07-13,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0
139,1.17551700168302,0.399535267408242,AZ,2023-07-14,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0
140,2.02821920444241,0.433209166037655,AZ,2023-07-15,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0
141,3.02290317225507,0.384014934101186,AZ,2023-07-16,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0
142,6.50472583259215,0.4188139093262355,AZ,2023-07-17,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0
143,2.78465830593634,0.411206053982063,AZ,2023-07-18,1,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0
144,3.90236325409976,0.4109239694478635,AZ,2023-07-19,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0
145,1.00227245477047,0.384676599915128,AZ,2023-07-20,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1
146,1.35171745197366,0.3161194792138505,AZ,2023-07-21,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
147,1.86497300601361,0.41930904189674,AZ,2023-07-22,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,0
148,0.602966963869243,0.353264485540774,AZ,2023-07-23,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
149,5.16639839624363,0.417659713771498,AZ,2023-07-24,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0
150,5.15432672278557,0.441008047831115,AZ,2023-07-25,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0
151,1.96682023239081,0.422065553430802,AZ,2023-07-26,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0
152,1.82961479291372,0.460045065318766,AZ,2023-07-27,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0
153,1.32493651107198,0.4261261394856485,AZ,2023-07-28,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0
154,0.814092450396299,0.406755830783162,AZ,2023-07-29,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
155,5.3088830917833,0.3895127696187025,AZ,2023-07-30,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
156,1.99916037746799,0.4135548563763805,AZ,2023-07-31,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0
157,3.08411722250845,0.4153558228485235,AZ,2023-08-01,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0
158,2.73920250793608,0.391143881663563,AZ,2023-08-02,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0
159,2.69104235616528,0.391425647437015,AZ,2023-08-03,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0
160,0.794049124304519,0.4108825950854755,AZ,2023-08-04,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0
161,2.12444502329458,0.3963928055939165,AZ,2023-08-05,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0
162,1.30854910645191,0.408633181759146,AZ,2023-08-06,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0
163,4.15139155687974,0.400616917816704,AZ,2023-08-07,1,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0
164,6.72431794030173,0.41742320615054,AZ,2023-08-08,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0
165,2.70753656697047,0.4196785987969145,AZ,2023-08-09,1,1,1,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1
166,1.03078283772683,0.4476811093994105,AZ,2023-08-10,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
167,0.862392408338441,0.4287975824339025,AZ,2023-08-11,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1
168,0.421055076708708,0.2862328647370255,AZ,2023-08-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
169,1.8816304943486999,0.4074279150415625,CA,2023-07-02,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,1
170,3.04467570163533,0.418629694563447,CA,2023-07-03,0,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0
171,1.4962263725971,0.340175274186596,CA,2023-07-04,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0
172,5.017635568608,0.411730535059821,CA,2023-07-05,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
173,3.00429266336262,0.38029205990901,CA,2023-07-06,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0
174,1.83080376481824,0.399547047214582,CA,2023-07-07,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
175,1.95117914215269,0.3500726990837105,CA,2023-07-08,1,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
176,0.80303754379061,0.4104656227106725,CA,2023-07-09,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
177,3.24902339607511,0.410596948951783,CA,2023-07-10,0,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0
178,2.01378707051189,0.418181222548508,CA,2023-07-11,0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1
179,1.71616147063005,0.4038699319874715,CA,2023-07-12,1,1,1,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0
180,2.47406243735647,0.4157545914019695,CA,2023-07-13,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
181,1.54381899062627,0.3960009823407005,CA,2023-07-14,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
182,1.09177422224376,0.407580087929702,CA,2023-07-15,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0
183,1.91267581160484,0.3892414116251195,CA,2023-07-16,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1
184,1.92024999514055,0.4221425616400495,CA,2023-07-17,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0
185,2.64051574902998,0.416403613083156,CA,2023-07-18,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0
186,3.02360942035797,0.406422526035995,CA,2023-07-19,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0
187,2.23033500850256,0.4167454723633365,CA,2023-07-20,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1
188,1.93077683741298,0.3730971335002175,CA,2023-07-21,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
189,1.99774362021234,0.3969057896215805,CA,2023-07-22,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0
190,1.9662538897714401,0.4310215794494495,CA,2023-07-23,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0
191,4.7350226309509,0.4728096564907035,CA,2023-07-24,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
192,5.07913701832224,0.445132939471909,CA,2023-07-25,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,1,1,0
193,3.9000273584836,0.4217610106575615,CA,2023-07-26,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0
194,3.50699709967976,0.418365903399103,CA,2023-07-27,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0
195,3.47295293587515,0.4002025835750485,CA,2023-07-28,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0
196,3.36799685036785,0.4104499227679985,CA,2023-07-29,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0
197,4.87737982189961,0.450442190038136,CA,2023-07-30,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1
198,2.36110986995867,0.406020382581478,CA,2023-07-31,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0
199,5.69096208631385,0.4160264596753615,CA,2023-08-01,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
200,10.9230929030993,0.440563613105675,CA,2023-08-02,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
201,5.15424873047882,0.4196784913878215,CA,2023-08-03,1,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,0
