...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
1,0.529111964826021,0.0943364353541115,AK,2022-07-24,1,1,1,1,0,1,0,1
2,1.1614565799349,0.2017414096180585,AK,2022-07-25,1,1,1,0,1,0,0,0
3,3.45334622423911,0.063837121653707,AK,2022-07-26,0,0,1,1,0,0,0,0
4,2.03743540896866,0.0519604675404435,AK,2022-07-27,0,0,1,1,0,0,0,1
5,1.77965249889904,0.1067864927957895,AK,2022-07-28,0,1,1,0,1,0,0,0
6,1.03364271458868,0.117425233320718,AK,2022-07-29,1,1,1,0,1,1,0,0
7,0.850662588706612,0.1045552414328745,AK,2022-07-30,1,1,1,1,0,0,1,1
8,2.10407129322398,0.016483209060799,AK,2022-07-31,0,0,1,1,0,0,1,1
9,1.73494586387681,0.1025769126271875,AK,2022-08-01,0,1,0,1,0,0,0,1
10,0.471420301119451,0.073232092034116,AK,2022-08-02,1,1,1,1,0,0,1,1
11,0.651483414520984,0.01400637728035155,AK,2022-08-03,1,1,1,1,0,0,1,1
12,0.745839028619839,0.153606336822193,AK,2022-08-04,1,1,1,1,0,0,1,1
13,1.2808836413637,0.16809359914436,AK,2022-08-05,0,1,1,1,0,0,1,1
14,0.471654558143109,0.01196248930225855,AK,2022-08-06,1,1,1,1,0,0,1,1
15,0.444845722575997,0.0113606322727142,AK,2022-08-07,1,1,1,1,0,0,1,1
16,0.464080010653021,0.0943195711110815,AK,2022-08-08,1,1,1,1,0,0,1,1
17,0.597349622058651,0.087536545260838,AK,2022-08-09,1,1,1,1,1,1,1,1
18,1.61621520994627,0.009754244878997,AK,2022-08-10,0,0,1,1,0,0,1,1
19,0.451864066985774,0.1439755524513575,AK,2022-08-11,1,1,1,1,0,0,1,1
20,0.371283000631227,0.008826816059321,AK,2022-08-12,1,1,1,1,1,1,1,1
21,0.94427248167029,0.1570022587526365,AK,2022-08-13,0,1,1,1,0,0,0,1
22,0.576869025413222,0.172333617212534,AK,2022-08-14,1,1,1,1,0,0,1,1
23,0.471734175834897,0.0076142940966995,AK,2022-08-15,1,1,1,1,1,1,1,1
24,0.339684968668214,0.0994831643393345,AK,2022-08-16,1,1,1,1,1,1,1,1
25,0.97349911015263,0.0894370047242185,AK,2022-08-17,1,1,0,1,1,0,0,1
26,0.06525019193984,0.0065816308840601,AK,2022-08-18,1,1,1,1,1,1,1,1
27,0.338242709393096,0.0904583335825635,AK,2022-08-19,1,1,1,1,1,1,1,1
28,1.04524571905197,0.4287726709129875,AK,2022-08-20,0,0,1,1,1,1,1,1
29,0.205548638340285,0.00569793644353075,AK,2022-08-21,1,1,1,1,1,1,1,1
30,1.79448573707321,0.289684613133892,AK,2022-08-22,0,0,1,1,0,0,1,1
31,0.00702086322236121,0.00517930448533555,AK,2022-08-23,1,1,1,1,1,1,1,1
32,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA
33,0.0232321685322738,0.00470995680861572,AK,2022-08-25,1,1,1,1,1,1,1,1
34,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA
35,0.0213344374232401,0.004284698710636085,AK,2022-08-27,1,1,1,1,1,1,1,1
36,0.0204074862845917,0.004087162746164425,AK,2022-08-28,1,1,1,1,1,1,1,1
37,0.0413273465892031,0.00389899321797461,AK,2022-08-29,1,1,1,1,0,0,1,1
38,0.0207758238041436,0.003719708728905725,AK,2022-08-30,1,1,1,1,1,1,1,1
39,0.776701406356809,0.179728439447943,AK,2022-08-31,1,1,1,1,0,0,1,1
40,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA,NA,NA
41,0.00451849718360521,0.00323077659347006,AK,2022-09-02,1,1,1,1,1,1,1,1
42,NA,NA,AK,2022-09-03,NA,NA,NA,NA,NA,NA,NA,NA
43,0.600410513129414,0.147581210288795,AL,2022-07-24,1,1,1,1,1,0,0,1
44,0.605707289174461,0.1512868405572795,AL,2022-07-25,1,1,1,1,0,0,1,1
45,0.627058045136957,0.1590657816008145,AL,2022-07-26,1,1,1,1,1,0,0,1
46,0.607016560348795,0.26047380621043,AL,2022-07-27,1,1,1,1,0,0,1,1
47,1.20196560548833,0.0921874275274025,AL,2022-07-28,1,1,1,1,1,0,0,1
48,1.14266449738329,0.110155543085027,AL,2022-07-29,1,1,1,1,0,0,1,1
49,4.69342005012288,0.2530747324631165,AL,2022-07-30,0,0,1,1,0,0,0,1
50,1.58159750008276,0.220277398941761,AL,2022-07-31,0,0,1,1,0,0,1,1
51,0.72975520744935,0.121900990877408,AL,2022-08-01,1,1,1,1,0,0,0,1
52,2.32579062134387,0.1934824933548895,AL,2022-08-02,0,0,1,1,0,0,1,1
53,0.492535677256126,0.1097478762455145,AL,2022-08-03,1,1,1,1,0,0,1,1
54,3.53020556557059,0.2544643590593655,AL,2022-08-04,0,0,1,1,0,1,0,1
55,4.94369958953165,0.2393605974549665,AL,2022-08-05,0,0,1,1,0,0,1,1
56,4.54838842942001,0.2167558109520765,AL,2022-08-06,0,0,1,1,0,0,0,1
57,1.13652195172651,0.1504738488980325,AL,2022-08-07,0,1,1,1,0,0,1,1
58,2.43931958936179,0.169492931025497,AL,2022-08-08,0,0,1,1,0,0,1,1
59,0.810800917931599,0.01025891724039985,AL,2022-08-09,1,1,1,1,0,0,1,1
60,2.85892492635925,0.184413124853979,AL,2022-08-10,0,0,1,1,0,0,1,1
61,0.5388562564353,0.1709151605378805,AL,2022-08-11,1,1,1,1,0,0,1,1
62,6.72712778837636,0.3435145156519325,AL,2022-08-12,0,0,1,1,0,0,0,1
63,0.298291386198634,0.090131430920642,AL,2022-08-13,1,1,1,1,0,0,1,1
