...1,es_score,brier_score,location,target_date,X22F_50_CI,X23A_50_CI,X23B_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22F_95_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
78,NA,NA,AL,2023-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,0.0710874952478324,0.04293370024882985,AL,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1
80,NA,NA,AL,2023-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.105992138574697,0.0659206236767675,AL,2023-04-05,1,1,1,1,1,1,1,0,1,0,1,1
82,2.15090693750186,0.78443989831318,AL,2023-04-06,1,0,1,1,0,1,1,0,1,1,0,1
83,NA,NA,AL,2023-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0.478098049924958,0.118451665486054,AL,2023-04-08,1,1,1,1,1,1,1,0,0,1,1,1
85,0.79162194612292,0.2800292969607955,AR,2023-02-26,1,1,1,1,1,0,1,1,1,1,1,1
86,12.8419233754992,0.459429812434177,AR,2023-02-27,1,0,1,1,0,0,1,0,1,0,0,0
87,3.62978402249511,0.501116014909125,AR,2023-02-28,1,0,1,1,0,0,1,0,1,1,0,0
88,0.162371936600654,0.00667721482750825,AR,2023-03-01,1,1,1,1,1,1,1,1,1,1,1,1
89,0.505670833124039,0.1272194034720205,AR,2023-03-02,1,1,1,1,1,1,1,1,1,1,1,1
90,0.0291175056923803,0.00548397574681605,AR,2023-03-03,1,1,1,1,1,1,1,1,1,1,1,1
91,0.00774004738034251,0.00498678071777789,AR,2023-03-04,1,1,1,1,1,1,1,1,1,1,1,1
92,0.0232594199647145,0.004547692623869075,AR,2023-03-05,1,1,1,1,1,1,1,1,1,1,1,1
93,0.304334641389487,0.00416144443178828,AR,2023-03-06,1,1,1,1,1,1,1,0,1,1,1,0
94,0.185013507040729,0.00382342898209371,AR,2023-03-07,1,1,1,1,1,1,1,0,1,1,0,0
95,1.45157404413682,0.2050015138846165,AR,2023-03-08,1,0,1,1,0,1,1,0,1,1,0,0
96,0.0601159736584238,0.00327687839605894,AR,2023-03-09,1,1,1,1,1,1,1,1,1,1,1,1
97,0.0622273671979894,0.00306233844599935,AR,2023-03-10,1,1,1,1,1,1,1,0,1,1,1,0
98,1.21346158168153,0.4632111577574815,AR,2023-03-11,1,0,1,0,1,1,1,0,1,0,1,1
99,1.27482164501894,0.90546230723504,AR,2023-03-12,1,0,1,1,1,0,1,0,1,1,1,0
100,0.0136901348924409,0.00263198088047066,AR,2023-03-13,1,1,1,1,1,1,1,1,1,1,1,1
101,1.12912535150871,0.2366100947544625,AR,2023-03-14,1,0,1,1,0,1,1,1,1,1,0,0
102,0.0139377783795018,0.002520916896106075,AR,2023-03-15,1,1,1,1,1,1,1,0,0,1,1,1
103,0.0126410234312398,0.002523108485518295,AR,2023-03-16,1,1,1,1,1,1,1,1,1,1,1,1
104,0.924763072253563,0.1850765462539125,AR,2023-03-17,1,1,1,1,1,0,1,0,1,1,1,0
105,1.20073986852515,0.4590975016464695,AR,2023-03-18,1,0,1,1,1,0,1,0,1,1,1,0
106,NA,NA,AR,2023-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.037094590388186,0.003052983806658995,AR,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1
108,0.408292973354009,0.003372714866070305,AR,2023-03-21,1,1,1,1,1,1,1,1,1,1,1,1
109,1.28950013247482,0.00380515711694499,AR,2023-03-22,1,0,1,1,1,1,1,0,0,1,1,1
110,0.0253217347516489,0.004380211655048255,AR,2023-03-23,1,1,1,1,1,1,1,1,1,1,1,1
111,0.0288122780505918,0.00513681829332115,AR,2023-03-24,1,1,1,1,1,1,1,1,1,1,1,1
112,NA,NA,AR,2023-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1.16915128108546,0.457034265188891,AR,2023-03-26,1,0,1,1,0,1,1,0,1,1,0,1
114,0.0156860183964866,0.0090713453649848,AR,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1
115,1.95716647478475,0.300783467066302,AR,2023-03-28,1,0,1,1,1,0,1,0,0,1,1,0
116,1.38916296585793,0.01395490727238125,AR,2023-03-29,1,0,1,1,1,1,1,0,0,1,1,0
117,0.0955440714188152,0.0174519250244601,AR,2023-03-30,1,1,1,1,1,1,1,0,0,1,1,1
118,NA,NA,AR,2023-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,0.188699038532599,0.0343815317192467,AR,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1
121,0.0748555258633443,0.04293370024882985,AR,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1
122,1.36406620668973,0.053362202694359,AR,2023-04-04,1,0,0,1,1,1,1,0,0,1,1,1
123,0.306756786823097,0.0659206236767675,AR,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.15987714011153,0.0983082514053825,AR,2023-04-07,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2023-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.82378283999046,0.156756574476578,AZ,2023-02-26,1,0,1,1,0,1,1,0,1,1,0,1
128,3.62198698574558,0.1039784751962715,AZ,2023-02-27,0,1,1,1,1,0,0,0,1,0,0,0
129,0.874898784613219,0.078420316516876,AZ,2023-02-28,1,1,1,1,1,1,0,0,0,0,1,0
130,4.1226240297351,0.194016507801703,AZ,2023-03-01,0,0,1,1,0,1,0,0,1,0,0,0
131,2.26596406154798,0.2152618131399085,AZ,2023-03-02,0,0,1,0,0,1,0,0,1,0,0,0
