"","es_score","brier_score","location","target_date","X22F_50_CI","X23A_50_CI","X23D_50_CI","X23E_50_CI","X23F_50_CI","X23G_50_CI","X23H_50_CI","recombinant_50_CI","other_50_CI","X23B_50_CI","X22F_95_CI","X23A_95_CI","X23D_95_CI","X23E_95_CI","X23F_95_CI","X23G_95_CI","X23H_95_CI","recombinant_95_CI","other_95_CI","X23B_95_CI"
"83",NA,NA,"AL",2023-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,"AL",2023-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",NA,NA,"AR",2023-09-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",NA,NA,"AR",2023-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",2.18089970970925,0.718324412662864,"AR",2023-09-05,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0
"88",0.757679826216121,0.812533800167042,"AR",2023-09-06,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
"89",0.827807346607026,0.858436993565723,"AR",2023-09-07,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
"90",1.64373168364344,0.847923407623277,"AR",2023-09-08,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
"91",NA,NA,"AR",2023-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",NA,NA,"AR",2023-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",2.45902595444986,0.848314763675075,"AR",2023-09-11,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0
"94",0.91901782313911,0.661548989701653,"AR",2023-09-12,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
"95",1.10741583255347,1.0772781198753,"AR",2023-09-13,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
"96",0.747281929786045,1.04614687032115,"AR",2023-09-14,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"97",0.907698352091993,0.526707827047708,"AR",2023-09-15,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
"98",NA,NA,"AR",2023-09-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",NA,NA,"AR",2023-09-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",0.533635428247473,0.749490461270587,"AR",2023-09-18,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"101",1.02720272918519,0.761908735518091,"AR",2023-09-19,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0
"102",2.00779071400469,0.949616864178926,"AR",2023-09-20,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1
"103",1.64533819835223,0.927130675494344,"AR",2023-09-21,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,0
"104",NA,NA,"AR",2023-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",NA,NA,"AR",2023-09-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",NA,NA,"AR",2023-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",NA,NA,"AR",2023-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",0.563237534362871,0.800282376756927,"AR",2023-09-26,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"109",0.306875306156644,0.431039861536235,"AR",2023-09-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"110",0.576906818045916,0.689987863635637,"AR",2023-09-28,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
"111",2.35563623796571,0.740040648258093,"AR",2023-09-29,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
"112",NA,NA,"AR",2023-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",NA,NA,"AR",2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",3.58305419230526,0.842333343051,"AR",2023-10-02,1,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0
"115",2.07493434558857,0.84959268566705,"AR",2023-10-03,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
"116",2.06201919922274,0.990816734080003,"AR",2023-10-04,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0
"117",4.10914516485995,0.846143765887021,"AR",2023-10-05,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0
"118",0.625343769396444,0.871693565572027,"AR",2023-10-06,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"119",0.62858118709399,0.87914883425913,"AR",2023-10-07,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
