...1,es_score,brier_score,location,target_date,X21K_50_CI,X21L_50_CI,X22B_50_CI,X22C_50_CI,X22D_50_CI,X22E_50_CI,X23B_50_CI,X23D_50_CI,other_50_CI,X23A_50_CI,X21K_95_CI,X21L_95_CI,X22B_95_CI,X22C_95_CI,X22D_95_CI,X22E_95_CI,X23B_95_CI,X23D_95_CI,other_95_CI,X23A_95_CI
56,0.0534201570376653,0.0108643443231522,AL,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,NA,NA,AL,2023-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.10330168603884,0.4434273269490925,AL,2023-04-10,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1
59,1.22728989886822,0.868804178681945,AL,2023-04-11,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
60,0.0205131252545643,0.01528756727348325,AL,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,NA,NA,AL,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0.0258253073674708,0.0183153601677308,AL,2023-04-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,0.0268533699154993,0.0200867194507132,AL,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,NA,NA,AL,2023-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.0358121016961693,0.02423810918235965,AL,2023-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,0.0366365882023639,0.0266607661663624,AL,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,0.0423632338856353,0.0293461260136128,AL,2023-04-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,NA,NA,AL,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,NA,NA,AL,2023-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,NA,NA,AL,2023-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2023-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2023-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,0.0911381444028677,0.0637389839992425,AL,2023-04-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
76,NA,NA,AL,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2023-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,AL,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,NA,NA,AL,2023-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,0.6833595987321,0.361960618887467,AL,2023-05-03,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
82,NA,NA,AL,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,NA,NA,AL,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1.1757227263239,0.4572565462165495,AR,2023-03-26,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
86,0.00687522750239909,0.00505642013138665,AR,2023-03-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
87,2.06629127950747,0.304423121263959,AR,2023-03-28,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0
88,0.737717331146641,0.0055359007078466,AR,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
89,0.0318634804233801,0.00583085741911615,AR,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
90,0.00873347583458939,0.0061665636434096,AR,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,0.00969102569332694,0.00654655206503665,AR,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
92,0.0347249798209601,0.00697486884627415,AR,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
93,0.0108213075958159,0.00745612199097905,AR,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
94,0.42214427522853,0.00799553537679725,AR,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
95,0.214258608427382,0.00859900863463145,AR,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
96,0.013286805089735,0.00927318298180755,AR,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
97,1.12972998749664,0.447733002804702,AR,2023-04-07,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0
98,NA,NA,AR,2023-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,0.055062434916055,0.01179899663456235,AR,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
100,0.136136443599558,0.01283985192232715,AR,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,0.0186729364281439,0.0139984466922687,AR,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,0.074495266376903,0.01528756727348325,AR,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,NA,NA,AR,2023-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,NA,NA,AR,2023-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,0.84388214068007,0.3925641760391045,AR,2023-04-16,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1
107,0.116484176952961,0.02423810918235965,AR,2023-04-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
108,NA,NA,AR,2023-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,NA,NA,AR,2023-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,AR,2023-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,0.0547708224231268,0.03561002458997815,AR,2023-04-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,0.346089500823807,0.03924555451953815,AR,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
113,0.0576669196650449,0.04325761499054455,AR,2023-04-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
114,0.0703822976440746,0.04767872200727335,AR,2023-04-24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
115,NA,NA,AR,2023-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2023-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,NA,NA,AR,2023-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,AR,2023-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2023-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,0.652982413980865,0.084736797577104,AR,2023-04-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
121,NA,NA,AR,2023-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,1.04838913958175,0.738006396204015,AR,2023-05-02,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
123,0.16445961629798,0.1115894955388325,AR,2023-05-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
124,NA,NA,AR,2023-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,NA,NA,AR,2023-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,NA,NA,AR,2023-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.06935358769784,0.1050507085499025,AZ,2023-03-26,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0
128,1.57362303964246,0.113284827328517,AZ,2023-03-27,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0
129,2.18287889872859,0.0472594966987809,AZ,2023-03-28,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0
130,0.651356308080342,0.0055359007078466,AZ,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
131,1.78020723545751,0.226886775720783,AZ,2023-03-30,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0
132,0.0322844826792388,0.0061665636434096,AZ,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
133,1.05741734195703,0.303786230294223,AZ,2023-04-01,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
134,0.615127423840728,0.1477915128992035,AZ,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
135,0.922403030161488,0.0530989363856445,AZ,2023-04-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
136,1.70698276163719,0.17179885676996,AZ,2023-04-04,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
137,1.14459253267202,0.084078278731332,AZ,2023-04-05,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0
138,0.153278161373295,0.00927318298180755,AZ,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
139,0.401350067800911,0.0100255130138566,AZ,2023-04-07,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
140,0.457300621115649,0.091824072111671,AZ,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
141,0.89757856956794,0.13691661205635,AZ,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
142,1.02479418006378,0.1359029280418445,AZ,2023-04-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
143,2.92228818138124,0.2111932488379485,AZ,2023-04-11,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0
144,0.0780754901661602,0.01528756727348325,AZ,2023-04-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
145,0.480064165066665,0.0167213465594549,AZ,2023-04-13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
146,0.975557141310847,0.29712717818824,AZ,2023-04-14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0
147,0.70649986304684,0.0200867194507132,AZ,2023-04-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
148,1.12624683425448,0.2464460904186775,AZ,2023-04-16,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
149,1.97961382073458,0.111750784375548,AZ,2023-04-17,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0
150,0.722982257529349,0.170270522229173,AZ,2023-04-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
151,3.77924035236183,0.061225726796388,AZ,2023-04-19,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
152,2.39168252902486,0.2340946325655965,AZ,2023-04-20,1,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0
153,0.997199586697672,0.699224587820785,AZ,2023-04-21,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
154,0.342805603700587,0.03924555451953815,AZ,2023-04-22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
155,3.58785851924186,0.091285868200304,AZ,2023-04-23,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
156,4.36972651615246,0.075666788741871,AZ,2023-04-24,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0
157,3.76393629681664,0.1496344445040245,AZ,2023-04-25,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0
158,6.32774590231424,0.1210941803982385,AZ,2023-04-26,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
159,2.44513100235219,0.109861718366361,AZ,2023-04-27,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0
160,2.00219992634616,0.0701424914501795,AZ,2023-04-28,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
161,1.17335638756675,0.0771302283739765,AZ,2023-04-29,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
162,2.26372708302966,0.2226665531993915,AZ,2023-04-30,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
163,5.69000240198592,0.141939807692137,AZ,2023-05-01,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
164,8.06406947449966,0.237983952144746,AZ,2023-05-02,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
165,8.28467821783655,0.196202205527963,AZ,2023-05-03,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0
166,4.1558390638606,0.1458802531820595,AZ,2023-05-04,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0
167,2.41765949213163,0.28496289285411053,AZ,2023-05-05,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1
168,2.7545503031352,0.1450364261887175,AZ,2023-05-06,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
169,6.49717177517594,0.1756017994382135,CA,2023-03-26,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0
170,3.26636854327772,0.097494715130042,CA,2023-03-27,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0
171,1.61919068833503,0.051881261735969,CA,2023-03-28,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0
172,9.71596128190466,0.2040674178052725,CA,2023-03-29,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0
173,1.31440546910167,0.070494261432259,CA,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
174,2.81302166151522,0.1197087403492665,CA,2023-03-31,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0
175,6.95401486030172,0.200991482134172,CA,2023-04-01,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0
176,5.59105510314479,0.169009903049274,CA,2023-04-02,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0
177,7.0821025286182,0.1580942868682985,CA,2023-04-03,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0
178,2.18120500241685,0.0810636166685135,CA,2023-04-04,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
179,6.47027558457087,0.164519212239052,CA,2023-04-05,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
180,9.99613768463759,0.205441761275596,CA,2023-04-06,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
181,3.79425971339502,0.14550607918565,CA,2023-04-07,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
182,2.95179962579423,0.131608590184032,CA,2023-04-08,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0
183,0.634563152997592,0.069117073421344,CA,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
184,10.0688905224857,0.192311312596959,CA,2023-04-10,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
185,3.885279594817,0.106951998402014,CA,2023-04-11,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0
186,8.39920986230457,0.213448393298419,CA,2023-04-12,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0
187,3.95240669869559,0.1439986388231255,CA,2023-04-13,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0
188,6.04810388592254,0.0790559108998355,CA,2023-04-14,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0
