...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23I_50_CI,X24A_50_CI,other_50_CI,X23F_50_CI,X23A_95_CI,X23B_95_CI,X23I_95_CI,X24A_95_CI,other_95_CI,X23F_95_CI
21,NA,NA,AK,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,AK,2024-01-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.0121194494621327,0.002322391324610175,AK,2024-01-23,1,1,1,1,1,1,1,1,1,0,1,0
25,NA,NA,AK,2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1.3303710769431,0.942814732752935,AK,2024-01-25,1,1,1,0,0,1,1,1,1,0,0,1
27,0.00833264748668511,0.00151125308998438,AK,2024-01-26,1,1,1,1,1,1,1,1,1,0,1,0
28,0.00188258695646853,0.00130896796831405,AK,2024-01-27,1,1,1,1,1,1,1,1,1,1,1,1
29,0.00165470058258872,0.00113357126898716,AK,2024-01-28,1,1,1,1,1,1,1,1,1,1,1,1
30,0.00137110833644939,9.8155497487081e-4,AK,2024-01-29,1,1,1,1,1,1,1,1,1,1,1,1
31,0.00123018195472771,8.4985243765695e-4,AK,2024-01-30,1,1,1,1,1,1,1,1,1,1,1,1
32,NA,NA,AK,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,7.3133226154477e-4,6.37022726841545e-4,AK,2024-02-01,1,1,1,1,1,1,1,1,1,1,1,1
34,1.3215106608457,0.484157690948311,AK,2024-02-02,1,1,1,0,0,1,1,1,1,0,0,1
35,NA,NA,AK,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,NA,NA,AK,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,NA,NA,AK,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,NA,NA,AK,2024-02-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2024-02-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,NA,NA,AL,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,AL,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0.0551231878691338,0.0387889236554911,AL,2024-01-02,1,1,1,1,1,1,1,1,1,0,0,1
46,1.64082944229334,0.73936129547421,AL,2024-01-03,0,1,1,0,1,0,0,0,1,0,1,0
47,0.0446797156953824,0.0304341770338081,AL,2024-01-04,1,1,1,1,1,1,1,1,1,1,1,1
48,NA,NA,AL,2024-01-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,NA,NA,AL,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0.84294311285393,0.2845932503489825,AL,2024-01-07,1,1,1,1,0,1,1,1,1,0,0,1
51,NA,NA,AL,2024-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,NA,NA,AL,2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,NA,NA,AL,2024-01-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,NA,NA,AL,2024-01-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,NA,NA,AL,2024-01-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,AL,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0.0100197313507134,0.00715955476569695,AL,2024-01-15,1,1,1,1,1,1,1,1,1,1,1,1
59,NA,NA,AL,2024-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,NA,NA,AL,2024-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1.08039425364454,0.439953982195486,AL,2024-01-18,1,1,1,0,1,0,1,1,1,0,1,0
62,NA,NA,AL,2024-01-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,NA,NA,AL,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,NA,NA,AL,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0.00390867415011559,0.00267828065599947,AL,2024-01-22,1,1,1,1,1,1,1,1,1,1,1,1
66,NA,NA,AL,2024-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,NA,NA,AL,2024-01-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,NA,NA,AL,2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1.31468890517973,0.92837659183214,AL,2024-01-26,1,1,1,0,1,0,1,1,1,0,1,0
70,NA,NA,AL,2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,NA,NA,AL,2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,NA,NA,AL,2024-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,NA,NA,AL,2024-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,NA,NA,AL,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,8.0966555104555e-4,6.37022726841545e-4,AL,2024-02-01,1,1,1,1,1,1,1,1,1,1,1,1
76,NA,NA,AL,2024-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,NA,NA,AL,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,NA,AL,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1.36286526397634,0.96503423337715,AL,2024-02-05,1,1,1,0,1,0,1,1,1,0,1,0
80,NA,NA,AL,2024-02-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1.38415704111672,0.977537727106045,AL,2024-02-07,1,1,1,0,0,1,1,1,1,0,0,1
82,3.2572166850499e-4,2.3280407422521e-4,AL,2024-02-08,1,1,1,1,1,1,1,1,1,1,1,1
83,NA,NA,AL,2024-02-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,NA,NA,AL,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,AR,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,NA,NA,AR,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,0.0570279921156053,0.0387889236554911,AR,2024-01-02,1,1,1,1,1,1,1,1,1,1,1,1
88,0.318940475045361,0.03439254298884885,AR,2024-01-03,1,1,1,1,1,1,1,1,1,1,1,1
89,1.61888935554853,0.3291255513020455,AR,2024-01-04,1,1,1,1,0,1,1,1,1,0,0,1
90,0.0351313841377588,0.026880925186856,AR,2024-01-05,1,1,1,1,1,1,1,1,1,1,1,1
91,NA,NA,AR,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,NA,NA,AR,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,NA,NA,AR,2024-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,NA,NA,AR,2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1.18832980014783,0.843159347710035,AR,2024-01-10,1,1,1,0,0,1,1,1,1,0,0,1
96,0.0605846268950997,0.0123390007875321,AR,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1
97,1.05598283972828,0.4362336032167435,AR,2024-01-12,1,1,1,0,0,1,1,0,1,1,0,1
98,NA,NA,AR,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,AR,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2024-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2024-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,NA,NA,AR,2024-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,NA,NA,AR,2024-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,0.00611774643706814,0.004096912842954495,AR,2024-01-19,1,1,1,1,1,1,1,1,1,1,1,1
105,NA,NA,AR,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2024-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0.00368553953520158,0.00267828065599947,AR,2024-01-22,1,1,1,1,1,1,1,1,1,1,1,1
108,NA,NA,AR,2024-01-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0.00966151816088556,0.002013079075895865,AR,2024-01-24,1,1,1,1,1,1,1,1,1,1,1,1
110,NA,NA,AR,2024-01-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,NA,NA,AR,2024-01-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,AR,2024-01-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-01-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-01-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-01-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,NA,NA,AR,2024-01-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,9.571255995114e-4,6.37022726841545e-4,AR,2024-02-01,1,1,1,1,1,1,1,1,1,1,1,1
118,NA,NA,AR,2024-02-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,NA,NA,AR,2024-02-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-02-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-02-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,4.7862643935891e-4,3.10160622848925e-4,AR,2024-02-06,1,1,1,1,1,1,1,1,1,1,1,1
123,3.4849050694358e-4,2.6868665064207e-4,AR,2024-02-07,1,1,1,1,1,1,1,1,1,1,1,1
124,0.00127222777106058,2.3280407422521e-4,AR,2024-02-08,1,1,1,1,1,1,1,1,1,1,1,1
125,0.00105012698331066,2.0175804473984e-4,AR,2024-02-09,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2024-02-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,0.474207301189191,0.1462378882624175,AZ,2023-12-31,1,1,1,1,1,1,1,1,1,1,0,0
128,4.57341752241589,0.314746120173251,AZ,2024-01-01,0,1,1,0,1,1,0,1,0,1,1,0
129,8.37669118012745,0.3140132324218475,AZ,2024-01-02,1,1,1,0,0,0,0,1,0,0,0,0
130,1.7221430102388,0.344594479825531,AZ,2024-01-03,1,0,1,0,1,1,1,1,1,0,0,0
131,0.728461858175636,0.2171162859514565,AZ,2024-01-04,1,1,1,1,0,1,1,1,1,0,0,1
132,0.566191582852114,0.257200759806177,AZ,2024-01-05,1,1,1,1,1,1,1,1,1,0,1,0
133,0.442918524045214,0.112419392881224,AZ,2024-01-06,1,1,1,1,1,1,1,1,1,0,1,0
134,0.57651910569141,0.0208613771236504,AZ,2024-01-07,1,1,1,1,1,1,1,1,1,0,1,0
135,0.778755128233427,0.161694753002037,AZ,2024-01-08,1,1,1,1,1,1,1,1,1,0,0,0
136,1.3822470152502,0.187054269806756,AZ,2024-01-09,1,1,1,1,1,1,1,1,0,0,0,0
137,0.0709560605659075,0.01409853381294545,AZ,2024-01-10,1,1,1,1,1,1,1,1,1,1,1,1
138,2.9645368673803,0.3691797623933875,AZ,2024-01-11,1,1,1,0,0,0,1,1,1,0,0,0
139,1.38848207903433,0.2405120026876425,AZ,2024-01-12,1,1,1,0,1,0,1,1,1,0,1,0
140,0.86787477200251,0.155365391832976,AZ,2024-01-13,1,0,1,1,1,1,1,0,1,0,1,1
141,3.55245103043622,0.269848260767187,AZ,2024-01-14,1,1,1,0,1,0,1,1,1,0,0,0
142,3.56791831118044,0.177956764681453,AZ,2024-01-15,0,0,1,0,0,1,0,0,0,0,0,1
143,0.0323732597896179,0.00623393908971205,AZ,2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1
144,2.64070202601672,0.1880964927478295,AZ,2024-01-17,1,0,1,0,1,0,0,0,1,0,1,0
145,1.05603878370569,0.232809391112154,AZ,2024-01-18,1,0,1,1,1,1,1,0,1,1,1,0
146,0.0733432188951519,0.004096912842954495,AZ,2024-01-19,1,1,1,1,1,1,1,1,1,0,1,0
147,0.918953495944214,0.2254433429519895,AZ,2024-01-20,1,1,1,0,1,0,1,1,1,1,1,1
148,4.42998304972452,0.214884521010073,AZ,2024-01-21,1,1,0,0,0,1,1,1,0,0,0,0
149,0.748582046619239,0.0541611621095865,AZ,2024-01-22,1,1,1,1,0,1,1,1,0,1,0,1
150,0.942831604248942,0.075060016899024,AZ,2024-01-23,1,1,1,1,1,0,1,1,1,0,1,0
151,3.58953332480477,0.37295214264041,AZ,2024-01-24,0,1,1,0,0,0,0,1,1,0,0,0
152,0.0193644379065794,0.001744433616728365,AZ,2024-01-25,1,1,1,1,1,1,1,1,1,1,1,1
153,1.2658507321584,0.4741223457949235,AZ,2024-01-26,1,1,1,0,0,1,1,1,1,0,0,1
154,1.94892249802721,0.1360887178799615,AZ,2024-01-27,1,1,0,0,0,1,1,1,0,0,0,0
155,0.00137641163733664,0.00113357126898716,AZ,2024-01-28,1,1,1,1,1,1,1,1,1,1,1,1
156,2.62913645718765,0.118626871242037,AZ,2024-01-29,1,1,1,0,1,0,1,1,1,0,1,0
157,1.66093777430919,0.1003540222637225,AZ,2024-01-30,1,1,1,0,1,0,1,1,0,1,1,0
158,0.919904768818603,0.0694521296132095,AZ,2024-01-31,1,1,1,1,0,1,1,1,1,0,0,0
