...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23B_50_CI,X23C_50_CI,X23D_50_CI,X23E_50_CI,X23F_50_CI,X23G_50_CI,other_50_CI,X23A_50_CI,X22E_95_CI,X22F_95_CI,X23B_95_CI,X23C_95_CI,X23D_95_CI,X23E_95_CI,X23F_95_CI,X23G_95_CI,other_95_CI,X23A_95_CI
551,NA,NA,ID,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
552,NA,NA,ID,2023-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
553,NA,NA,ID,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
554,NA,NA,ID,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
555,NA,NA,ID,2023-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
556,NA,NA,ID,2023-06-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
557,NA,NA,ID,2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
558,NA,NA,ID,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
559,NA,NA,ID,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
560,NA,NA,ID,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
561,NA,NA,ID,2023-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
562,NA,NA,ID,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
563,NA,NA,ID,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
564,NA,NA,ID,2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,NA,NA,ID,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,NA,NA,ID,2023-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
567,NA,NA,ID,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
568,NA,NA,ID,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
569,NA,NA,ID,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
570,NA,NA,ID,2023-07-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
571,NA,NA,ID,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
572,NA,NA,ID,2023-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
573,NA,NA,ID,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
574,NA,NA,ID,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
575,NA,NA,ID,2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
576,NA,NA,ID,2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
577,NA,NA,ID,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
578,NA,NA,ID,2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
579,NA,NA,ID,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
580,NA,NA,ID,2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
581,NA,NA,ID,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
582,NA,NA,ID,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
583,NA,NA,ID,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
584,NA,NA,ID,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
585,NA,NA,ID,2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
586,NA,NA,ID,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,NA,NA,ID,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
588,NA,NA,ID,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
589,0.416080750208775,0.289175740210568,IL,2023-06-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
590,1.98294193361169,0.4170719800401475,IL,2023-06-19,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
591,1.62716766574958,0.3779886798319335,IL,2023-06-20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
592,0.855561368759608,0.377045778004422,IL,2023-06-21,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
593,NA,NA,IL,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
594,0.463887857873127,0.3287828652420805,IL,2023-06-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
595,1.02080029325684,0.304427962533183,IL,2023-06-24,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
596,NA,NA,IL,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,1.69122700576992,0.4457751873793755,IL,2023-06-26,1,0,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0
598,1.34237094419281,0.488583596557734,IL,2023-06-27,1,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0
599,0.407046004477103,0.2854085092746045,IL,2023-06-28,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
600,3.16977829862005,0.463420604755374,IL,2023-06-29,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0
601,0.98739583313643,0.375689608990439,IL,2023-06-30,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
602,0.528334101764083,0.3318809997919145,IL,2023-07-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
603,0.747856510627278,0.524818339908005,IL,2023-07-02,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
604,1.27145284601504,0.377787678228924,IL,2023-07-03,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
605,0.40038555359813,0.262734766016726,IL,2023-07-04,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
606,1.88693684356908,0.465042971438838,IL,2023-07-05,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0
607,NA,NA,IL,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
608,1.3339109072153,0.4380186481538135,IL,2023-07-07,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
609,1.32798797533478,0.4401917977338895,IL,2023-07-08,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0
610,0.619722341358146,0.446806477193025,IL,2023-07-09,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0
611,1.80932034917209,0.4151672321192035,IL,2023-07-10,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0
612,1.28012697196984,0.4021011322472365,IL,2023-07-11,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0
613,0.783539754307265,0.409758741730119,IL,2023-07-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
614,2.03007586157997,0.4487586680955435,IL,2023-07-13,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,0,1,0
615,2.52871201433518,0.42538857186308,IL,2023-07-14,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0
616,1.0794159291808,0.4725619465789955,IL,2023-07-15,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0
617,1.55288189882673,0.4697253421517425,IL,2023-07-16,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0
618,1.48850669073649,0.355046367100647,IL,2023-07-17,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
619,2.35745175070756,0.435581735393076,IL,2023-07-18,1,1,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0
620,0.763405664326022,0.3780235349823315,IL,2023-07-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
621,2.83550753986319,0.4970640155033095,IL,2023-07-20,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0
622,1.74673251110947,0.4239769963042725,IL,2023-07-21,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0
623,2.08853579744718,0.4454773890746765,IL,2023-07-22,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0
624,1.1902333395671,0.4584908552877575,IL,2023-07-23,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0
625,2.37296956998637,0.350506080962463,IL,2023-07-24,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0
626,3.1864995270912,0.4176551529059745,IL,2023-07-25,1,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0
627,3.38522886243715,0.50701662262147,IL,2023-07-26,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,0
628,2.45697823018294,0.4949253281336635,IL,2023-07-27,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,0
629,3.25781183115548,0.441460967395371,IL,2023-07-28,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0
630,2.86391674347378,0.527881302982165,IL,2023-07-29,1,1,0,1,0,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0
631,0.467124812807357,0.3138701869862345,IN,2023-06-18,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
632,NA,NA,IN,2023-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
633,0.478573187725992,0.315735659759102,IN,2023-06-20,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
634,NA,NA,IN,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,1.04178795210537,0.3208668386817755,IN,2023-06-22,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0
636,0.656055131410662,0.3695844887702045,IN,2023-06-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
637,NA,NA,IN,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
638,NA,NA,IN,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
639,0.772002241444092,0.546678422244395,IN,2023-06-26,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
640,0.514085043007003,0.360138702944547,IN,2023-06-27,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
641,0.412644494136584,0.2854085092746045,IN,2023-06-28,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
642,0.683259675735506,0.482081229338306,IN,2023-06-29,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
643,0.517558317558537,0.330072772391216,IN,2023-06-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
644,NA,NA,IN,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
645,NA,NA,IN,2023-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,NA,NA,IN,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
647,0.908804446169937,0.262734766016726,IN,2023-07-04,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
648,0.667002711010934,0.473224780302573,IN,2023-07-05,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1
649,NA,NA,IN,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
650,0.823311055022616,0.586475112602365,IN,2023-07-07,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
651,0.805596658355349,0.570103056472195,IN,2023-07-08,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
652,0.883087119907157,0.458129261311152,IN,2023-07-09,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
653,NA,NA,IN,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
654,0.639252687212518,0.459640569871797,IN,2023-07-11,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
655,1.01969742855168,0.460284835978572,IN,2023-07-12,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1
656,0.626207274212524,0.449495119607686,IN,2023-07-13,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
657,0.917087866719419,0.469663042639052,IN,2023-07-14,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
658,0.900073023997483,0.4688556863774995,IN,2023-07-15,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
659,0.342329668524278,0.2388822768197625,IN,2023-07-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
660,0.936703424111685,0.476870582355003,IN,2023-07-17,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0
661,0.953998012489456,0.4834052885669035,IN,2023-07-18,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
662,1.95276640425714,0.4732955948482505,IN,2023-07-19,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0
663,NA,NA,IN,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
664,0.662429229168181,0.4693875852433845,IN,2023-07-21,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
665,0.653737472622565,0.4721603322328275,IN,2023-07-22,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
666,NA,NA,IN,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
667,0.743846974730301,0.529753357356165,IN,2023-07-24,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
668,0.933684689988373,0.472037889493178,IN,2023-07-25,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
669,0.754759583985154,0.538615631650005,IN,2023-07-26,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0
670,NA,NA,IN,2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
671,NA,NA,IN,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
672,NA,NA,IN,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
673,NA,NA,KS,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
674,NA,NA,KS,2023-06-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
675,0.429575416442034,0.3050076551223775,KS,2023-06-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0
676,NA,NA,KS,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
677,NA,NA,KS,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
678,NA,NA,KS,2023-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,NA,NA,KS,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
680,NA,NA,KS,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
681,NA,NA,KS,2023-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
682,0.800631764648335,0.56508774044537,KS,2023-06-27,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
683,NA,NA,KS,2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
684,NA,NA,KS,2023-06-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
685,NA,NA,KS,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,NA,NA,KS,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
687,NA,NA,KS,2023-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
688,NA,NA,KS,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
689,NA,NA,KS,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
690,NA,NA,KS,2023-07-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
691,0.666293779890256,0.472129035136895,KS,2023-07-06,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
692,NA,NA,KS,2023-07-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
693,NA,NA,KS,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
694,NA,NA,KS,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
695,NA,NA,KS,2023-07-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
696,0.699325580200472,0.4869318979997625,KS,2023-07-11,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
697,NA,NA,KS,2023-07-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
698,NA,NA,KS,2023-07-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
699,NA,NA,KS,2023-07-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
700,NA,NA,KS,2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
701,NA,NA,KS,2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
702,0.838543775731075,0.2381980927685035,KS,2023-07-17,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1
703,NA,NA,KS,2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
704,NA,NA,KS,2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
705,NA,NA,KS,2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
706,NA,NA,KS,2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
707,NA,NA,KS,2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
708,NA,NA,KS,2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
709,NA,NA,KS,2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
710,NA,NA,KS,2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
711,NA,NA,KS,2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
712,0.837980069983255,0.590859995290925,KS,2023-07-27,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
713,NA,NA,KS,2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
714,NA,NA,KS,2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
715,NA,NA,KY,2023-06-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
716,0.62296267227859,0.4333754986549495,KY,2023-06-19,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
717,NA,NA,KY,2023-06-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
718,NA,NA,KY,2023-06-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
719,NA,NA,KY,2023-06-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
720,NA,NA,KY,2023-06-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,NA,NA,KY,2023-06-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,NA,NA,KY,2023-06-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
723,NA,NA,KY,2023-06-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
724,0.425277819453587,0.289874311723851,KY,2023-06-27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
725,NA,NA,KY,2023-06-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726,0.979100203800182,0.2811375472570225,KY,2023-06-29,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
727,NA,NA,KY,2023-06-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
728,NA,NA,KY,2023-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,NA,NA,KY,2023-07-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
730,NA,NA,KY,2023-07-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
731,NA,NA,KY,2023-07-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
732,0.80140702239636,0.567927757234855,KY,2023-07-05,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
733,NA,NA,KY,2023-07-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
734,0.370530557757399,0.254073734919698,KY,2023-07-07,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
735,NA,NA,KY,2023-07-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
736,NA,NA,KY,2023-07-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
