...1,es_score,brier_score,location,target_date,X22B_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22E_50_CI,X22B_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI,X22E_95_CI
1,0.217856924563029,0.256643841074864,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,1,1
2,1.11860911137974,0.3379588302085335,AK,2023-01-23,1,1,0,1,1,0,1,1,0,1,1,0
3,3.55218589982961,0.377740568556299,AK,2023-01-24,1,1,0,1,0,0,1,1,0,1,0,0
4,2.56421240983567,0.406097256929856,AK,2023-01-25,1,1,0,1,0,1,1,1,0,1,0,1
5,5.336538733854,0.369139316030134,AK,2023-01-26,1,1,0,1,1,0,1,1,0,1,1,0
6,0.878854257837402,0.323519971554478,AK,2023-01-27,0,1,1,1,1,1,1,1,1,1,1,1
7,0.613210510007444,0.4393255855204335,AK,2023-01-28,1,1,1,1,1,1,1,1,0,1,1,0
8,0.942295455226195,0.341973816595159,AK,2023-01-29,1,1,1,1,1,0,1,1,0,1,1,0
9,2.30927893875281,0.48123567029729,AK,2023-01-30,1,1,0,1,1,0,1,1,0,1,1,0
10,0.866393430058624,0.2646001462710605,AK,2023-01-31,1,1,1,1,1,1,1,1,0,1,1,0
11,0.338458504186086,0.0779842462555285,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,1,1
12,0.867537168931146,0.2279998382305925,AK,2023-02-02,1,1,1,1,1,1,1,1,0,1,1,0
13,1.00872327718188,0.3658202441313435,AK,2023-02-03,1,0,1,1,1,1,1,0,1,1,1,0
14,2.40453918528151,0.357929511174443,AK,2023-02-04,1,1,0,1,1,0,1,1,0,1,1,0
15,0.418736208141372,0.0505627248391005,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1
16,1.68643884433328,0.086406452877359,AK,2023-02-06,1,1,0,1,1,0,1,1,0,1,1,0
17,0.931460262289314,0.269256169671161,AK,2023-02-07,1,1,1,0,1,1,1,1,1,0,1,0
18,1.2589027114604,0.289450250204929,AK,2023-02-08,1,0,0,1,1,1,1,0,0,1,1,0
19,0.656052528053957,0.3546524193182935,AK,2023-02-09,1,1,1,1,1,1,1,1,0,1,1,0
20,0.907197595022035,0.02816643771675925,AK,2023-02-10,1,1,0,1,1,1,1,1,0,1,1,0
21,0.295157981279611,0.139303204337595,AK,2023-02-11,1,1,1,1,1,1,1,1,0,1,1,0
22,0.332863802014251,0.0220372294841066,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1
23,3.22399098652547,0.3309901850580995,AK,2023-02-13,1,1,0,1,0,0,1,0,0,1,0,0
24,1.22265039090007,0.2637599284767715,AK,2023-02-14,1,1,0,1,1,0,1,1,0,1,1,0
25,1.48656179475935,0.3174596521078125,AK,2023-02-15,1,1,0,1,1,0,1,1,0,1,1,0
26,0.524243568550898,0.01327615370591015,AK,2023-02-16,1,1,1,1,1,1,1,1,0,1,1,0
27,0.34460638201851,0.123876568999428,AK,2023-02-17,1,1,1,1,1,1,1,1,0,1,1,0
28,0.625202173311565,0.210004424241818,AK,2023-02-18,1,1,1,1,1,1,1,1,0,1,1,0
