...1,es_score,brier_score,location,target_date,X22B_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,other_50_CI,X22E_50_CI,X22B_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,other_95_CI,X22E_95_CI
1,0.475301825034193,0.0585012481590045,AK,2023-02-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1.95491851157138,0.091576337490945,AK,2023-02-06,1,1,0,1,1,1,0,1,1,0,0,1,1,0
3,0.88135545420088,0.2669507192640125,AK,2023-02-07,1,1,1,0,1,1,1,1,1,1,0,1,1,0
4,1.13866661491828,0.285049023023799,AK,2023-02-08,1,0,1,1,1,1,1,1,0,0,0,1,1,0
5,0.598206898177492,0.3447775963227025,AK,2023-02-09,1,1,1,1,1,1,1,0,1,1,1,1,1,0
6,1.01261338253795,0.03396929442865335,AK,2023-02-10,1,1,0,1,1,1,1,1,1,1,1,1,1,1
7,0.298671188745934,0.139466082717674,AK,2023-02-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.394559735172108,0.0270435316030141,AK,2023-02-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,2.97834553374778,0.323749511945785,AK,2023-02-13,1,1,0,1,1,0,0,1,1,0,1,1,0,1
10,1.11701347881696,0.258107059088044,AK,2023-02-14,1,1,0,1,1,1,0,1,1,0,1,1,1,0
11,1.38474542342346,0.309736365254638,AK,2023-02-15,1,1,0,1,1,1,0,1,1,1,1,1,1,1
12,0.611200580558579,0.0168910640825166,AK,2023-02-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.329484984399606,0.123222760057653,AK,2023-02-17,1,1,1,1,1,1,1,1,1,0,1,1,1,0
14,0.552323879879241,0.206273552128067,AK,2023-02-18,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.898867042861236,0.4045311078492005,AK,2023-02-19,1,1,0,1,1,1,0,1,1,1,1,1,1,1
16,0.596605615835412,0.116840692115196,AK,2023-02-20,1,1,1,1,1,1,1,1,0,0,0,1,1,0
17,0.358834193263268,0.110497188002813,AK,2023-02-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,NA,NA,AK,2023-02-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.130327346965238,0.00715910777037895,AK,2023-02-23,1,1,1,1,1,1,1,1,1,1,1,1,1,1
