...1,es_score,brier_score,location,target_date,X23A_50_CI,X23B_50_CI,X23D_50_CI,X23E_50_CI,X23H_50_CI,X23I_50_CI,X24A_50_CI,recombinant_50_CI,other_50_CI,X23F_50_CI,X23A_95_CI,X23B_95_CI,X23D_95_CI,X23E_95_CI,X23H_95_CI,X23I_95_CI,X24A_95_CI,recombinant_95_CI,other_95_CI,X23F_95_CI
99,NA,NA,AR,2023-12-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,NA,NA,AR,2023-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,AR,2023-12-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,0.836046141363324,0.3917162788291975,AR,2023-12-27,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0
103,2.36936981022426,0.4731911885615675,AR,2023-12-28,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
104,NA,NA,AR,2023-12-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,NA,NA,AR,2023-12-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,NA,NA,AR,2023-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,NA,NA,AR,2024-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,0.037436990646526,0.02907823424980645,AR,2024-01-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
109,0.228753945867164,0.02555820691113215,AR,2024-01-03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
110,1.40650573771008,0.342507547171672,AR,2024-01-04,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
111,0.0263815458415902,0.0196378480034698,AR,2024-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
112,NA,NA,AR,2024-01-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,NA,NA,AR,2024-01-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,NA,NA,AR,2024-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,NA,NA,AR,2024-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1.25425903636449,0.884969604930925,AR,2024-01-10,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1
117,0.0429778983390207,0.0085949451175678,AR,2024-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,1.16110192183283,0.4532520401517325,AR,2024-01-12,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1
119,NA,NA,AR,2024-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,AR,2024-01-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,NA,NA,AR,2024-01-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,NA,NA,AR,2024-01-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,AR,2024-01-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,AR,2024-01-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0.00409355428798772,0.002701027678567545,AR,2024-01-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
126,NA,NA,AR,2024-01-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,1.238382840905,0.4949614244380355,AZ,2023-12-10,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,0
128,2.82685196165534,0.4255399076542925,AZ,2023-12-11,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0
129,5.12273466545328,0.53055777473865,AZ,2023-12-12,1,0,0,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,1,1
130,5.36863085729479,0.4776967288260935,AZ,2023-12-13,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0
131,3.11428221844498,0.46305585433896,AZ,2023-12-14,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0
132,1.7273380352305,0.4188550561553605,AZ,2023-12-15,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0
133,1.49034686828553,0.37518466818104,AZ,2023-12-16,1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0
134,3.2124075426989,0.33690204647292,AZ,2023-12-17,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
135,10.8145715396455,0.452463025676058,AZ,2023-12-18,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0
136,2.27740229207952,0.3531803305833945,AZ,2023-12-19,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0
137,1.20344727440284,0.3510773929899405,AZ,2023-12-20,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0
138,3.65285493183526,0.4764236830997625,AZ,2023-12-21,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0,1,1,1
139,1.51185550512773,0.4246171928780195,AZ,2023-12-22,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0
140,2.25531200332542,0.464489103273716,AZ,2023-12-23,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0
141,2.28886169684144,0.3304763948395935,AZ,2023-12-24,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0
142,1.42759011383524,0.318681694823997,AZ,2023-12-25,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1
143,2.45144767599389,0.300002129298418,AZ,2023-12-26,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0
144,2.36670084871299,0.3289226083386485,AZ,2023-12-27,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,0
145,1.8731094928993,0.351504136778444,AZ,2023-12-28,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,1,0
146,1.05998195088787,0.374272689740077,AZ,2023-12-29,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
147,0.187454058293362,0.0423026165152801,AZ,2023-12-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
148,0.40883123412,0.1428175738427365,AZ,2023-12-31,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0
149,5.70458096227131,0.3232235654272535,AZ,2024-01-01,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0
150,9.10193706346559,0.325657299826384,AZ,2024-01-02,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0
151,2.04808600930226,0.354801760581483,AZ,2024-01-03,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0
152,0.797704166544601,0.2202608648344125,AZ,2024-01-04,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
153,0.646084156981854,0.264357887376098,AZ,2024-01-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
154,0.391469026792009,0.1111118850574,AZ,2024-01-06,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0
155,0.437756084822212,0.01499089048548555,AZ,2024-01-07,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0
156,1.12357901776672,0.1644116975864795,AZ,2024-01-08,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0
157,1.85893784429131,0.189762434886114,AZ,2024-01-09,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0
158,0.0471829043914462,0.0098949728979921,AZ,2024-01-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
159,3.30871584578683,0.381519193947933,AZ,2024-01-11,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0
160,1.58120740193961,0.2465412728175895,AZ,2024-01-12,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
161,0.899022520245255,0.155898615879254,AZ,2024-01-13,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
162,4.04009457238758,0.2770091679434,AZ,2024-01-14,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,0
163,4.28926497136778,0.180642440622762,AZ,2024-01-15,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
164,0.0224570366088691,0.004191168418014185,AZ,2024-01-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
165,3.22035493924253,0.1914343480548925,AZ,2024-01-17,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0
166,1.10200420585819,0.235207762050059,AZ,2024-01-18,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
167,0.0526829212971329,0.002701027678567545,AZ,2024-01-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
168,0.992060862206255,0.2296665650486395,AZ,2024-01-20,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0
169,2.52042931564372,0.4052257891407105,CA,2023-12-10,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,1,0,1,0,1
170,5.17609636249139,0.3675634843935585,CA,2023-12-11,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0
171,3.39074798335747,0.3525168903377315,CA,2023-12-12,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
172,11.1753995310391,0.38949687975396,CA,2023-12-13,1,0,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0
173,1.7651261975489,0.3624925799128065,CA,2023-12-14,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1
174,2.49808018686863,0.3910634900653715,CA,2023-12-15,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0
175,1.71688380066898,0.296861890909268,CA,2023-12-16,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0
176,0.624809519644848,0.255775627528614,CA,2023-12-17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177,1.98425912987697,0.314745768586149,CA,2023-12-18,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0
178,1.63274985625433,0.3164665118888125,CA,2023-12-19,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0
179,1.90105500727525,0.3431979834217345,CA,2023-12-20,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0
180,4.22564627708985,0.315487126692935,CA,2023-12-21,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1
181,1.95262611212954,0.260780622264458,CA,2023-12-22,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,0
182,0.848329145354626,0.302806279714827,CA,2023-12-23,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0
183,1.21632296168112,0.188462776134215,CA,2023-12-24,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0
184,0.871051135115628,0.3989244600726835,CA,2023-12-25,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
185,1.97110828327973,0.2840034463936885,CA,2023-12-26,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1
