...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,0.268439739140814,0.1688808774122205,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
2,0.996862206938893,0.3150714641924615,AK,2023-01-09,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1
3,1.67758336352287,0.219778349501056,AK,2023-01-10,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0
4,1.57840064898069,0.329663806432804,AK,2023-01-11,1,0,1,1,0,1,1,1,0,0,1,1,0,1,1,0
5,1.79921356271328,0.211065662853324,AK,2023-01-12,1,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1
6,1.10522666338171,0.2559617381667935,AK,2023-01-13,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0
7,0.341886227535168,0.236856338004824,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.349730205485851,0.25077975569861,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.993099607505393,0.2658218206967135,AK,2023-01-16,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
10,3.25075538295957,0.30107766249041,AK,2023-01-17,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1
11,2.46607746788812,0.323126879520208,AK,2023-01-18,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1
12,0.549217506554263,0.2502372469368655,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
13,3.01676280860263,0.300521796086919,AK,2023-01-20,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1
14,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.32197459210474,0.269466568263591,AK,2023-01-22,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
16,1.09960088342449,0.3771198199163615,AK,2023-01-23,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1
17,3.24458529072882,0.399644947570552,AK,2023-01-24,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1
18,1.96844789614676,0.4141358150860055,AK,2023-01-25,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0
19,4.77114890436523,0.393982678352562,AK,2023-01-26,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1,1
20,0.727540813446215,0.3170495143863075,AK,2023-01-27,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
21,0.575529199727353,0.458758998465187,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.874019272348814,0.352275612152111,AK,2023-01-29,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
23,1.97896427211198,0.4901347086998335,AK,2023-01-30,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1
24,1.10574802689581,0.269792173446554,AK,2023-01-31,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1
25,0.468827933562002,0.086581235287508,AK,2023-02-01,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
