...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
161,0.927084892201587,0.308628580665114,AZ,2023-04-01,0,1,1,1,1,1,0,1,1,0,1,1
162,1.29107009899411,0.212500319662999,AZ,2023-04-02,1,1,1,1,1,1,0,0,0,1,1,1
163,6.84628957861409,0.2293544180830585,AZ,2023-04-03,1,1,0,0,0,1,0,1,0,0,0,0
164,5.47182509563874,0.277496563285417,AZ,2023-04-04,1,1,0,1,1,1,0,1,0,0,0,0
165,8.99307761402367,0.2955998833247505,AZ,2023-04-05,1,1,0,0,0,1,0,1,0,0,0,0
166,1.79694402610216,0.295445524163027,AZ,2023-04-06,1,1,0,1,1,1,1,1,0,0,1,1
167,3.48803177002651,0.326549588233855,AZ,2023-04-07,1,1,0,0,1,1,1,0,0,0,1,1
168,4.21245064405259,0.3414983624851385,AZ,2023-04-08,1,1,0,1,1,1,1,1,0,0,0,0
169,1.39061380247665,0.1462026489421285,CA,2023-02-26,1,1,1,1,1,1,0,0,0,0,1,0
170,7.72558604030893,0.1887264468115585,CA,2023-02-27,0,1,0,1,1,1,0,0,0,0,1,1
171,5.79681396237408,0.169932284996602,CA,2023-02-28,0,0,0,0,0,0,0,1,0,0,0,0
172,3.5613430246777,0.1557179083038105,CA,2023-03-01,0,1,1,1,1,0,0,0,0,0,1,0
173,2.79164367840806,0.139081591184237,CA,2023-03-02,1,1,1,1,1,1,0,0,0,0,1,0
174,4.8172104342694,0.153147677778126,CA,2023-03-03,0,1,1,0,1,0,0,1,0,0,1,1
175,4.2027513603521,0.131760099386659,CA,2023-03-04,0,1,1,0,1,1,0,0,0,0,1,0
176,5.22500933341694,0.060956090994336,CA,2023-03-05,0,1,0,1,1,1,0,0,0,0,1,0
177,3.54682271933091,0.164819765144796,CA,2023-03-06,0,1,1,1,1,1,0,1,0,0,1,0
178,4.03682941076589,0.175591431504151,CA,2023-03-07,0,1,0,1,1,1,0,0,0,1,1,0
179,7.79357458887041,0.1778774922086,CA,2023-03-08,1,0,0,1,1,0,0,0,0,0,0,0
180,6.11952162891622,0.0922879728530915,CA,2023-03-09,0,0,0,1,1,1,0,1,0,1,0,0
181,2.3204259332282,0.1271323436337875,CA,2023-03-10,1,0,1,1,1,1,0,0,0,0,1,0
182,3.59079688557207,0.088806412218751,CA,2023-03-11,1,1,0,1,1,1,1,0,0,1,1,1
183,2.30784094108766,0.1454481348303525,CA,2023-03-12,1,1,1,0,1,1,0,1,0,0,0,0
184,2.99252575195587,0.164312281629177,CA,2023-03-13,1,0,0,1,1,1,0,0,0,0,1,1
185,2.63746286706522,0.131555105206377,CA,2023-03-14,1,1,1,0,1,1,0,0,1,1,0,0
186,4.80577141286188,0.132371639609945,CA,2023-03-15,0,0,1,0,1,1,0,0,1,0,1,1
187,5.77330780519397,0.100574865623917,CA,2023-03-16,0,1,0,0,1,1,0,1,0,1,0,0
188,2.60387981587322,0.14935438128377,CA,2023-03-17,1,0,1,1,1,1,0,0,0,0,0,0
189,2.56375791287931,0.133150018271799,CA,2023-03-18,1,1,1,0,1,1,0,0,0,0,1,0
190,3.58357229062525,0.169308378017254,CA,2023-03-19,0,1,1,0,1,0,0,1,0,0,0,0
191,11.8619774571537,0.076626697057974,CA,2023-03-20,0,1,0,0,1,1,0,0,0,0,0,0
192,10.8075023182317,0.1064223763199515,CA,2023-03-21,1,1,0,0,0,1,0,0,0,0,0,1
193,12.5931111840242,0.134958306446079,CA,2023-03-22,1,1,0,0,0,1,0,0,0,0,1,0
194,10.8394226185533,0.149219104462688,CA,2023-03-23,1,0,0,0,1,1,0,0,0,0,1,0
195,12.1634950671403,0.1555750595941095,CA,2023-03-24,1,1,0,0,1,0,0,0,0,0,1,0
196,9.64398751318343,0.2500790095919545,CA,2023-03-25,1,0,1,0,0,0,0,0,1,0,0,0
197,13.1241837431519,0.2125938281856605,CA,2023-03-26,1,1,0,0,0,0,0,1,0,0,0,0
198,25.9421703963168,0.178173361077183,CA,2023-03-27,0,0,0,0,0,1,0,0,0,0,0,0
199,21.3693705673171,0.1734209075461195,CA,2023-03-28,1,1,0,0,1,1,0,0,0,0,0,0
200,22.9852318793452,0.281870648879909,CA,2023-03-29,0,0,0,0,0,0,0,1,0,0,0,1
201,30.9835372035783,0.243334315480258,CA,2023-03-30,1,1,0,0,1,1,0,0,0,0,0,1
202,33.4833184435228,0.3063931404825025,CA,2023-03-31,0,1,0,0,0,1,0,0,0,0,0,0
203,19.1023135617742,0.326019964612586,CA,2023-04-01,1,0,0,0,1,0,0,0,0,0,1,1
204,30.5964840753389,0.3779943881649505,CA,2023-04-02,1,0,0,0,0,0,0,0,0,0,0,0
205,54.1397215162572,0.4365311528991295,CA,2023-04-03,1,0,0,0,0,0,0,0,0,0,1,0
206,53.3525895901614,0.464225436723228,CA,2023-04-04,1,1,0,0,0,1,0,0,0,0,0,1
207,65.7494178974901,0.4977929561856595,CA,2023-04-05,1,0,0,0,0,0,0,0,0,0,0,0
208,57.8172635520965,0.524180850046015,CA,2023-04-06,1,0,0,0,0,0,0,0,0,0,0,0
