...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,0.270422508985956,0.165551916764365,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.803355973707047,0.2230535581816635,AK,2023-01-16,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
3,2.47104819285461,0.2593802577283285,AK,2023-01-17,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
4,1.85381214803234,0.256046679559307,AK,2023-01-18,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1
5,0.691282242099463,0.2933319299668695,AK,2023-01-19,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
6,2.26736642951758,0.227837542451895,AK,2023-01-20,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
7,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.319264506478199,0.2627013246251275,AK,2023-01-22,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
9,0.823791760503682,0.2177143983143055,AK,2023-01-23,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
10,2.35681792094052,0.2888466777325205,AK,2023-01-24,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1
11,1.79035745444031,0.3569646544138735,AK,2023-01-25,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0
12,3.59987141710024,0.2427484562988235,AK,2023-01-26,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,1
13,0.760249932412566,0.319785356943758,AK,2023-01-27,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
14,0.392977167360245,0.251855375917494,AK,2023-01-28,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
