...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22C_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22C_95_CI,other_95_CI
1,0.537965174294229,0.0971565139546965,AK,2022-07-24,1,1,1,1,0,1,0,1
2,1.06547202256634,0.200101642582176,AK,2022-07-25,1,1,1,0,0,0,0,0
3,3.76971381659136,0.0694632902080765,AK,2022-07-26,0,0,1,1,0,0,0,1
4,2.26086626291936,0.0577915913172535,AK,2022-07-27,0,0,1,1,0,0,1,1
5,1.90743890470037,0.1107892825265245,AK,2022-07-28,0,1,1,0,0,0,0,0
6,1.05933807403002,0.1192351256221755,AK,2022-07-29,1,1,1,0,0,0,1,0
7,1.11798249879775,0.1084211846349515,AK,2022-07-30,1,1,1,1,0,0,0,1
8,2.54696945069233,0.0261039673362582,AK,2022-07-31,0,0,1,1,0,0,1,1
9,2.2623829729878,0.1072764901110245,AK,2022-08-01,0,1,0,1,1,0,0,1
10,0.75821546349931,0.0780846172674145,AK,2022-08-02,1,1,1,1,1,1,1,1
11,0.925728399776066,0.0249413003592161,AK,2022-08-03,1,1,1,1,1,1,1,1
12,0.548688042511205,0.1500595477732745,AK,2022-08-04,1,1,1,1,0,0,1,1
13,0.82429685121924,0.1625865739419415,AK,2022-08-05,1,1,1,1,0,0,1,1
14,0.807195306806906,0.0243396191598969,AK,2022-08-06,1,1,1,1,1,1,1,1
15,0.803060595545125,0.02425437261922415,AK,2022-08-07,1,1,1,1,1,1,1,1
16,0.920051660091024,0.0970013278921035,AK,2022-08-08,1,1,1,1,0,0,1,1
17,1.68268670008068,0.0911215070715375,AK,2022-08-09,1,1,1,1,0,0,1,1
18,2.89962428751839,0.02433035798707815,AK,2022-08-10,0,0,1,1,0,0,1,1
19,0.33362050332305,0.1393434587804695,AK,2022-08-11,1,1,1,1,0,0,1,1
20,0.884515696557596,0.02465544217143455,AK,2022-08-12,1,1,1,1,0,0,1,1
21,0.559823244909202,0.1496665493640875,AK,2022-08-13,1,1,1,1,0,0,1,1
22,0.335940449416966,0.162039126668779,AK,2022-08-14,1,1,1,1,0,0,1,1
23,1.30032623344129,0.02556635415968795,AK,2022-08-15,1,0,1,1,1,1,1,1
24,0.595424422554871,0.10144064380952,AK,2022-08-16,1,1,1,1,0,0,1,1
25,1.63498328568671,0.101020400234793,AK,2022-08-17,0,1,0,1,1,0,0,1
26,0.338652801558197,0.02702246201676685,AK,2022-08-18,1,1,1,1,1,1,1,1
27,0.848273148956597,0.0945153650122585,AK,2022-08-19,1,1,1,1,0,0,1,1
28,0.550068104035899,0.360615205117274,AK,2022-08-20,1,1,1,1,0,0,1,1
29,0.978133261506305,0.0290938510783105,AK,2022-08-21,1,1,1,1,1,1,1,1
30,0.701800303943066,0.248286081582865,AK,2022-08-22,1,1,1,1,0,0,1,0
31,0.0930341381160434,0.030866840538621598,AK,2022-08-23,1,1,1,1,1,1,1,1
32,NA,NA,AK,2022-08-24,NA,NA,NA,NA,NA,NA,NA,NA
33,0.29426559683618,0.0330002080288898,AK,2022-08-25,1,1,1,1,1,1,1,1
34,NA,NA,AK,2022-08-26,NA,NA,NA,NA,NA,NA,NA,NA
35,0.320132319324893,0.0355444816381227,AK,2022-08-27,1,1,1,1,1,1,1,1
36,0.338241449000438,0.0369894412754936,AK,2022-08-28,1,1,1,1,1,1,1,1
37,0.591174596979251,0.0385611253569268,AK,2022-08-29,1,1,1,1,1,1,1,1
38,0.368788852592286,0.04026922283613495,AK,2022-08-30,1,1,1,1,1,1,1,1
39,0.62117921242363,0.160200318570599,AK,2022-08-31,1,1,1,1,0,0,1,1
40,NA,NA,AK,2022-09-01,NA,NA,NA,NA,NA,NA,NA,NA
41,0.188988302026482,0.0463232754342716,AK,2022-09-02,1,1,1,1,1,1,1,1
42,NA,NA,AK,2022-09-03,NA,NA,NA,NA,NA,NA,NA,NA
43,0.910326388141148,0.151639670265906,AL,2022-07-24,1,1,1,1,1,1,1,1
44,0.528353564515819,0.1493351953703085,AL,2022-07-25,1,1,1,1,1,1,1,1
45,0.821477394473964,0.1618883895000035,AL,2022-07-26,1,1,1,1,0,0,1,1
46,0.416486218191866,0.249174389842335,AL,2022-07-27,1,1,1,1,1,1,1,1
47,2.3400828841944,0.0945016219407245,AL,2022-07-28,0,0,1,1,1,0,0,0
48,2.15268110583072,0.110800665988973,AL,2022-07-29,1,0,1,1,0,0,0,0
49,3.02460209004848,0.243829678851738,AL,2022-07-30,0,0,1,1,0,0,1,0
50,0.95987391656538,0.213629468970948,AL,2022-07-31,1,1,1,1,1,1,1,1
51,1.13091350575089,0.1243014952828805,AL,2022-08-01,1,1,0,1,0,0,0,1
52,1.20162081803858,0.1907150052410445,AL,2022-08-02,1,1,1,1,0,0,0,1
53,0.633611338129683,0.109521293883713,AL,2022-08-03,1,1,1,1,0,0,1,1
54,2.2690962233067,0.248288438157758,AL,2022-08-04,0,0,1,1,0,0,1,1
55,3.0786620371882,0.2344365684417265,AL,2022-08-05,0,0,1,1,0,0,1,1
56,2.48482788105156,0.2141275229330965,AL,2022-08-06,0,0,1,1,0,0,0,1
57,0.632205385965522,0.149068138065811,AL,2022-08-07,1,1,1,1,1,1,1,1
58,1.18156635777397,0.167962268641215,AL,2022-08-08,1,1,1,1,0,0,1,1
59,1.36238608128869,0.01130728857734685,AL,2022-08-09,0,0,1,1,0,0,0,1
60,1.50822048961621,0.183491349446086,AL,2022-08-10,0,1,1,1,0,0,1,1
61,0.349568715510872,0.1705178776124235,AL,2022-08-11,1,1,1,1,0,0,1,1
62,5.20010055169441,0.343711763681233,AL,2022-08-12,0,0,1,1,0,0,1,1
63,0.370979004662924,0.0901233815084785,AL,2022-08-13,1,1,1,1,1,1,1,1
64,0.550719341133025,0.0710712568694115,AL,2022-08-14,1,1,1,1,0,0,1,1
65,4.05195666699478,0.26164283471641,AL,2022-08-15,0,0,1,1,1,1,1,1
66,0.860444590062537,0.1552175314781115,AL,2022-08-16,1,1,1,1,0,0,1,1
67,1.20790335957149,0.180900579134526,AL,2022-08-17,1,1,1,0,0,0,1,0
68,5.56678458164289,0.30426041162208,AL,2022-08-18,0,0,1,1,0,0,1,1
69,3.27368586254279,0.293672756211781,AL,2022-08-19,0,0,1,1,0,0,1,1
70,0.965141957920473,0.003917658439373095,AL,2022-08-20,1,1,1,1,0,0,1,1
71,0.808702128196847,0.00351225731162918,AL,2022-08-21,1,1,1,1,0,0,1,1
72,1.13744067116316,0.12998401200391899,AL,2022-08-22,1,1,1,1,1,1,1,1
73,4.89250518846841,0.3008315285262995,AL,2022-08-23,0,0,1,1,1,1,1,1
74,0.555125690572009,0.062500572651552,AL,2022-08-24,1,1,1,1,0,0,1,1
75,0.489093649739928,0.066917207472229,AL,2022-08-25,1,1,1,1,0,0,1,1
76,1.35918279093494,0.1755897430313485,AL,2022-08-26,1,1,1,0,0,0,1,0
77,1.04504547342532,0.126719057605915,AL,2022-08-27,1,1,1,1,0,0,1,1
78,0.767112343808663,0.1331844639956815,AL,2022-08-28,1,1,1,1,0,0,1,1
79,1.41113778774903,0.04886060279894895,AL,2022-08-29,1,1,1,1,0,0,1,1
