...1,es_score,brier_score,location,target_date,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,other_50_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,other_95_CI
1,1.18920151960766,0.3426922829675665,AK,2022-12-18,0,1,0,1,1,1,1,0,1,0,1,1,1,1
2,0.852782540145573,0.297305261251612,AK,2022-12-19,1,1,1,0,1,1,1,0,0,0,1,0,1,1
3,0.362863901888825,0.235472479152153,AK,2022-12-20,1,1,1,1,1,1,1,0,1,0,1,1,1,1
4,0.589310803095955,0.264878419014902,AK,2022-12-21,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.807328463251357,0.3060251881706385,AK,2022-12-22,1,0,1,1,1,1,1,0,0,0,0,1,1,1
6,0.213875391843498,0.1695099433452765,AK,2022-12-23,1,1,1,1,1,1,1,1,0,0,1,1,1,1
7,0.61508994597551,0.266556441718974,AK,2022-12-24,1,1,1,1,1,1,1,0,1,1,1,0,1,1
8,0.561500601302639,0.16454531622866,AK,2022-12-25,1,1,1,1,1,1,1,0,1,0,1,1,1,1
9,1.99654839910089,0.379000938918434,AK,2022-12-26,0,0,1,1,0,1,1,0,0,0,1,0,1,0
10,5.75193057503205,0.554962360700675,AK,2022-12-27,1,0,0,1,1,1,1,1,0,0,0,0,1,1
11,1.62101216273751,0.407892302014035,AK,2022-12-28,1,0,1,1,1,1,1,1,0,0,1,1,1,1
12,0.953657013364243,0.3328298476792425,AK,2022-12-29,1,1,1,1,1,0,1,1,1,1,1,1,0,0
13,2.13872282172608,0.4895347032494995,AK,2022-12-30,1,0,0,1,0,1,1,0,0,0,1,0,0,1
14,1.18576073445378,0.414577677387624,AK,2022-12-31,1,0,1,1,0,1,1,0,0,0,0,0,1,1
15,0.820681388104685,0.4043655597276785,AK,2023-01-01,1,0,1,1,1,1,1,1,0,0,1,1,1,1
16,1.08134738063158,0.2760718891451875,AK,2023-01-02,1,0,1,1,1,1,1,1,0,0,1,1,1,1
17,2.59642421153399,0.3309723546416715,AK,2023-01-03,0,1,1,1,0,1,1,0,1,0,1,0,0,1
18,1.68760560872743,0.230761831542388,AK,2023-01-04,1,1,0,1,1,1,1,0,0,0,1,1,1,1
19,0.916222143986695,0.1442616260779655,AK,2023-01-05,1,1,0,1,1,1,1,1,1,1,1,1,1,1
20,0.888903700630529,0.314250784789911,AK,2023-01-06,1,0,1,1,1,1,1,1,0,1,1,1,0,1
21,0.755236906777158,0.4217202237133105,AK,2023-01-07,1,1,1,1,0,1,1,1,1,0,1,0,1,1
22,0.208557100313222,0.140702906457322,AK,2023-01-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1.20734222638783,0.355215297143863,AK,2023-01-09,1,0,1,1,0,1,1,0,0,0,0,1,1,1
24,1.54187744592748,0.232826515558165,AK,2023-01-10,1,1,0,1,1,1,1,0,1,0,1,0,1,1
25,1.00925488922148,0.2696856596459255,AK,2023-01-11,1,0,1,1,1,1,1,0,0,0,0,1,1,1
26,1.27668119429831,0.1372898530310005,AK,2023-01-12,1,1,0,1,1,1,1,1,1,0,1,0,1,1
27,1.60357561072352,0.325567918742332,AK,2023-01-13,1,1,1,1,0,1,1,1,1,0,1,0,0,0
28,0.232104830921372,0.136175813631854,AK,2023-01-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,0.225408699410079,0.1357727815282385,AK,2023-01-15,1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,1.02242708604239,0.277273835966792,AK,2023-01-16,1,1,1,1,0,1,1,1,0,1,1,0,1,1
31,3.02927811451148,0.3088365471503295,AK,2023-01-17,0,1,1,1,0,1,1,0,1,0,1,1,1,0
32,1.46325350282484,0.2419240833568135,AK,2023-01-18,1,1,1,1,1,1,1,0,1,1,1,0,1,1
33,1.30901123676677,0.5122311950009,AK,2023-01-19,1,1,1,1,0,1,1,1,1,0,1,0,1,1
34,2.31311223309141,0.260800669156239,AK,2023-01-20,0,1,1,1,0,1,1,0,1,0,0,0,1,1
35,NA,NA,AK,2023-01-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0.664921760564768,0.416630430889067,AK,2023-01-22,1,1,1,1,0,1,1,1,1,0,1,0,1,1
37,0.597065002880941,0.136559515598447,AK,2023-01-23,1,1,1,1,1,1,1,1,1,0,1,0,1,1
38,1.91262388163703,0.267202653649415,AK,2023-01-24,1,1,1,1,1,1,1,0,0,0,1,0,1,0
39,2.14017189491052,0.410552893593449,AK,2023-01-25,1,1,1,1,0,1,0,0,1,0,0,0,1,0
40,2.64967274291321,0.200065499920947,AK,2023-01-26,1,1,0,1,1,1,1,1,1,0,0,0,1,1
41,1.69349137526111,0.460718649903839,AK,2023-01-27,1,1,1,1,0,1,1,0,1,1,0,0,1,0
42,0.277164206453347,0.141209959030106,AK,2023-01-28,1,1,1,1,1,1,1,1,1,0,1,0,1,1
43,0.349838990739123,0.0864819836362815,AL,2022-12-18,1,1,1,1,1,1,1,1,1,0,1,1,1,0
44,0.426852560052903,0.199519313226968,AL,2022-12-19,1,1,1,1,1,1,1,1,1,0,1,0,1,1
45,1.88762242889344,0.236768047854879,AL,2022-12-20,0,0,1,1,1,1,1,0,0,0,1,0,0,0
46,2.46004301901356,0.429571912818712,AL,2022-12-21,1,1,0,1,0,0,1,0,1,0,1,0,0,1
47,NA,NA,AL,2022-12-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,NA,NA,AL,2022-12-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0.112099660226323,0.0861810058586535,AL,2022-12-24,1,1,1,1,1,1,1,0,1,0,1,1,1,1
50,NA,NA,AL,2022-12-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,0.880103453957088,0.2767977820910495,AL,2022-12-26,1,1,1,1,1,1,1,0,0,0,1,0,1,1
52,1.25748058857691,0.2233417607340865,AL,2022-12-27,1,1,1,1,1,1,1,0,0,1,0,0,1,1
53,1.46664284254028,0.3487432078483385,AL,2022-12-28,1,1,1,0,1,1,1,0,1,0,1,0,1,0
54,1.86449588934285,0.2944060248217765,AL,2022-12-29,1,1,1,0,1,1,1,0,1,0,0,1,1,1
55,1.60668166092828,0.376688678543031,AL,2022-12-30,1,1,0,1,0,1,1,0,1,0,0,0,1,1
56,NA,NA,AL,2022-12-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,NA,NA,AL,2023-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,1.74918259931054,0.235337209757567,AL,2023-01-02,1,1,0,1,1,1,1,0,0,0,0,0,1,0
59,1.82849705520858,0.23923179141319,AL,2023-01-03,1,1,1,1,0,0,1,0,1,0,0,0,1,1
60,1.72113492425416,0.3472397494721205,AL,2023-01-04,1,1,1,0,0,1,1,0,1,0,0,0,1,1
61,1.67852825622941,0.265917643748846,AL,2023-01-05,1,1,1,1,0,1,1,1,0,0,1,0,1,1
62,1.5336241126585,0.3835032784897345,AL,2023-01-06,1,0,1,1,1,1,1,1,0,0,1,1,1,1
63,1.7230602716153,0.4188974139134305,AL,2023-01-07,1,1,0,1,1,0,0,0,1,0,0,0,0,0
64,1.32234361635821,0.60815101082595,AL,2023-01-08,0,1,0,1,1,0,1,0,1,0,1,1,0,1
65,1.10512587566274,0.3045544392339835,AL,2023-01-09,1,1,1,1,1,0,1,0,1,0,1,0,0,0
66,1.17736353221326,0.2514160353993225,AL,2023-01-10,1,1,1,1,1,1,1,1,1,0,0,0,1,1
67,0.496676896721625,0.335127445677667,AL,2023-01-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
68,0.962632578211253,0.4404848131835975,AL,2023-01-12,1,1,1,1,1,0,1,0,1,1,0,0,0,1
69,NA,NA,AL,2023-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
