...1,es_score,brier_score,location,target_date,X22A_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,other_50_CI,X22A_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,other_95_CI
1,0.00576819527648952,0.003613462608360975,AK,2022-09-04,1,1,1,1,1,1,1,1,1,1
2,NA,NA,AK,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.0441098977342221,0.003578859137826025,AK,2022-09-06,1,1,1,1,1,1,1,1,1,1
4,0.00592883579482717,0.00356880193915541,AK,2022-09-07,1,1,1,1,1,1,1,1,1,1
5,NA,NA,AK,2022-09-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,AK,2022-09-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,AK,2022-09-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,AK,2022-09-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,AK,2022-09-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,AK,2022-09-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.00658628953556686,0.00363273386642391,AK,2022-09-14,1,1,1,1,1,1,1,1,1,1
12,NA,NA,AK,2022-09-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.024956067637735,0.003695752382350215,AK,2022-09-16,1,1,1,1,1,1,1,1,1,1
14,0.0066003751024338,0.00373540574797449,AK,2022-09-17,1,1,1,1,1,1,1,1,1,1
15,0.0246652595998087,0.003780826237610665,AK,2022-09-18,1,1,1,1,1,1,1,1,1,1
16,0.0863176439026531,0.00383233699787377,AK,2022-09-19,1,1,1,1,1,1,1,1,1,1
17,NA,NA,AK,2022-09-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.00804534780633907,0.00395524925593852,AK,2022-09-21,1,1,1,1,1,0,0,1,1,1
19,NA,NA,AK,2022-09-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.00870667649306531,0.004108147616826295,AK,2022-09-23,1,1,1,1,1,1,1,1,1,1
21,NA,NA,AK,2022-09-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,AK,2022-09-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.142466772250799,0.00440609232963849,AK,2022-09-26,1,1,1,1,1,1,1,1,1,1
24,NA,NA,AK,2022-09-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0.0107195549359508,0.004661786265666005,AK,2022-09-28,1,1,1,1,1,1,1,1,1,1
26,NA,NA,AK,2022-09-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,AK,2022-09-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,AK,2022-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0.0152248009308908,0.00536091951955015,AK,2022-10-02,1,1,1,1,1,1,1,1,1,1
30,0.964026346962694,0.4367782300298655,AK,2022-10-03,0,0,1,1,1,0,0,1,1,1
31,1.24355196891693,0.891539626838535,AK,2022-10-04,1,0,1,0,1,1,0,1,0,1
32,1.11006396892317,0.86353961933847,AK,2022-10-05,0,0,1,1,1,0,0,1,1,1
33,NA,NA,AK,2022-10-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0.0198986353259302,0.0067718052522885,AK,2022-10-07,1,1,1,1,1,1,1,1,1,1
35,NA,NA,AK,2022-10-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,NA,NA,AK,2022-10-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1.41873376117678,0.2919813666942785,AK,2022-10-10,1,0,0,1,1,0,0,0,1,1
38,0.025347359756689,0.00861131582497195,AK,2022-10-11,1,1,1,1,1,1,1,1,1,1
39,NA,NA,AK,2022-10-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,NA,NA,AK,2022-10-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,NA,AK,2022-10-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,NA,NA,AK,2022-10-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1.37601146673316,0.0336283808025175,AL,2022-09-04,0,0,1,1,1,0,0,1,1,1
44,NA,NA,AL,2022-09-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
