...1,es_score,brier_score,location,target_date,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,X23D_50_CI,X23B_50_CI,other_50_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,X23D_95_CI,X23B_95_CI,other_95_CI
1,0.00487516183983383,0.004586920940431515,AK,2023-03-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.232627056662495,0.004467119683070745,AK,2023-03-20,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.630141554317758,0.1130967171381305,AK,2023-03-21,1,1,1,1,1,1,1,0,1,0,1,1,1,1
4,1.12929418685679,0.2353332507337535,AK,2023-03-22,1,1,0,0,1,1,1,1,1,0,0,1,1,1
5,NA,NA,AK,2023-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.860520584967084,0.1787397796744895,AK,2023-03-24,0,1,1,1,1,1,1,0,1,0,1,1,1,1
7,0.00386442340954483,0.00416589694470129,AK,2023-03-25,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,3.83486846780795,0.694170955956045,AK,2023-03-26,1,1,0,1,0,1,1,1,1,0,1,0,1,1
9,1.15399732579691,0.2340693378743955,AK,2023-03-27,1,1,0,1,0,1,1,0,1,1,1,0,1,1
10,0.0128785151322923,0.004215861867723645,AK,2023-03-28,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0281589487281467,0.004273831725157535,AK,2023-03-29,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0478161006023255,0.004354642041519295,AK,2023-03-30,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0303411713583647,0.004460263031208855,AK,2023-03-31,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.0483190957133974,0.00459321997302533,AK,2023-04-01,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0702302834387911,0.00475670909214889,AK,2023-04-02,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,1.13212965256238,0.232228825497752,AK,2023-04-03,1,1,0,1,0,1,1,1,1,0,1,0,1,1
17,0.0488073990822225,0.0051923754089478,AK,2023-04-04,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.130630735056116,0.00547590175625945,AK,2023-04-05,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0.0154919048732294,0.005813249087292,AK,2023-04-06,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,1.07652308231938,0.1850550198120185,AK,2023-04-07,1,1,1,1,0,1,1,1,1,0,1,0,1,1
21,0.0165650068486799,0.0066918707463934,AK,2023-04-08,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.00515425688334488,0.00726160763741895,AK,2023-04-09,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,1.31513436829847,0.883229333474685,AK,2023-04-10,1,1,0,1,0,1,1,1,1,0,1,0,1,1
24,0.0617489958374089,0.0087636581281675,AK,2023-04-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1
