...1,es_score,brier_score,location,target_date,X21L_50_CI,X22B_50_CI,X22D_50_CI,X22E_50_CI,X22F_50_CI,X23A_50_CI,X23C_50_CI,recombinant_50_CI,other_50_CI,X21L_95_CI,X22B_95_CI,X22D_95_CI,X22E_95_CI,X22F_95_CI,X23A_95_CI,X23C_95_CI,recombinant_95_CI,other_95_CI
1,1.24242431668431,0.2763796781878415,AK,2022-12-11,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
2,1.60885634217498,0.324642499565954,AK,2022-12-12,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
3,1.34018863995253,0.353045445815401,AK,2022-12-13,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1
4,0.611302775618636,0.249298026088963,AK,2022-12-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,1.04796211397122,0.404030373667011,AK,2022-12-15,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
6,1.89404403587811,0.2987806294749275,AK,2022-12-16,1,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0
7,0.282453450044798,0.2785034335683415,AK,2022-12-17,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
8,1.03533124877396,0.2324675385130105,AK,2022-12-18,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,0.963159950389314,0.323115654453043,AK,2022-12-19,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1
10,0.4216557984968,0.26497059425318,AK,2022-12-20,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
11,0.554320064289362,0.256225525186783,AK,2022-12-21,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
12,0.896816884171637,0.349981854615952,AK,2022-12-22,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
13,0.256759636205523,0.2886170880325265,AK,2022-12-23,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
